"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","responses","stimulus"
"4506","32","text","0","4509","0.0-0.0","10864","",""
"1667","32","text","1","7180","0.0-1.0","10864","",""
"8341","","survey-text","2","16530","0.0-2.0","10864","{""Q0"":""21"",""Q1"":""MALE""}",""
"1301","32","text","3","18836","0.0-3.0","10864","",""
"6123","","survey-text","4","25968","0.0-4.0","10864","{""Q0"":""Trumpet""}",""
"2731","13","text","5","29701","0.0-5.0","10864","",""
"4920","53","single-stim","6","35629","0.0-6.0-0.0","10864","","notepairs/zdump/test1.svg"
"8688","49","single-stim","7","45325","0.0-6.0-1.0","10864","","notepairs/zdump/test2.svg"
"6056","51","single-stim","8","52390","0.0-6.0-2.0","10864","","notepairs/zdump/test3.svg"
"1961","32","text","9","55357","0.0-7.0","10864","",""
"6947","53","single-stim","10","63310","0.0-8.0-22.0","10864","","experiment_files/block_20/Bm3Ds5.svg"
"11459","51","single-stim","11","75775","0.0-8.0-12.0","10864","","experiment_files/block_20/As4F5.svg"
"13036","53","single-stim","12","89815","0.0-8.0-20.0","10864","","experiment_files/block_20/B5Gs4.svg"
"3896","53","single-stim","13","94719","0.0-8.0-16.0","10864","","experiment_files/block_20/As5G4.svg"
"2868","51","single-stim","14","98591","0.0-8.0-11.0","10864","","experiment_files/block_20/As4Dm4.svg"
"1393","53","single-stim","15","100991","0.0-8.0-7.0","10864","","experiment_files/block_20/As3B4.svg"
"1175","53","single-stim","16","103175","0.0-8.0-14.0","10864","","experiment_files/block_20/As5As4.svg"
"1135","53","single-stim","17","105320","0.0-8.0-10.0","10864","","experiment_files/block_20/As4As5.svg"
"2327","53","single-stim","18","108655","0.0-8.0-25.0","10864","","experiment_files/block_20/C5Cs4.svg"
"3442","54","single-stim","19","113104","0.0-8.0-3.0","10864","","experiment_files/block_20/Am3Gs5.svg"
"5097","53","single-stim","20","119208","0.0-8.0-1.0","10864","","experiment_files/block_20/A4Gs3.svg"
"10914","51","single-stim","21","131129","0.0-8.0-9.0","10864","","experiment_files/block_20/As3Em4.svg"
"12112","52","single-stim","22","144249","0.0-8.0-26.0","10864","","experiment_files/block_20/C5Ds4.svg"
"3823","53","single-stim","23","149081","0.0-8.0-0.0","10864","","experiment_files/block_20/A3Ds5.svg"
"1356","49","single-stim","24","151441","0.0-8.0-18.0","10864","","experiment_files/block_20/B3Gs3.svg"
"4375","53","single-stim","25","156825","0.0-8.0-13.0","10864","","experiment_files/block_20/As5A4.svg"
"4639","53","single-stim","26","162473","0.0-8.0-28.0","10864","","experiment_files/block_20/C6Ds5.svg"
"6274","53","single-stim","27","169754","0.0-8.0-17.0","10864","","experiment_files/block_20/B3Ds5.svg"
"6386","51","single-stim","28","177146","0.0-8.0-23.0","10864","","experiment_files/block_20/Bm4Cs4.svg"
"4073","51","single-stim","29","182226","0.0-8.0-8.0","10864","","experiment_files/block_20/As3Bm4.svg"
"2380","49","single-stim","30","185610","0.0-8.0-21.0","10864","","experiment_files/block_20/Bm3Cs4.svg"
"4647","51","single-stim","31","191267","0.0-8.0-19.0","10864","","experiment_files/block_20/B5Ds5.svg"
"4257","54","single-stim","32","196531","0.0-8.0-5.0","10864","","experiment_files/block_20/Am5Cs4.svg"
"8728","54","single-stim","33","206267","0.0-8.0-27.0","10864","","experiment_files/block_20/C6Ds4.svg"
"5472","51","single-stim","34","212747","0.0-8.0-15.0","10864","","experiment_files/block_20/As5D5.svg"
"3714","51","single-stim","35","217468","0.0-8.0-2.0","10864","","experiment_files/block_20/A5Cs5.svg"
"5679","51","single-stim","36","224155","0.0-8.0-6.0","10864","","experiment_files/block_20/As3As4.svg"
"5646","51","single-stim","37","230804","0.0-8.0-4.0","10864","","experiment_files/block_20/Am4As3.svg"
"6709","54","single-stim","38","238517","0.0-8.0-24.0","10864","","experiment_files/block_20/Bm5Fs4.svg"
"4993","32","text","39","244516","0.0-9.0","10864","",""
