Signature: 6/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,0000;0;1;1;0;51;0,4990;479;2;0;0;1;0;0;0
0,5000;480;1;2;0;60;0,4990;479;2;0;0;0;0;0;0
1,0000;960;1;3;0;59;0,4990;479;2;0;0;1;0;0;0
1,5000;1440;1;4;0;50;0,9990;959;4;1;1;0;0;0;0
2,5000;2400;1;6;0;49;0,4990;479;2;0;0;0;0;0;0
3,0000;2880;2;1;0;54;1,4990;1439;6;1;0;1;1;0;0
5,0000;4800;2;5;0;52;0,4990;479;2;0;0;0;0;0;0
5,5000;5280;2;6;0;55;0,4990;479;2;0;0;1;0;0;0
6,0000;5760;3;1;0;46;1,4990;1439;6;0;0;0;0;0;0
7,5000;7200;3;4;0;44;0,9990;959;4;1;1;1;0;0;0
8,5000;8160;3;6;0;53;0,4990;479;2;0;0;0;0;0;0
9,0000;8640;4;1;0;57;1,4990;1439;6;0;0;1;1;1;0
12,0000;11520;5;1;0;59;1,4990;1439;6;0;1;0;0;0;0
14,0000;13440;5;5;0;50;0,4990;479;2;0;0;0;0;0;0
14,5000;13920;5;6;0;51;0,4990;479;2;0;0;1;0;0;0
15,0000;14400;6;1;0;60;0,9990;959;4;1;1;0;0;0;0
16,0000;15360;6;3;0;61;0,4990;479;2;0;0;0;0;0;0
16,5000;15840;6;4;0;56;0,9990;959;4;1;1;1;1;0;0
18,0000;17280;7;1;0;58;0,4990;479;2;0;0;0;0;0;0
18,5000;17760;7;2;0;55;0,4990;479;2;0;0;0;0;0;0
19,0000;18240;7;3;0;52;0,4990;479;2;0;0;0;0;0;0
19,5000;18720;7;4;0;54;1,4990;1439;6;0;0;1;0;1;0
21,0000;20160;8;1;0;45;1,4990;1439;6;0;0;0;0;0;0
22,5000;21600;8;4;0;53;0,9990;959;4;0;0;0;0;0;0
24,0000;23040;9;1;0;51;1,4990;1439;6;0;0;1;0;0;0
25,5000;24480;9;4;0;60;0,9990;959;4;1;0;0;0;0;0
26,5000;25440;9;6;0;59;0,4990;479;2;0;0;1;1;0;0
27,0000;25920;10;1;0;50;0,9990;959;4;1;1;0;0;0;0
28,0000;26880;10;3;0;49;0,4990;479;2;0;0;1;0;0;0
28,5000;27360;10;4;0;54;1,4990;1439;6;0;0;0;0;0;0
30,0000;28800;11;1;0;52;1,4990;1439;6;0;0;0;0;0;0
31,5000;30240;11;4;0;55;1,4990;1439;6;0;0;1;0;0;0
33,0000;31680;12;1;0;46;2,4990;2399;10;1;1;1;1;1;1
