Signature: 2/2, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,0000;0;1;1;0;52;1,4990;1439;6;0;0;0;0;0;0
1,5000;1440;2;2;0;53;0,4990;479;2;1;1;0;0;0;0
2,0000;1920;3;1;0;50;1,9990;1919;8;0;0;1;1;0;1
4,0000;3840;5;1;0;52;0,4990;479;2;0;0;0;0;0;0
4,5000;4320;5;2;0;52;0,4990;479;2;0;0;0;0;0;0
5,0000;4800;6;1;0;52;0,4990;479;2;1;0;1;0;0;0
5,5000;5280;6;2;0;55;0,2490;239;1;0;0;0;0;0;0
5,7500;5520;6;2;240;53;0,2490;239;1;0;0;0;0;0;0
6,0000;5760;7;1;0;49;1,9990;1919;8;0;1;1;1;1;1
8,0000;7680;9;1;0;48;1,4990;1439;6;0;0;0;0;0;0
9,5000;9120;10;2;0;53;0,4990;479;2;1;0;0;0;0;0
10,0000;9600;11;1;0;58;0,9990;959;4;0;0;0;0;0;0
11,0000;10560;12;1;0;57;0,9990;959;4;0;0;0;0;0;0
12,0000;11520;13;1;0;54;1,4990;1439;6;0;0;1;0;0;0
13,5000;12960;14;2;0;56;0,4990;479;2;1;1;0;0;0;0
14,0000;13440;15;1;0;59;1,9990;1919;8;0;0;1;0;1;1
16,0000;15360;17;1;0;60;1,4990;1439;6;0;0;0;0;0;0
17,5000;16800;18;2;0;57;0,4990;479;2;0;0;0;0;0;0
18,0000;17280;19;1;0;54;0,9990;959;4;0;0;0;0;0;0
19,0000;18240;20;1;0;51;0,9990;959;4;0;0;1;1;0;0
20,0000;19200;21;1;0;60;1,4990;1439;6;0;1;0;0;0;0
21,5000;20640;22;2;0;56;0,4990;479;2;0;0;0;0;0;0
22,0000;21120;23;1;0;52;0,9990;959;4;0;0;0;0;0;0
23,0000;22080;24;1;0;49;0,9990;959;4;0;0;0;0;0;0
24,0000;23040;25;1;0;56;1,4990;1439;6;1;1;1;0;0;0
25,5000;24480;26;2;0;59;0,2490;239;1;0;0;0;0;0;0
25,7500;24720;26;2;240;58;0,2490;239;1;0;0;0;0;0;0
26,0000;24960;27;1;0;55;1,9990;1919;8;1;0;1;0;1;1
28,0000;26880;29;1;0;52;1,4990;1439;6;0;0;0;0;0;0
29,5000;28320;30;2;0;54;0,4990;479;2;1;1;0;0;0;0
30,0000;28800;31;1;0;57;0,9990;959;4;0;0;0;0;0;0
31,0000;29760;32;1;0;55;0,9990;959;4;0;0;0;0;0;0
32,0000;30720;33;1;0;58;2,9990;2879;12;1;1;1;1;1;1
