Signature: 4/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
1,0000;960;0;3;0;69;0,3740;359;3;0;0;0;0;0;0
1,3750;1320;0;3;360;68;0,1240;119;1;0;0;0;0;0;0
1,5000;1440;0;4;0;69;0,3740;359;3;1;1;1;0;0;0
1,8750;1800;0;4;360;65;0,1240;119;1;0;0;0;0;0;0
2,0000;1920;1;1;0;62;0,9990;959;8;1;0;1;1;1;1
3,0000;2880;1;3;0;65;0,2490;239;2;0;0;0;0;0;0
3,2500;3120;1;3;240;65;0,4990;479;4;1;1;1;0;0;1
3,7500;3600;1;4;240;62;0,2490;239;2;0;0;0;0;0;0
4,0000;3840;2;1;0;65;0,4990;479;4;0;0;0;0;0;1
4,5000;4320;2;2;0;62;0,4990;479;4;0;0;1;1;0;1
5,0000;4800;2;3;0;69;0,3740;359;3;0;0;0;0;0;0
5,3750;5160;2;3;360;68;0,1240;119;1;0;0;0;0;0;0
5,5000;5280;2;4;0;69;0,3740;359;3;1;1;1;0;0;0
5,8750;5640;2;4;360;65;0,1240;119;1;0;0;0;0;0;0
6,0000;5760;3;1;0;62;0,9990;959;8;1;0;0;0;1;1
7,0000;6720;3;3;0;65;0,2490;239;2;0;0;1;1;0;0
7,2500;6960;3;3;240;74;0,4990;479;4;1;1;0;0;0;1
7,7500;7440;3;4;240;73;0,2490;239;2;0;0;0;0;0;0
8,0000;7680;4;1;0;74;0,4990;479;4;1;0;1;0;0;1
8,5000;8160;4;2;0;69;0,4990;479;4;0;0;0;0;0;1
9,0000;8640;4;3;0;69;0,3740;359;3;1;0;1;0;0;0
9,3750;9000;4;3;360;68;0,1240;119;1;0;0;0;0;0;0
9,5000;9120;4;4;0;69;0,3740;359;3;1;1;1;0;0;0
9,8750;9480;4;4;360;65;0,1240;119;1;0;0;0;0;0;0
10,0000;9600;5;1;0;62;0,9990;959;8;1;0;1;1;1;1
11,0000;10560;5;3;0;65;0,2490;239;2;0;0;0;0;0;0
11,2500;10800;5;3;240;65;0,4990;479;4;1;1;1;0;0;1
11,7500;11280;5;4;240;62;0,2490;239;2;0;0;0;0;0;0
12,0000;11520;6;1;0;65;0,9990;959;8;0;0;0;0;0;1
13,0000;12480;6;3;0;65;0,4990;479;4;0;1;1;1;1;1
13,7500;13200;6;4;240;67;0,2490;239;2;0;0;0;0;0;0
14,0000;13440;7;1;0;69;0,3740;359;3;1;1;0;0;0;0
14,3750;13800;7;1;360;69;0,1240;119;1;0;0;0;0;0;0
14,5000;13920;7;2;0;69;0,3740;359;3;1;1;0;0;0;0
14,8750;14280;7;2;360;69;0,1240;119;1;0;0;1;0;0;0
15,0000;14400;7;3;0;67;0,3740;359;3;1;1;0;0;0;0
15,3750;14760;7;3;360;67;0,1240;119;1;0;0;0;0;0;0
15,5000;14880;7;4;0;67;0,3740;359;3;1;0;0;0;0;0
15,8750;15240;7;4;360;67;0,1240;119;1;0;0;0;0;0;0
16,0000;15360;8;1;0;65;1,9990;1919;16;1;1;1;1;1;1
18,0000;17280;9;1;0;72;0,2490;239;2;0;0;0;0;0;0
18,2500;17520;9;1;240;69;0,4990;479;4;0;0;0;0;0;1
18,7500;18000;9;2;240;72;0,6240;599;5;1;0;1;0;0;1
19,3750;18600;9;3;360;69;0,1240;119;1;0;0;0;0;0;0
19,5000;18720;9;4;0;72;0,3740;359;3;1;1;1;0;0;0
19,8750;19080;9;4;360;69;0,1240;119;1;0;0;0;0;0;0
20,0000;19200;10;1;0;72;0,2490;239;2;0;0;0;0;0;0
20,2500;19440;10;1;240;74;0,7490;719;6;0;0;1;1;0;1
21,0000;20160;10;3;0;72;0,9990;959;8;0;0;0;0;1;1
22,0000;21120;11;1;0;72;0,3740;359;3;0;0;0;0;0;0
22,3750;21480;11;1;360;72;0,1240;119;1;0;0;0;0;0;0
22,5000;21600;11;2;0;72;0,3740;359;3;1;1;1;0;0;0
22,8750;21960;11;2;360;74;0,1240;119;1;0;0;0;0;0;0
23,0000;22080;11;3;0;76;0,3740;359;3;1;1;0;0;0;0
23,3750;22440;11;3;360;76;0,1240;119;1;0;0;1;0;0;0
23,5000;22560;11;4;0;74;0,3740;359;3;1;1;0;0;0;0
23,8750;22920;11;4;360;74;0,1240;119;1;0;0;0;0;0;0
24,0000;23040;12;1;0;72;1,4990;1439;12;0;0;0;0;1;1
25,5000;24480;12;4;0;72;0,4990;479;4;0;0;1;1;0;1
26,0000;24960;13;1;0;77;0,4990;479;4;0;0;0;0;0;1
26,5000;25440;13;2;0;74;0,4990;479;4;0;0;1;0;0;1
27,0000;25920;13;3;0;72;0,3740;359;3;0;0;0;0;0;0
27,3750;26280;13;3;360;72;0,1240;119;1;0;0;1;0;0;0
27,5000;26400;13;4;0;69;0,3740;359;3;1;1;0;0;0;0
27,8750;26760;13;4;360;69;0,1240;119;1;0;0;1;1;0;0
28,0000;26880;14;1;0;74;0,4990;479;4;1;0;0;0;0;1
28,5000;27360;14;2;0;72;0,3740;359;3;0;0;0;0;0;0
28,8750;27720;14;2;360;72;0,1240;119;1;0;0;1;0;0;0
29,0000;27840;14;3;0;69;0,2490;239;2;0;0;0;0;0;0
29,2500;28080;14;3;240;65;0,7490;719;6;1;1;1;1;1;1
30,0000;28800;15;1;0;69;0,3740;359;3;0;0;0;0;0;0
30,3750;29160;15;1;360;69;0,1240;119;1;0;0;0;0;0;0
30,5000;29280;15;2;0;69;0,3740;359;3;1;0;0;0;0;0
30,8750;29640;15;2;360;69;0,1240;119;1;0;0;1;0;0;0
31,0000;29760;15;3;0;67;0,3740;359;3;1;1;0;0;0;0
31,3750;30120;15;3;360;67;0,1240;119;1;0;0;0;0;0;0
31,5000;30240;15;4;0;67;0,3740;359;3;1;1;0;0;0;0
31,8750;30600;15;4;360;67;0,1240;119;1;0;0;1;0;0;0
32,0000;30720;16;1;0;65;0,9990;959;8;1;1;1;1;1;1
