Signature: 4/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,0000;0;1;1;0;43;0,4990;479;2;0;1;0;1;0;0
0,5000;480;1;2;0;43;0,4990;479;2;0;1;0;1;0;0
1,0000;960;1;3;0;43;0,4990;479;2;0;1;0;1;0;0
1,5000;1440;1;4;0;43;0,4990;479;2;0;0;0;0;0;0
2,0000;1920;2;1;0;43;0,4990;479;2;0;0;0;0;0;0
2,5000;2400;2;2;0;43;0,4990;479;2;0;0;0;0;0;0
3,0000;2880;2;3;0;43;0,4990;479;2;1;1;1;1;1;0
19,5000;18720;10;4;0;43;0,4990;479;2;0;0;0;0;0;0
20,0000;19200;11;1;0;43;0,4990;479;2;0;0;0;0;0;0
20,5000;19680;11;2;0;43;0,4990;479;2;0;0;0;0;0;0
21,0000;20160;11;3;0;43;0,4990;479;2;0;1;0;1;0;0
21,5000;20640;11;4;0;43;0,4990;479;2;0;1;0;1;0;0
22,0000;21120;12;1;0;43;0,4990;479;2;0;1;0;1;0;0
22,5000;21600;12;2;0;43;0,4990;479;2;1;1;1;1;1;1
