Signature: 2/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,0000;0;1;1;0;69;1,9990;1919;16;1;0;1;0;0;0
2,0000;1920;3;1;0;76;0,4990;479;4;0;0;0;0;0;0
2,5000;2400;3;2;0;74;0,4990;479;4;0;0;0;0;0;0
3,0000;2880;4;1;0;71;0,4990;479;4;0;0;0;0;0;0
3,5000;3360;4;2;0;69;1,7490;1679;14;1;0;1;1;0;1
5,2500;5040;6;1;240;81;0,2490;239;2;0;0;0;0;0;0
5,5000;5280;6;2;0;69;1,7490;1679;14;0;0;1;0;0;1
7,2500;6960;8;1;240;81;0,2490;239;2;0;0;0;0;0;0
7,5000;7200;8;2;0;69;0,4990;479;4;1;1;1;1;1;0
8,5000;8160;9;2;0;69;0,4990;479;4;0;0;0;0;0;0
9,0000;8640;10;1;0;81;0,4990;479;4;0;0;0;0;0;0
9,5000;9120;10;2;0;78;0,4990;479;4;0;0;0;0;0;0
10,0000;9600;11;1;0;76;1,2490;1199;10;1;0;1;0;0;0
11,2500;10800;12;1;240;81;0,2490;239;2;0;0;0;0;0;0
11,5000;11040;12;2;0;76;0,4990;479;4;0;0;0;0;0;0
12,0000;11520;13;1;0;74;0,4990;479;4;0;0;0;0;0;0
12,5000;12000;13;2;0;71;0,3740;359;3;0;0;0;0;0;0
12,8750;12360;13;2;360;74;0,1240;119;1;0;0;0;0;0;0
13,0000;12480;14;1;0;69;1,9990;1919;16;1;1;1;1;1;1
15,0000;14400;16;1;0;74;0,2490;239;2;0;0;0;0;0;0
15,2500;14640;16;1;240;76;0,2490;239;2;0;0;0;0;0;0
15,5000;14880;16;2;0;74;0,4990;479;4;1;1;0;0;0;0
16,0000;15360;17;1;0;71;0,3740;359;3;0;0;0;0;0;0
16,3750;15720;17;1;360;74;0,1240;119;1;1;1;0;0;0;0
16,5000;15840;17;2;0;69;1,7490;1679;14;0;0;1;0;0;0
18,2500;17520;19;1;240;81;0,2490;239;2;1;1;1;1;1;1
