Signature: 3/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
1,0000;960;0;3;0;55;0,2490;239;2;0;0;0;0;0;0
1,2500;1200;0;3;240;55;0,2490;239;2;0;0;0;0;0;0
1,5000;1440;1;1;0;59;0,9990;959;8;1;1;1;1;1;1
3,0000;2880;2;1;0;55;0,2490;239;2;0;0;0;0;0;0
3,2500;3120;2;1;240;55;0,2490;239;2;0;0;0;0;0;0
3,5000;3360;2;2;0;55;0,3740;359;3;1;0;1;0;0;0
3,8750;3720;2;2;360;55;0,1240;119;1;0;0;0;0;0;0
4,0000;3840;2;3;0;55;0,3740;359;3;1;0;0;0;0;0
4,3750;4200;2;3;360;55;0,1240;119;1;0;0;0;0;0;0
4,5000;4320;3;1;0;59;0,9990;959;8;1;1;1;1;1;1
6,0000;5760;4;1;0;55;0,2490;239;2;0;0;0;0;0;0
6,2500;6000;4;1;240;55;0,2490;239;2;0;0;0;0;0;0
6,5000;6240;4;2;0;55;0,3740;359;3;1;0;1;0;0;0
6,8750;6600;4;2;360;55;0,1240;119;1;0;0;0;0;0;0
7,0000;6720;4;3;0;55;0,3740;359;3;1;0;0;0;0;0
7,3750;7080;4;3;360;55;0,1240;119;1;0;0;0;0;0;0
7,5000;7200;5;1;0;59;0,9990;959;8;1;1;1;1;1;1
9,0000;8640;6;1;0;55;0,2490;239;2;0;0;0;0;0;0
9,2500;8880;6;1;240;55;0,2490;239;2;0;0;0;0;0;0
9,5000;9120;6;2;0;55;0,3740;359;3;1;0;0;0;0;0
9,8750;9480;6;2;360;55;0,1240;119;1;0;0;1;0;0;0
10,0000;9600;6;3;0;59;0,3740;359;3;1;1;0;0;0;0
10,3750;9960;6;3;360;58;0,1240;119;1;0;0;0;0;0;0
10,5000;10080;7;1;0;59;0,9990;959;8;1;1;1;0;1;1
12,0000;11520;8;1;0;59;0,4990;479;4;0;0;0;0;0;0
12,5000;12000;8;2;0;59;0,3740;359;3;0;0;0;0;0;0
12,8750;12360;8;2;360;59;0,1240;119;1;0;0;0;0;0;0
13,0000;12480;8;3;0;59;0,9990;959;8;1;1;1;1;1;1
14,5000;13920;9;3;0;55;0,2490;239;2;0;0;0;0;0;0
14,7500;14160;9;3;240;55;0,2490;239;2;0;0;0;0;0;0
15,0000;14400;10;1;0;55;0,3740;359;3;1;0;1;0;0;0
15,3750;14760;10;1;360;55;0,1240;119;1;0;0;0;0;0;0
15,5000;14880;10;2;0;55;0,3740;359;3;1;0;0;0;0;0
15,8750;15240;10;2;360;55;0,1240;119;1;0;0;0;0;0;0
16,0000;15360;10;3;0;59;0,9990;959;8;1;1;1;1;1;1
17,5000;16800;11;3;0;55;0,2490;239;2;0;0;0;0;0;0
17,7500;17040;11;3;240;55;0,2490;239;2;0;0;0;0;0;0
18,0000;17280;12;1;0;55;0,3740;359;3;1;0;0;0;0;0
18,3750;17640;12;1;360;55;0,1240;119;1;0;0;1;0;0;0
18,5000;17760;12;2;0;60;0,2490;239;2;0;0;0;0;0;0
18,7500;18000;12;2;240;59;0,2490;239;2;0;0;0;0;0;0
19,0000;18240;12;3;0;59;0,9990;959;8;1;0;1;1;1;1
20,5000;19680;13;3;0;59;0,2490;239;2;0;0;0;0;0;0
20,7500;19920;13;3;240;59;0,2490;239;2;0;0;0;0;0;0
21,0000;20160;14;1;0;59;0,3740;359;3;1;0;1;0;0;0
21,3750;20520;14;1;360;59;0,1240;119;1;0;0;0;0;0;0
21,5000;20640;14;2;0;59;0,3740;359;3;1;0;1;0;0;0
21,8750;21000;14;2;360;58;0,1240;119;1;0;0;0;0;0;0
22,0000;21120;14;3;0;59;0,9990;959;8;1;1;1;1;1;1
23,5000;22560;15;3;0;55;0,2490;239;2;0;0;0;0;0;0
23,7500;22800;15;3;240;55;0,2490;239;2;0;0;0;0;0;0
24,0000;23040;16;1;0;55;0,3740;359;3;1;0;1;0;0;0
24,3750;23400;16;1;360;55;0,1240;119;1;0;0;0;0;0;0
24,5000;23520;16;2;0;55;0,3740;359;3;1;0;0;0;0;0
24,8750;23880;16;2;360;55;0,1240;119;1;0;0;0;0;0;0
25,0000;24000;16;3;0;59;0,9990;959;8;1;1;1;1;1;1
26,5000;25440;17;3;0;55;0,2490;239;2;0;0;0;0;0;0
26,7500;25680;17;3;240;55;0,2490;239;2;0;0;0;0;0;0
27,0000;25920;18;1;0;55;0,3740;359;3;1;0;0;0;0;0
27,3750;26280;18;1;360;55;0,1240;119;1;0;0;1;0;0;0
27,5000;26400;18;2;0;59;0,3740;359;3;1;1;0;0;0;0
27,8750;26760;18;2;360;58;0,1240;119;1;0;0;0;0;0;0
28,0000;26880;18;3;0;59;0,9990;959;8;1;1;1;1;1;1
