Signature: 2/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
1,0000;960;2;1;0;61;0,1240;119;1;0;0;0;0;0;0
1,1250;1080;2;1;120;61;0,1240;119;1;0;0;0;0;0;0
1,2500;1200;2;1;240;61;0,3740;359;3;1;0;1;0;0;0
1,6250;1560;2;2;120;61;0,1240;119;1;0;0;0;0;0;0
1,7500;1680;2;2;240;61;0,2490;239;2;0;0;1;0;0;0
2,0000;1920;3;1;0;59;0,3740;359;3;1;0;0;0;0;0
2,3750;2280;3;1;360;59;0,1240;119;1;0;0;0;0;0;0
2,5000;2400;3;2;0;59;0,9990;959;8;1;1;1;1;1;1
3,5000;3360;4;2;0;54;0,2490;239;2;0;0;0;0;0;0
3,7500;3600;4;2;240;54;0,2490;239;2;0;0;0;0;0;0
4,0000;3840;5;1;0;54;0,1240;119;1;1;0;1;0;0;0
4,2500;4080;5;1;240;61;0,1240;119;1;0;0;0;0;0;0
4,3750;4200;5;1;360;61;0,1240;119;1;0;0;0;0;0;0
4,5000;4320;5;2;0;61;0,3740;359;3;1;0;1;0;0;0
4,8750;4680;5;2;360;61;0,1240;119;1;0;0;0;0;0;0
5,0000;4800;6;1;0;61;0,2490;239;2;0;0;1;0;0;0
5,2500;5040;6;1;240;59;0,3740;359;3;1;0;0;0;0;0
5,6250;5400;6;2;120;59;0,1240;119;1;0;0;0;0;0;0
5,7500;5520;6;2;240;59;0,9990;959;8;1;1;1;1;1;1
6,7500;6480;7;2;240;54;0,2490;239;2;0;0;0;0;0;0
7,0000;6720;8;1;0;54;0,2490;239;2;0;0;0;0;0;0
7,2500;6960;8;1;240;54;0,2490;239;2;1;1;1;0;0;0
7,7500;7440;8;2;240;59;0,2490;239;2;0;0;0;0;0;0
8,0000;7680;9;1;0;56;0,3740;359;3;1;0;0;0;0;0
8,3750;8040;9;1;360;56;0,1240;119;1;0;0;1;0;0;0
8,5000;8160;9;2;0;59;0,2490;239;2;0;0;0;0;0;0
8,7500;8400;9;2;240;56;0,2490;239;2;0;0;1;0;0;0
9,0000;8640;10;1;0;54;0,3740;359;3;1;0;0;0;0;0
9,3750;9000;10;1;360;54;0,1240;119;1;0;0;0;0;0;0
9,5000;9120;10;2;0;54;0,9990;959;8;1;1;1;1;1;1
10,5000;10080;11;2;0;49;0,2490;239;2;0;0;0;0;0;0
10,7500;10320;11;2;240;49;0,2490;239;2;0;0;0;0;0;0
11,0000;10560;12;1;0;49;0,1240;119;1;1;0;1;0;0;0
11,2500;10800;12;1;240;51;0,1240;119;1;0;0;0;0;0;0
11,3750;10920;12;1;360;51;0,1240;119;1;0;0;0;0;0;0
11,5000;11040;12;2;0;51;0,3740;359;3;1;0;1;0;0;0
11,8750;11400;12;2;360;51;0,1240;119;1;0;0;0;0;0;0
12,0000;11520;13;1;0;49;0,2490;239;2;0;0;0;0;0;0
12,2500;11760;13;1;240;51;0,2490;239;2;0;0;0;0;0;0
12,5000;12000;13;2;0;49;0,2490;239;2;0;0;0;0;0;0
12,7500;12240;13;2;240;47;0,3740;359;3;1;1;1;0;0;0
13,1250;12600;14;1;120;47;0,1240;119;1;0;0;0;0;0;0
13,2500;12720;14;1;240;47;0,9990;959;8;0;1;0;0;0;1
14,2500;13680;15;1;240;42;0,2490;239;2;0;1;1;1;1;0
15,0000;14400;16;1;0;47;0,1240;119;1;0;0;0;0;0;0
15,1250;14520;16;1;120;47;0,1240;119;1;0;0;0;0;0;0
15,2500;14640;16;1;240;47;0,2490;239;2;0;0;0;0;0;0
15,5000;14880;16;2;0;47;0,2490;239;2;0;0;1;0;0;0
15,7500;15120;16;2;240;44;0,2490;239;2;0;0;0;0;0;0
16,0000;15360;17;1;0;47;0,2490;239;2;0;0;0;0;0;0
16,2500;15600;17;1;240;44;0,2490;239;2;0;0;1;0;0;0
16,5000;15840;17;2;0;42;0,3740;359;3;1;1;0;0;0;0
16,8750;16200;17;2;360;42;0,1240;119;1;0;0;0;0;0;0
17,0000;16320;18;1;0;42;0,4990;479;4;0;0;1;1;0;0
17,5000;16800;18;2;0;42;0,4990;479;4;0;0;0;0;0;0
18,0000;17280;19;1;0;42;0,4990;479;4;1;1;1;1;1;1
