Signature: 2/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,0000;0;1;1;0;53;0,9990;959;8;0;0;0;0;0;0
1,0000;960;2;1;0;53;0,9990;959;8;0;0;0;0;0;0
2,0000;1920;3;1;0;53;0,9990;959;8;0;0;0;0;0;0
3,0000;2880;4;1;0;53;0,9990;959;8;1;0;1;0;0;0
5,0000;4800;6;1;0;53;0,2490;239;2;0;0;0;0;0;0
5,2500;5040;6;1;240;55;0,7490;719;6;0;0;0;0;0;0
6,0000;5760;7;1;0;55;0,9990;959;8;1;1;1;1;1;0
7,8750;7560;8;2;360;53;0,1240;119;1;0;0;0;0;0;0
8,0000;7680;9;1;0;53;0,4990;479;4;1;1;1;0;0;0
8,8750;8520;9;2;360;55;0,1240;119;1;0;0;0;0;0;0
9,0000;8640;10;1;0;55;0,9990;959;8;1;0;1;0;0;0
10,0000;9600;11;1;0;55;0,2490;239;2;0;0;0;0;0;0
10,2500;9840;11;1;240;55;0,2490;239;2;1;0;1;0;0;0
11,0000;10560;12;1;0;55;0,2490;239;2;0;0;0;0;0;0
11,2500;10800;12;1;240;55;0,2490;239;2;0;1;0;0;0;0
12,0000;11520;13;1;0;53;1,9990;1919;16;0;0;1;1;1;1
14,0000;13440;15;1;0;48;0,4990;479;4;0;0;0;0;0;0
14,5000;13920;15;2;0;48;0,4990;479;4;0;0;0;0;0;0
15,0000;14400;16;1;0;48;0,4990;479;4;1;1;1;0;0;0
16,0000;15360;17;1;0;53;0,4990;479;4;0;0;0;0;0;0
16,5000;15840;17;2;0;55;0,2490;239;2;0;0;1;0;0;0
16,7500;16080;17;2;240;53;0,2490;239;2;0;0;0;0;0;0
17,0000;16320;18;1;0;53;0,4990;479;4;0;0;0;0;0;0
18,0000;17280;19;1;0;53;0,4990;479;4;1;0;1;0;0;0
18,8750;18120;19;2;360;48;0,1240;119;1;0;0;0;0;0;0
19,0000;18240;20;1;0;48;0,4990;479;4;1;0;1;1;1;0
20,0000;19200;21;1;0;53;0,9990;959;8;0;0;0;0;0;0
21,0000;20160;22;1;0;53;0,4990;479;4;0;0;0;0;0;0
21,5000;20640;22;2;0;53;0,2490;239;2;1;0;1;0;0;0
22,0000;21120;23;1;0;53;0,4990;479;4;0;0;0;0;0;0
22,5000;21600;23;2;0;53;0,2490;239;2;1;0;0;0;0;0
23,0000;22080;24;1;0;53;0,9990;959;8;0;0;1;1;0;0
24,0000;23040;25;1;0;55;0,9990;959;8;0;0;0;0;0;0
25,0000;24000;26;1;0;55;0,9990;959;8;0;0;0;0;0;0
26,0000;24960;27;1;0;53;0,4990;479;4;1;1;0;0;0;0
26,5000;25440;27;2;0;57;0,2490;239;2;0;0;0;0;0;0
26,7500;25680;27;2;240;55;0,2490;239;2;0;0;0;0;0;0
27,0000;25920;28;1;0;55;0,9990;959;8;1;0;0;0;0;0
28,0000;26880;29;1;0;55;0,4990;479;4;0;0;1;1;0;0
28,8750;27720;29;2;360;53;0,1240;119;1;1;1;1;1;1;1
