Signature: 2/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,8750;840;0;2;360;56;0,1240;119;2;0;0;0;0;0;0
1,0000;960;1;1;0;57;0,2490;239;4;1;0;1;0;0;0
1,2500;1200;1;1;240;57;0,1240;119;2;0;0;0;0;0;0
1,3750;1320;1;1;360;57;0,1240;119;2;1;0;1;0;0;0
1,5000;1440;1;2;0;52;0,4990;479;8;0;0;0;0;1;1
2,0000;1920;2;1;0;52;0,4990;479;8;0;0;0;0;0;1
2,5000;2400;2;2;0;52;0,2490;239;4;1;1;1;1;0;0
2,8750;2760;2;2;360;59;0,1240;119;2;0;0;0;0;0;0
3,0000;2880;3;1;0;57;0,2490;239;4;0;0;0;0;0;0
3,2500;3120;3;1;240;57;0,1240;119;2;0;0;0;0;0;0
3,3750;3240;3;1;360;57;0,1240;119;2;0;0;0;0;0;0
3,5000;3360;3;2;0;57;0,4990;479;8;1;0;1;0;1;1
4,0000;3840;4;1;0;59;0,4990;479;8;0;0;0;0;0;1
4,5000;4320;4;2;0;54;0,3740;359;6;1;1;1;1;0;0
4,8750;4680;4;2;360;59;0,1240;119;2;0;0;0;0;0;0
5,0000;4800;5;1;0;59;0,1240;119;2;0;0;0;0;0;0
5,1250;4920;5;1;120;57;0,1240;119;2;0;0;1;0;0;0
5,2500;5040;5;1;240;54;0,1240;119;2;1;0;0;0;0;0
5,3750;5160;5;1;360;54;0,0615;59;1;0;0;0;0;0;0
5,4375;5220;5;1;420;54;0,0615;59;1;1;0;0;0;0;0
5,5000;5280;5;2;0;52;0,4990;479;8;0;0;1;0;1;1
6,0000;5760;6;1;0;47;0,4990;479;8;0;0;0;0;0;1
6,5000;6240;6;2;0;52;0,2490;239;4;1;0;1;1;0;0
6,8750;6600;6;2;360;54;0,1240;119;2;0;0;0;0;0;0
7,0000;6720;7;1;0;52;0,1240;119;2;0;0;1;0;0;0
7,1250;6840;7;1;120;47;0,3740;359;6;0;0;0;0;0;0
7,5000;7200;7;2;0;47;0,4990;479;8;1;1;0;0;1;1
8,0000;7680;8;1;0;52;0,2490;239;4;0;0;1;1;0;0
8,3750;8040;8;1;360;54;0,1240;119;2;0;0;0;0;0;0
8,5000;8160;8;2;0;52;0,2490;239;4;1;0;1;0;0;0
8,7500;8400;8;2;240;49;0,1240;119;2;0;0;0;0;0;0
8,8750;8520;8;2;360;49;0,1240;119;2;1;0;0;0;0;0
9,0000;8640;9;1;0;47;0,4990;479;8;0;0;1;0;0;1
9,5000;9120;9;2;0;47;0,4990;479;8;0;0;0;0;1;1
10,0000;9600;10;1;0;52;0,4990;479;8;1;0;1;1;0;1
10,5000;10080;10;2;0;54;0,1240;119;2;0;0;0;0;0;0
10,6250;10200;10;2;120;52;0,1240;119;2;0;0;0;0;0;0
10,7500;10320;10;2;240;52;0,1240;119;2;0;0;1;0;0;0
10,8750;10440;10;2;360;49;0,1240;119;2;0;0;0;0;0;0
11,0000;10560;11;1;0;47;0,4990;479;8;1;1;0;0;0;1
11,5000;11040;11;2;0;52;0,2490;239;4;0;0;1;1;0;0
11,8750;11400;11;2;360;54;0,1240;119;2;0;0;0;0;0;0
12,0000;11520;12;1;0;52;0,1240;119;2;0;0;1;0;0;0
12,1250;11640;12;1;120;47;0,3740;359;6;0;0;0;0;0;0
12,5000;12000;12;2;0;47;0,4990;479;8;1;0;0;0;1;1
13,0000;12480;13;1;0;52;0,2490;239;4;0;0;1;1;0;0
13,3750;12840;13;1;360;54;0,1240;119;2;0;0;0;0;0;0
13,5000;12960;13;2;0;52;0,1240;119;2;1;0;1;0;0;0
13,6250;13080;13;2;120;47;0,1240;119;2;0;0;0;0;0;0
13,7500;13200;13;2;240;47;0,1240;119;2;0;0;0;0;0;0
13,8750;13320;13;2;360;47;0,1240;119;2;0;0;0;1;0;0
14,0000;13440;14;1;0;47;0,4990;479;8;1;1;1;1;1;1
