Signature: 3/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,0000;0;1;1;0;62;0,1240;119;3;0;0;0;0;0;0
0,1250;120;1;1;120;60;0,3740;359;9;0;0;1;1;1;0
0,5000;480;1;2;0;60;0,1656;159;4;1;1;0;0;0;0
0,6667;640;1;2;160;58;0,1656;159;4;0;0;0;0;0;0
0,8333;800;1;2;320;57;0,1656;159;4;1;0;1;0;0;0
1,0000;960;1;3;0;60;0,1656;159;4;0;0;0;0;0;0
1,1667;1120;1;3;160;58;0,1656;159;4;0;0;0;0;0;0
1,3333;1280;1;3;320;57;0,1656;159;4;0;0;1;1;0;0
1,5000;1440;2;1;0;53;0,1656;159;4;0;1;0;0;0;0
1,6667;1600;2;1;160;53;0,2490;239;6;0;0;1;0;0;0
1,9167;1840;2;1;400;52;0,0823;79;2;0;0;0;0;0;0
2,0000;1920;2;2;0;53;0,1240;119;3;0;0;0;0;0;0
2,1250;2040;2;2;120;53;0,3740;359;9;1;1;1;0;0;0
2,5000;2400;2;3;0;57;0,2490;239;6;0;0;0;0;0;0
2,7500;2640;2;3;240;60;0,7490;719;18;1;0;1;1;1;1
3,5000;3360;3;2;0;58;0,2490;239;6;0;0;0;0;0;0
3,7500;3600;3;2;240;57;0,1656;159;4;1;1;1;0;0;0
3,9167;3760;3;2;400;53;0,1656;159;4;0;0;0;0;0;0
4,0833;3920;3;3;80;53;0,1656;159;4;0;0;0;0;0;0
4,2500;4080;3;3;240;53;0,1656;159;4;0;0;0;0;0;0
4,4167;4240;3;3;400;52;0,1656;159;4;0;0;0;0;0;0
4,5833;4400;4;1;80;53;0,1656;159;4;0;0;0;0;0;0
4,7500;4560;4;1;240;53;0,4990;479;12;1;1;0;0;1;0
5,2500;5040;4;2;240;48;0,2490;239;6;0;0;1;1;0;0
5,6250;5400;4;3;120;52;0,1240;119;3;0;0;0;0;0;0
5,7500;5520;4;3;240;53;0,1240;119;3;0;0;1;0;0;0
5,8750;5640;4;3;360;48;0,1240;119;3;0;0;0;0;0;0
6,0000;5760;5;1;0;48;0,1240;119;3;0;0;0;0;0;0
6,1250;5880;5;1;120;48;0,1240;119;3;0;0;0;0;0;0
6,2500;6000;5;1;240;48;0,4990;479;12;1;1;1;1;1;0
6,7500;6480;5;2;240;52;0,4990;479;12;0;0;0;0;0;0
7,2500;6960;5;3;240;53;0,4990;479;12;1;0;0;0;0;0
7,7500;7440;6;1;240;53;0,2490;239;6;0;0;1;0;0;0
8,0000;7680;6;2;0;57;0,2490;239;6;0;0;0;0;0;0
8,2500;7920;6;2;240;57;0,1656;159;4;1;1;1;0;0;0
8,4167;8080;6;2;400;53;0,1656;159;4;0;0;0;0;0;0
8,5833;8240;6;3;80;53;0,1656;159;4;0;0;0;0;0;0
8,7500;8400;6;3;240;53;0,3740;359;9;1;0;1;0;0;0
9,1250;8760;7;1;120;53;0,1240;119;3;0;0;0;0;0;0
9,2500;8880;7;1;240;53;0,4990;479;12;1;1;1;1;1;0
9,7500;9360;7;2;240;48;0,2490;239;6;0;0;0;0;0;0
10,0000;9600;7;3;0;48;0,2490;239;6;0;0;1;0;0;0
10,2500;9840;7;3;240;50;0,1656;159;4;1;0;0;0;0;0
10,4167;10000;7;3;400;48;0,1656;159;4;0;0;0;0;0;0
10,5833;10160;8;1;80;48;0,1656;159;4;0;0;0;0;0;0
10,7500;10320;8;1;240;48;0,4990;479;12;0;1;1;1;0;0
11,5000;11040;8;3;0;48;0,2490;239;6;1;1;1;1;1;1
