Signature: 2/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,8750;840;0;2;360;63;0,1240;119;3;0;0;0;0;0;0
1,0000;960;1;1;0;63;0,1240;119;3;0;0;1;0;0;0
1,1250;1080;1;1;120;59;0,3740;359;9;1;1;0;0;0;0
1,5000;1440;1;2;0;59;0,2490;239;6;0;0;0;0;0;0
1,7500;1680;1;2;240;59;0,2490;239;6;0;0;0;0;0;0
2,0000;1920;2;1;0;59;0,1240;119;3;1;0;1;0;0;0
2,1250;2040;2;1;120;54;0,3740;359;9;0;0;0;0;0;0
2,5000;2400;2;2;0;54;0,2490;239;6;1;1;1;1;1;0
2,8750;2760;2;2;360;63;0,1240;119;3;0;0;0;0;0;0
3,0000;2880;3;1;0;63;0,1240;119;3;0;0;0;0;0;0
3,1250;3000;3;1;120;61;0,3740;359;9;1;0;1;0;0;0
3,5000;3360;3;2;0;59;0,1240;119;3;0;0;0;0;0;0
3,6250;3480;3;2;120;56;0,1240;119;3;1;0;1;0;0;0
3,7500;3600;3;2;240;59;0,2490;239;6;0;0;0;0;0;0
4,0000;3840;4;1;0;59;0,2490;239;6;0;0;0;0;0;0
4,2500;4080;4;1;240;57;0,1240;119;3;1;1;1;1;1;0
4,5000;4320;4;2;0;63;0,2490;239;6;0;0;0;0;0;0
4,7500;4560;4;2;240;59;0,2490;239;6;1;0;0;0;0;0
5,0000;4800;5;1;0;59;0,1240;119;3;0;0;1;0;0;0
5,1250;4920;5;1;120;54;0,1240;119;3;1;0;0;0;0;0
5,2500;5040;5;1;240;57;0,2490;239;6;0;0;0;0;0;0
5,5000;5280;5;2;0;57;0,2490;239;6;0;0;0;0;0;0
5,7500;5520;5;2;240;57;0,2490;239;6;0;0;0;0;0;0
6,0000;5760;6;1;0;57;0,4990;479;12;1;0;0;0;1;0
6,5000;6240;6;2;0;57;0,1240;119;3;0;0;1;0;0;0
6,6250;6360;6;2;120;54;0,3740;359;9;0;0;0;0;0;0
7,0000;6720;7;1;0;54;0,2490;239;6;1;1;1;1;0;0
7,3750;7080;7;1;360;61;0,1240;119;3;0;0;0;0;0;0
7,5000;7200;7;2;0;61;0,1656;159;4;0;0;1;0;0;0
7,6667;7360;7;2;160;59;0,1656;159;4;0;0;0;0;0;0
7,8333;7520;7;2;320;61;0,1656;159;4;0;0;1;0;0;0
8,0000;7680;8;1;0;59;0,2490;239;6;0;0;0;0;0;0
8,2500;7920;8;1;240;59;0,3740;359;9;1;0;1;0;0;0
8,6250;8280;8;2;120;59;0,1240;119;3;0;0;0;0;0;0
8,7500;8400;8;2;240;57;0,1240;119;3;0;0;0;0;0;0
8,8750;8520;8;2;360;54;0,6240;599;15;1;1;1;1;1;0
9,6250;9240;9;2;120;61;0,1240;119;3;0;0;0;0;0;0
9,7500;9360;9;2;240;61;0,1240;119;3;0;0;1;0;0;0
9,8750;9480;9;2;360;59;0,3740;359;9;0;0;0;0;0;0
10,2500;9840;10;1;240;59;0,4990;479;12;1;1;0;0;0;0
10,7500;10320;10;2;240;59;0,2490;239;6;0;0;1;0;0;0
11,0000;10560;11;1;0;57;0,2490;239;6;0;0;0;0;0;0
11,2500;10800;11;1;240;61;0,2490;239;6;0;0;0;0;0;0
11,5000;11040;11;2;0;59;0,2490;239;6;1;0;0;0;0;0
11,7500;11280;11;2;240;59;0,1240;119;3;0;0;1;0;0;0
11,8750;11400;11;2;360;54;0,1240;119;3;1;0;0;0;0;0
12,0000;11520;12;1;0;57;0,2490;239;6;0;0;0;0;0;0
12,2500;11760;12;1;240;57;0,2490;239;6;0;0;0;0;0;0
12,5000;12000;12;2;0;57;0,2490;239;6;0;0;0;0;0;0
12,7500;12240;12;2;240;57;0,4990;479;12;1;0;1;0;0;0
13,2500;12720;13;1;240;57;0,1240;119;3;0;0;0;0;0;0
13,3750;12840;13;1;360;54;0,6240;599;15;1;1;1;1;1;0
14,1250;13560;14;1;120;61;0,1240;119;3;0;0;0;0;0;0
14,2500;13680;14;1;240;61;0,1656;159;4;1;0;1;0;0;0
14,4167;13840;14;1;400;59;0,1656;159;4;0;0;0;0;0;0
14,5833;14000;14;2;80;61;0,1656;159;4;0;0;1;0;0;0
14,7500;14160;14;2;240;59;0,2490;239;6;0;0;0;0;0;0
15,0000;14400;15;1;0;59;0,3740;359;9;1;0;1;0;0;0
15,3750;14760;15;1;360;59;0,1240;119;3;0;0;0;0;0;0
15,5000;14880;15;2;0;57;0,1240;119;3;0;0;0;0;0;0
15,6250;15000;15;2;120;54;0,6240;599;15;1;1;1;1;1;0
16,3750;15720;16;1;360;61;0,1240;119;3;0;0;0;0;0;0
16,5000;15840;16;2;0;61;0,1240;119;3;0;0;1;0;0;0
16,6250;15960;16;2;120;59;0,3740;359;9;0;0;0;0;0;0
17,0000;16320;17;1;0;59;0,4990;479;12;1;1;0;0;0;0
17,5000;16800;17;2;0;59;0,2490;239;6;0;0;1;0;0;0
17,7500;17040;17;2;240;57;0,2490;239;6;0;0;0;0;0;0
18,0000;17280;18;1;0;61;0,2490;239;6;0;0;0;0;0;0
18,2500;17520;18;1;240;59;0,2490;239;6;1;0;0;0;0;0
18,5000;17760;18;2;0;59;0,1240;119;3;0;0;1;0;0;0
18,6250;17880;18;2;120;54;0,1240;119;3;1;0;0;0;0;0
18,7500;18000;18;2;240;57;0,2490;239;6;0;0;0;0;0;0
19,0000;18240;19;1;0;57;0,2490;239;6;0;0;0;0;0;0
19,2500;18480;19;1;240;57;0,2490;239;6;0;0;0;0;0;0
19,5000;18720;19;2;0;57;0,4990;479;12;1;0;1;0;0;0
20,0000;19200;20;1;0;57;0,1240;119;3;0;0;0;0;0;0
20,1250;19320;20;1;120;54;0,6240;599;15;1;1;1;1;1;0
20,8750;20040;20;2;360;64;0,1240;119;3;0;0;0;0;0;0
21,0000;20160;21;1;0;64;0,1656;159;4;0;0;1;0;0;0
21,1667;20320;21;1;160;62;0,1656;159;4;0;0;0;0;0;0
21,3333;20480;21;1;320;64;0,1656;159;4;0;0;0;0;0;0
21,5000;20640;21;2;0;64;0,2490;239;6;0;1;1;0;0;0
21,7500;20880;21;2;240;59;0,4990;479;12;0;0;0;0;0;0
22,2500;21360;22;1;240;59;0,1240;119;3;0;0;0;0;0;0
22,3750;21480;22;1;360;54;0,6240;599;15;1;1;1;1;1;0
23,1250;22200;23;1;120;63;0,1240;119;3;0;0;0;0;0;0
23,2500;22320;23;1;240;59;0,2490;239;6;0;0;0;0;0;0
23,5000;22560;23;2;0;59;0,2490;239;6;0;0;0;0;0;0
23,7500;22800;23;2;240;59;0,4990;479;12;1;0;1;0;0;0
24,2500;23280;24;1;240;59;0,2490;239;6;0;0;0;0;0;0
24,5000;23520;24;2;0;57;0,1240;119;3;1;0;1;1;1;0
24,7500;23760;24;2;240;63;0,2490;239;6;0;0;0;0;0;0
25,0000;24000;25;1;0;59;0,2490;239;6;1;0;0;0;0;0
25,2500;24240;25;1;240;59;0,1240;119;3;0;0;1;0;0;0
25,3750;24360;25;1;360;57;0,1240;119;3;1;0;0;0;0;0
25,5000;24480;25;2;0;54;0,2490;239;6;0;0;1;0;0;0
25,7500;24720;25;2;240;57;0,2490;239;6;0;0;0;0;0;0
26,0000;24960;26;1;0;57;0,2490;239;6;0;0;0;0;0;0
26,2500;25200;26;1;240;57;0,4990;479;12;1;0;1;0;0;0
26,7500;25680;26;2;240;57;0,1240;119;3;0;0;0;0;0;0
26,8750;25800;26;2;360;54;0,6240;599;15;1;1;1;1;1;0
27,6250;26520;27;2;120;61;0,1240;119;3;0;0;0;0;0;0
27,7500;26640;27;2;240;61;0,1656;159;4;0;0;1;0;0;0
27,9167;26800;27;2;400;59;0,1656;159;4;0;0;0;0;0;0
28,0833;26960;28;1;80;61;0,1656;159;4;0;0;1;0;0;0
28,2500;27120;28;1;240;59;0,2490;239;6;0;0;0;0;0;0
28,5000;27360;28;2;0;59;0,3740;359;9;1;0;1;0;0;0
28,8750;27720;28;2;360;59;0,1240;119;3;0;0;0;0;0;0
29,0000;27840;29;1;0;57;0,1240;119;3;0;0;0;0;0;0
29,1250;27960;29;1;120;54;0,6240;599;15;1;1;1;1;1;0
29,8750;28680;29;2;360;61;0,1240;119;3;0;0;0;0;0;0
30,0000;28800;30;1;0;59;0,2490;239;6;0;0;0;0;0;0
30,2500;29040;30;1;240;59;0,2490;239;6;0;0;0;0;0;0
30,5000;29280;30;2;0;59;0,4990;479;12;1;0;1;0;1;0
31,0000;29760;31;1;0;59;0,2490;239;6;0;0;0;0;0;0
31,2500;30000;31;1;240;57;0,2490;239;6;0;0;0;0;0;0
31,5000;30240;31;2;0;61;0,2490;239;6;0;0;0;0;0;0
31,7500;30480;31;2;240;59;0,2490;239;6;1;0;0;0;0;0
32,0000;30720;32;1;0;59;0,1240;119;3;0;0;1;0;0;0
