Signature: 3/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
1,3750;1320;0;3;360;50;0,1240;119;1;0;0;0;0;0;0
1,5000;1440;1;1;0;52;0,9990;959;8;1;0;1;1;1;1
2,8750;2760;1;3;360;54;0,1240;119;1;0;0;0;0;0;0
3,0000;2880;2;1;0;52;0,9990;959;8;1;1;1;1;0;1
4,3750;4200;2;3;360;52;0,1240;119;1;0;0;0;0;0;0
4,5000;4320;3;1;0;50;0,9990;959;8;1;0;1;1;0;1
5,8750;5640;3;3;360;50;0,1240;119;1;0;0;0;0;0;0
6,0000;5760;4;1;0;47;0,4990;479;4;0;0;0;0;0;1
6,5000;6240;4;2;0;45;0,2490;239;2;1;1;1;0;0;0
6,8750;6600;4;2;360;50;0,1240;119;1;0;0;0;0;0;0
7,0000;6720;4;3;0;52;0,9990;959;8;1;0;1;1;1;1
8,5000;8160;5;3;0;50;0,1240;119;1;0;0;0;0;0;0
8,6250;8280;5;3;120;50;0,1240;119;1;0;0;0;0;0;0
8,7500;8400;5;3;240;50;0,1240;119;1;0;0;0;0;0;0
8,8750;8520;5;3;360;50;0,1240;119;1;0;0;0;0;0;0
9,0000;8640;6;1;0;52;0,4990;479;4;1;0;1;0;0;1
9,8750;9480;6;2;360;54;0,1240;119;1;0;0;0;0;0;0
10,0000;9600;6;3;0;52;0,2490;239;2;1;0;0;0;0;0
10,3750;9960;6;3;360;52;0,1240;119;1;0;0;0;0;0;0
10,5000;10080;7;1;0;50;1,4990;1439;12;0;0;0;0;1;1
12,0000;11520;8;1;0;47;0,2490;239;2;1;1;1;1;0;0
12,3750;11880;8;1;360;52;0,1240;119;1;0;0;0;0;0;0
12,5000;12000;8;2;0;50;0,8740;839;7;1;0;0;0;0;1
13,3750;12840;8;3;360;50;0,1240;119;1;0;0;1;0;0;0
13,5000;12960;9;1;0;47;0,4990;479;4;0;0;0;0;0;1
14,0000;13440;9;2;0;45;0,2490;239;2;1;1;1;0;0;0
14,3750;13800;9;2;360;50;0,1240;119;1;0;0;0;0;0;0
14,5000;13920;9;3;0;52;1,4990;1439;12;1;0;1;1;1;1
16,3750;15720;10;3;360;52;0,1240;119;1;0;0;0;0;0;0
16,5000;15840;11;1;0;50;0,4990;479;4;0;0;0;0;0;1
17,0000;16320;11;2;0;47;0,2490;239;2;0;1;1;0;0;0
17,3750;16680;11;2;360;50;0,1240;119;1;0;0;0;0;0;0
17,5000;16800;11;3;0;52;0,8740;839;7;1;0;0;0;0;1
18,3750;17640;12;1;360;54;0,1240;119;1;0;0;0;0;0;0
18,5000;17760;12;2;0;52;0,4990;479;4;1;0;1;0;0;1
19,3750;18600;12;3;360;52;0,1240;119;1;0;0;0;0;0;0
19,5000;18720;13;1;0;50;1,4990;1439;12;0;0;0;0;1;1
21,0000;20160;14;1;0;47;0,2490;239;2;1;1;1;0;0;0
21,3750;20520;14;1;360;52;0,1240;119;1;0;0;0;0;0;0
21,5000;20640;14;2;0;50;0,9990;959;8;1;0;1;1;0;1
22,8750;21960;15;1;360;50;0,1240;119;1;0;0;0;0;0;0
23,0000;22080;15;2;0;47;0,4990;479;4;0;0;0;0;0;0
23,5000;22560;15;3;0;45;0,2490;239;2;1;1;1;1;1;1
