Signature: 2/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,0000;0;1;1;0;53;0,2490;239;6;0;0;1;0;0;0
0,2500;240;1;1;240;60;0,2490;239;6;0;0;0;0;0;0
0,5000;480;1;2;0;60;0,3740;359;9;1;1;1;0;0;0
0,8750;840;1;2;360;58;0,1240;119;3;0;0;0;0;0;0
1,0000;960;2;1;0;58;0,7490;719;18;1;1;1;1;1;0
1,7500;1680;2;2;240;55;0,1240;119;3;0;0;0;0;0;0
1,8750;1800;2;2;360;53;0,1240;119;3;0;0;0;0;0;0
2,0000;1920;3;1;0;53;0,2490;239;6;0;0;1;0;0;0
2,2500;2160;3;1;240;60;0,2490;239;6;0;0;0;0;0;0
2,5000;2400;3;2;0;58;0,3740;359;9;1;1;1;0;0;0
2,8750;2760;3;2;360;55;0,1240;119;3;0;0;0;0;0;0
3,0000;2880;4;1;0;53;0,7490;719;18;1;0;1;0;1;0
3,7500;3600;4;2;240;53;0,2490;239;6;0;0;0;0;0;0
4,0000;3840;5;1;0;53;0,1240;119;3;0;0;1;1;0;0
4,2500;4080;5;1;240;58;0,2490;239;6;0;1;0;0;0;0
4,5000;4320;5;2;0;58;0,1656;159;4;0;0;1;0;0;0
4,6667;4480;5;2;160;53;0,1656;159;4;0;0;0;0;0;0
4,8333;4640;5;2;320;53;0,1656;159;4;0;0;0;0;0;0
5,0000;4800;6;1;0;53;0,3740;359;9;1;1;1;0;0;0
5,3750;5160;6;1;360;50;0,1240;119;3;0;0;0;0;0;0
5,5000;5280;6;2;0;46;0,7490;719;18;1;0;1;1;1;0
6,2500;6000;7;1;240;46;0,2490;239;6;0;0;0;0;0;0
6,5000;6240;7;2;0;46;0,2490;239;6;0;0;1;0;0;0
6,7500;6480;7;2;240;53;0,2490;239;6;0;0;0;0;0;0
7,0000;6720;8;1;0;55;0,3740;359;9;1;1;1;0;0;0
7,3750;7080;8;1;360;53;0,1240;119;3;0;0;0;0;0;0
7,5000;7200;8;2;0;53;0,4990;479;12;1;0;1;1;1;0
8,2500;7920;9;1;240;53;0,2490;239;6;0;0;0;0;0;0
8,5000;8160;9;2;0;53;0,2490;239;6;0;0;1;0;0;0
8,7500;8400;9;2;240;58;0,2490;239;6;0;0;0;0;0;0
9,0000;8640;10;1;0;58;0,1656;159;4;1;1;1;0;0;0
9,1667;8800;10;1;160;53;0,1656;159;4;0;0;0;0;0;0
9,3333;8960;10;1;320;53;0,1656;159;4;0;0;0;0;0;0
9,5000;9120;10;2;0;53;0,3740;359;9;1;1;1;0;0;0
9,8750;9480;10;2;360;50;0,1240;119;3;0;0;0;0;0;0
10,0000;9600;11;1;0;46;0,7490;719;18;1;0;1;0;1;0
10,7500;10320;11;2;240;46;0,2490;239;6;0;0;0;0;0;0
11,0000;10560;12;1;0;46;0,2490;239;6;0;0;1;1;0;0
11,2500;10800;12;1;240;60;0,2490;239;6;0;0;0;0;0;0
11,5000;11040;12;2;0;60;0,3740;359;9;0;1;1;0;0;0
11,8750;11400;12;2;360;58;0,1240;119;3;1;1;1;1;1;1
