Signature: 2/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,7500;720;0;2;240;60;0,2490;239;2;1;0;1;0;0;0
1,0000;960;1;1;0;60;0,1240;119;1;0;0;0;0;0;0
1,1250;1080;1;1;120;60;0,1240;119;1;0;0;1;0;0;0
1,2500;1200;1;1;240;55;0,2490;239;2;0;0;0;0;0;0
1,5000;1440;1;2;0;58;0,4990;479;4;1;1;0;0;0;0
2,0000;1920;2;1;0;60;0,2490;239;2;0;0;1;1;0;0
2,2500;2160;2;1;240;55;0,1240;119;1;0;0;0;0;0;0
2,3750;2280;2;1;360;55;0,1240;119;1;1;0;1;0;0;0
2,5000;2400;2;2;0;58;0,2490;239;2;0;0;0;0;0;0
2,7500;2640;2;2;240;55;0,2490;239;2;0;0;0;0;0;0
3,0000;2880;3;1;0;53;0,4990;479;4;1;1;1;0;1;0
3,5000;3360;3;2;0;53;0,2490;239;2;0;0;0;0;0;0
3,7500;3600;3;2;240;53;0,2490;239;2;0;0;0;0;0;0
4,0000;3840;4;1;0;53;0,1240;119;1;0;0;1;0;0;0
4,1250;3960;4;1;120;50;0,1240;119;1;0;0;0;0;0;0
4,2500;4080;4;1;240;50;0,1240;119;1;0;0;0;0;0;0
4,3750;4200;4;1;360;48;0,1240;119;1;0;0;0;0;0;0
4,5000;4320;4;2;0;46;0,4990;479;4;1;1;1;0;1;0
5,0000;4800;5;1;0;46;0,2490;239;2;0;0;0;0;0;0
5,2500;5040;5;1;240;46;0,2490;239;2;0;0;0;0;0;0
5,5000;5280;5;2;0;46;0,2490;239;2;0;0;1;1;0;0
5,7500;5520;5;2;240;53;0,2490;239;2;0;0;0;0;0;0
6,0000;5760;6;1;0;55;0,4990;479;4;1;0;0;0;0;0
6,5000;6240;6;2;0;55;0,3740;359;3;0;0;1;0;0;0
6,8750;6600;6;2;360;50;0,1240;119;1;0;0;0;0;0;0
7,0000;6720;7;1;0;55;0,3740;359;3;1;1;1;0;0;0
7,3750;7080;7;1;360;50;0,1240;119;1;0;0;0;0;0;0
7,5000;7200;7;2;0;53;0,7490;719;6;1;0;1;1;1;0
8,5000;8160;8;2;0;53;0,2490;239;2;0;0;0;0;0;0
8,7500;8400;8;2;240;53;0,2490;239;2;0;0;0;0;0;0
9,0000;8640;9;1;0;53;0,1240;119;1;0;0;1;0;0;0
9,1250;8760;9;1;120;50;0,1240;119;1;0;0;0;0;0;0
9,2500;8880;9;1;240;50;0,1240;119;1;0;0;0;0;0;0
9,3750;9000;9;1;360;48;0,1240;119;1;0;0;0;0;0;0
9,5000;9120;9;2;0;46;0,2490;239;2;0;0;0;0;0;0
9,7500;9360;9;2;240;46;0,2490;239;2;1;1;1;1;1;0
10,2500;9840;10;1;240;60;0,2490;239;2;0;0;0;0;0;0
10,5000;10080;10;2;0;60;0,1240;119;1;0;0;0;0;0;0
10,6250;10200;10;2;120;60;0,1240;119;1;0;0;1;0;0;0
10,7500;10320;10;2;240;55;0,2490;239;2;0;0;0;0;0;0
11,0000;10560;11;1;0;58;0,4990;479;4;1;0;0;0;0;0
11,5000;11040;11;2;0;60;0,2490;239;2;0;0;1;1;0;0
11,7500;11280;11;2;240;55;0,1240;119;1;0;0;0;0;0;0
11,8750;11400;11;2;360;55;0,1240;119;1;1;0;1;0;0;0
12,0000;11520;12;1;0;58;0,2490;239;2;0;0;0;0;0;0
12,2500;11760;12;1;240;55;0,2490;239;2;0;0;0;0;0;0
12,5000;12000;12;2;0;53;0,4990;479;4;1;1;1;0;1;0
13,0000;12480;13;1;0;53;0,2490;239;2;0;0;0;0;0;0
13,2500;12720;13;1;240;53;0,2490;239;2;0;0;0;0;0;0
13,5000;12960;13;2;0;53;0,1240;119;1;0;0;1;0;0;0
13,6250;13080;13;2;120;50;0,1240;119;1;0;0;0;0;0;0
13,7500;13200;13;2;240;50;0,1240;119;1;0;0;0;0;0;0
13,8750;13320;13;2;360;48;0,1240;119;1;0;0;0;0;0;0
14,0000;13440;14;1;0;46;0,4990;479;4;1;1;1;0;1;0
14,5000;13920;14;2;0;46;0,2490;239;2;0;0;0;0;0;0
14,7500;14160;14;2;240;46;0,2490;239;2;0;0;0;0;0;0
15,0000;14400;15;1;0;46;0,2490;239;2;0;0;1;1;0;0
15,2500;14640;15;1;240;53;0,2490;239;2;0;0;0;0;0;0
15,5000;14880;15;2;0;55;0,4990;479;4;1;0;0;0;0;0
16,0000;15360;16;1;0;55;0,3740;359;3;0;0;1;0;0;0
16,3750;15720;16;1;360;50;0,1240;119;1;0;0;0;0;0;0
16,5000;15840;16;2;0;55;0,3740;359;3;1;1;1;0;0;0
16,8750;16200;16;2;360;50;0,1240;119;1;0;0;0;0;0;0
17,0000;16320;17;1;0;53;0,7490;719;6;1;0;1;1;1;0
18,0000;17280;18;1;0;53;0,2490;239;2;0;0;0;0;0;0
18,2500;17520;18;1;240;53;0,2490;239;2;0;0;0;0;0;0
18,5000;17760;18;2;0;53;0,1240;119;1;0;0;1;0;0;0
18,6250;17880;18;2;120;50;0,1240;119;1;0;0;0;0;0;0
18,7500;18000;18;2;240;50;0,1240;119;1;0;0;0;0;0;0
18,8750;18120;18;2;360;48;0,1240;119;1;0;0;0;0;0;0
19,0000;18240;19;1;0;46;0,2490;239;2;0;0;0;0;0;0
19,2500;18480;19;1;240;46;0,2490;239;2;1;1;1;1;1;0
19,7500;18960;19;2;240;60;0,2490;239;2;0;0;0;0;0;0
20,0000;19200;20;1;0;60;0,1240;119;1;0;0;0;0;0;0
20,1250;19320;20;1;120;60;0,1240;119;1;1;0;1;0;0;0
20,2500;19440;20;1;240;55;0,2490;239;2;0;0;0;0;0;0
20,5000;19680;20;2;0;46;0,9990;959;8;1;1;1;1;1;1
