Signature: 2/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,7500;720;0;2;240;50;0,2490;239;1;1;0;1;1;0;0
1,0000;960;1;1;0;53;0,4990;479;2;0;0;0;0;0;0
1,5000;1440;1;2;0;53;0,4990;479;2;0;0;0;0;0;0
2,0000;1920;2;1;0;53;0,4990;479;2;1;1;1;0;1;0
3,0000;2880;3;1;0;53;0,2490;239;1;0;0;0;0;0;0
3,2500;3120;3;1;240;53;0,2490;239;1;0;0;0;0;0;0
3,5000;3360;3;2;0;53;0,2490;239;1;0;0;0;0;0;0
3,7500;3600;3;2;240;53;0,2490;239;1;0;0;0;0;0;0
4,0000;3840;4;1;0;53;0,2490;239;1;0;0;0;0;0;0
4,2500;4080;4;1;240;53;0,2490;239;1;0;0;0;0;0;0
4,5000;4320;4;2;0;53;0,2490;239;1;1;1;1;1;0;0
5,0000;4800;5;1;0;50;0,2490;239;1;0;0;0;0;0;0
5,2500;5040;5;1;240;53;0,4990;479;2;0;0;0;0;0;0
5,7500;5520;5;2;240;53;0,4990;479;2;0;0;0;0;0;0
6,2500;6000;6;1;240;53;0,4990;479;2;1;0;1;0;1;0
7,2500;6960;7;1;240;53;0,2490;239;1;0;0;0;0;0;0
7,5000;7200;7;2;0;53;0,2490;239;1;0;0;0;0;0;0
7,7500;7440;7;2;240;53;0,2490;239;1;0;0;0;0;0;0
8,0000;7680;8;1;0;53;0,2490;239;1;0;0;0;0;0;0
8,2500;7920;8;1;240;53;0,2490;239;1;0;0;0;0;0;0
8,5000;8160;8;2;0;53;0,2490;239;1;0;0;0;0;0;0
8,7500;8400;8;2;240;53;0,2490;239;1;1;1;1;1;0;0
9,2500;8880;9;1;240;50;0,2490;239;1;0;0;0;0;0;0
9,5000;9120;9;2;0;53;0,4990;479;2;0;0;0;0;0;0
10,0000;9600;10;1;0;53;0,4990;479;2;0;0;0;0;0;0
10,5000;10080;10;2;0;53;0,4990;479;2;1;0;1;0;1;0
11,5000;11040;11;2;0;53;0,2490;239;1;0;0;0;0;0;0
11,7500;11280;11;2;240;53;0,2490;239;1;0;0;0;0;0;0
12,0000;11520;12;1;0;53;0,2490;239;1;0;0;0;0;0;0
12,2500;11760;12;1;240;53;0,2490;239;1;0;0;0;0;0;0
12,5000;12000;12;2;0;53;0,2490;239;1;0;0;0;0;0;0
12,7500;12240;12;2;240;53;0,2490;239;1;0;0;0;0;0;0
13,0000;12480;13;1;0;53;0,2490;239;1;1;1;1;1;0;0
13,5000;12960;13;2;0;50;0,2490;239;1;0;0;0;0;0;0
13,7500;13200;13;2;240;53;0,4990;479;2;0;0;0;0;0;0
14,2500;13680;14;1;240;53;0,4990;479;2;1;0;1;0;1;0
15,7500;15120;15;2;240;53;0,4990;479;2;0;0;0;0;0;0
16,2500;15600;16;1;240;53;0,4990;479;2;0;0;0;0;0;0
16,7500;16080;16;2;240;53;0,4990;479;2;1;1;1;0;0;0
17,7500;17040;17;2;240;53;0,2490;239;1;0;0;0;0;0;0
18,0000;17280;18;1;0;53;0,2490;239;1;0;0;0;0;0;0
18,2500;17520;18;1;240;53;0,2490;239;1;0;0;0;0;0;0
18,5000;17760;18;2;0;53;0,2490;239;1;0;0;0;0;0;0
18,7500;18000;18;2;240;53;0,2490;239;1;0;0;0;0;0;0
19,0000;18240;19;1;0;53;0,2490;239;1;0;0;0;0;0;0
19,2500;18480;19;1;240;53;0,2490;239;1;1;1;1;0;0;0
19,7500;18960;19;2;240;50;0,2490;239;1;0;0;0;0;0;0
20,0000;19200;20;1;0;53;0,4990;479;2;0;0;0;0;0;0
20,5000;19680;20;2;0;53;0,4990;479;2;1;1;1;1;1;0
22,7500;21840;22;2;240;50;0,2490;239;1;0;0;0;0;0;0
23,0000;22080;23;1;0;53;0,4990;479;2;0;0;0;0;0;0
23,5000;22560;23;2;0;53;0,4990;479;2;0;0;0;0;0;0
24,0000;23040;24;1;0;53;0,4990;479;2;1;0;1;0;0;0
25,0000;24000;25;1;0;53;0,2490;239;1;0;0;0;0;0;0
25,2500;24240;25;1;240;53;0,2490;239;1;0;0;0;0;0;0
25,5000;24480;25;2;0;53;0,2490;239;1;0;0;0;0;0;0
25,7500;24720;25;2;240;53;0,2490;239;1;0;0;0;0;0;0
26,0000;24960;26;1;0;53;0,2490;239;1;0;0;0;0;0;0
26,2500;25200;26;1;240;53;0,2490;239;1;0;0;0;0;0;0
26,5000;25440;26;2;0;53;0,2490;239;1;1;1;1;1;0;0
27,0000;25920;27;1;0;50;0,2490;239;1;0;0;0;0;0;0
27,2500;26160;27;1;240;53;0,4990;479;2;0;0;0;0;0;0
27,7500;26640;27;2;240;53;0,4990;479;2;0;0;0;0;0;0
28,2500;27120;28;1;240;53;0,4990;479;2;1;0;1;0;1;0
29,2500;28080;29;1;240;53;0,2490;239;1;0;0;0;0;0;0
29,5000;28320;29;2;0;53;0,2490;239;1;0;0;0;0;0;0
29,7500;28560;29;2;240;53;0,2490;239;1;0;0;0;0;0;0
30,0000;28800;30;1;0;53;0,2490;239;1;0;1;0;1;0;0
30,2500;29040;30;1;240;53;0,2490;239;1;0;1;0;1;0;0
30,5000;29280;30;2;0;53;0,2490;239;1;0;1;0;1;0;0
30,7500;29520;30;2;240;53;0,2490;239;1;1;1;1;1;1;1
