Signature: 2/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,0000;0;1;1;0;56;0,3740;359;18;1;0;1;1;0;0
0,3750;360;1;1;360;56;0,1240;119;6;0;0;0;0;0;0
0,5000;480;1;2;0;56;0,1865;179;9;0;0;1;0;0;0
0,6875;660;1;2;180;56;0,0615;59;3;1;0;0;0;0;0
0,7500;720;1;2;240;56;0,1240;119;6;0;0;0;0;0;0
0,8750;840;1;2;360;56;0,1240;119;6;0;0;0;0;0;0
1,0000;960;2;1;0;56;0,4990;479;24;1;0;1;1;1;1
2,0000;1920;3;1;0;56;0,3740;359;18;0;0;0;0;0;0
2,3750;2280;3;1;360;56;0,1240;119;6;0;0;0;0;0;0
2,5000;2400;3;2;0;56;0,1865;179;9;1;1;1;0;0;0
2,6875;2580;3;2;180;60;0,0615;59;3;0;0;0;0;0;0
2,7500;2640;3;2;240;60;0,1240;119;6;0;0;1;0;0;0
2,8750;2760;3;2;360;56;0,1240;119;6;0;0;0;0;0;0
3,0000;2880;4;1;0;58;0,3740;359;18;1;0;1;0;0;0
3,3750;3240;4;1;360;56;0,1240;119;6;0;0;0;0;0;0
3,5000;3360;4;2;0;53;0,2490;239;12;1;1;1;1;1;0
4,0000;3840;5;1;0;60;0,1656;159;8;0;0;0;0;0;0
4,1667;4000;5;1;160;56;0,1656;159;8;1;0;0;0;0;0
4,3333;4160;5;1;320;56;0,1656;159;8;0;0;0;0;0;0
4,5000;4320;5;2;0;56;0,1865;179;9;1;0;1;0;0;0
4,6875;4500;5;2;180;56;0,0615;59;3;0;0;0;0;0;0
4,7500;4560;5;2;240;56;0,1240;119;6;0;0;0;0;0;0
4,8750;4680;5;2;360;56;0,1240;119;6;0;0;0;0;0;0
5,0000;4800;6;1;0;56;0,4990;479;24;0;0;0;0;0;1
5,5000;5280;6;2;0;53;0,2490;239;12;1;1;1;1;1;0
6,0000;5760;7;1;0;56;0,3740;359;18;0;0;0;0;0;0
6,3750;6120;7;1;360;56;0,1240;119;6;0;0;0;0;0;0
6,5000;6240;7;2;0;56;0,1865;179;9;0;0;1;0;0;0
6,6875;6420;7;2;180;56;0,0615;59;3;1;0;0;0;0;0
6,7500;6480;7;2;240;56;0,1240;119;6;0;0;0;0;0;0
6,8750;6600;7;2;360;56;0,1240;119;6;0;0;0;0;0;0
