Signature: 3/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,0000;0;1;1;0;53;0,1240;119;3;0;0;0;0;0;0
0,1250;120;1;1;120;53;0,1240;119;3;0;0;1;0;0;0
0,2500;240;1;1;240;60;0,2490;239;6;0;0;0;0;0;0
0,5000;480;1;2;0;60;0,9990;959;24;1;0;1;1;1;1
1,5000;1440;2;1;0;62;0,1240;119;3;0;0;0;0;0;0
1,6250;1560;2;1;120;58;0,1240;119;3;0;0;0;0;0;0
1,7500;1680;2;1;240;58;0,1240;119;3;0;0;1;0;0;0
1,8750;1800;2;1;360;53;0,1240;119;3;0;0;0;0;0;0
2,0000;1920;2;2;0;53;0,1240;119;3;1;1;1;1;0;0
2,2500;2160;2;2;240;60;0,1240;119;3;0;0;0;0;0;0
2,3750;2280;2;2;360;60;0,1240;119;3;0;0;0;0;0;0
2,5000;2400;2;3;0;60;0,1240;119;3;0;0;1;0;0;0
2,6250;2520;2;3;120;55;0,1240;119;3;0;0;0;0;0;0
2,7500;2640;2;3;240;55;0,7490;719;18;1;0;1;0;1;1
3,5000;3360;3;2;0;53;0,2490;239;6;0;0;0;0;0;0
3,7500;3600;3;2;240;50;0,1240;119;3;0;0;0;0;0;0
3,8750;3720;3;2;360;50;0,3740;359;9;0;0;0;0;0;0
4,2500;4080;3;3;240;50;0,1240;119;3;0;0;1;1;0;0
4,5000;4320;4;1;0;53;0,3740;359;9;0;0;0;0;0;0
4,8750;4680;4;1;360;50;0,1240;119;3;0;0;0;0;0;0
5,0000;4800;4;2;0;53;0,2490;239;6;0;0;0;0;0;0
5,2500;5040;4;2;240;50;0,2490;239;6;0;0;0;0;0;0
5,5000;5280;4;3;0;53;0,4990;479;12;1;1;0;0;1;1
6,0000;5760;5;1;0;53;0,2490;239;6;0;0;1;0;0;0
6,2500;6000;5;1;240;48;0,0823;79;2;0;0;0;0;0;0
6,3333;6080;5;1;320;48;0,1656;159;4;0;0;0;0;0;0
6,5000;6240;5;2;0;46;0,4990;479;12;1;1;1;0;0;1
7,0000;6720;5;3;0;48;0,1240;119;3;0;0;0;0;0;0
7,1250;6840;5;3;120;48;0,1240;119;3;1;0;1;1;0;0
7,2500;6960;5;3;240;60;0,2490;239;6;0;0;0;0;0;0
7,5000;7200;6;1;0;60;0,9990;959;24;1;1;1;1;1;1
