Signature: 3/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,0000;0;1;1;0;58;0,3740;359;3;0;0;1;0;0;0
0,3750;360;1;1;360;53;0,1240;119;1;0;0;0;0;0;0
0,5000;480;1;2;0;53;0,2490;239;2;1;1;1;1;0;0
0,8750;840;1;2;360;58;0,1240;119;1;0;0;0;0;0;0
1,0000;960;1;3;0;58;0,1240;119;1;0;0;0;0;0;0
1,1250;1080;1;3;120;55;0,3740;359;3;0;0;1;0;0;0
1,5000;1440;2;1;0;60;0,3740;359;3;0;0;0;0;0;0
1,8750;1800;2;1;360;58;0,1240;119;1;1;1;0;0;0;0
2,0000;1920;2;2;0;55;0,4990;479;4;0;0;0;0;0;1
2,5000;2400;2;3;0;53;0,4990;479;4;1;0;1;1;1;1
3,3750;3240;3;1;360;55;0,1240;119;1;0;0;0;0;0;0
3,5000;3360;3;2;0;53;0,3740;359;3;1;1;1;0;0;0
3,8750;3720;3;2;360;53;0,1240;119;1;0;0;0;0;0;0
4,0000;3840;3;3;0;53;0,2490;239;2;1;0;1;1;0;0
4,2500;4080;3;3;240;58;0,1240;119;1;0;0;0;0;0;0
4,3750;4200;3;3;360;58;0,1240;119;1;0;0;1;0;0;0
4,5000;4320;4;1;0;53;0,3740;359;3;1;1;0;0;1;0
4,8750;4680;4;1;360;53;0,1240;119;1;0;0;0;0;0;0
5,0000;4800;4;2;0;53;0,1240;119;1;0;0;0;0;0;0
5,1250;4920;4;2;120;50;0,0615;59;1;1;0;1;1;0;0
5,2500;5040;4;2;240;58;0,1240;119;1;0;0;0;0;0;0
5,3750;5160;4;2;360;58;0,3740;359;3;0;0;1;0;0;0
5,7500;5520;4;3;240;60;0,3740;359;3;0;0;0;0;0;0
6,1250;5880;5;1;120;58;0,1240;119;1;1;1;0;0;0;0
6,2500;6000;5;1;240;55;0,4990;479;4;0;0;0;0;0;1
6,7500;6480;5;2;240;53;0,4990;479;4;1;1;1;1;1;1
7,6250;7320;6;1;120;55;0,1240;119;1;0;0;0;0;0;0
7,7500;7440;6;1;240;53;0,2490;239;2;0;0;0;0;0;0
8,0000;7680;6;2;0;53;0,1240;119;1;0;0;0;0;0;0
8,1250;7800;6;2;120;53;0,1240;119;1;0;0;0;0;0;0
8,2500;7920;6;2;240;53;0,2490;239;2;1;0;1;0;0;0
8,5000;8160;6;3;0;58;0,1240;119;1;0;0;0;0;0;0
8,6250;8280;6;3;120;58;0,1240;119;1;0;0;1;0;0;0
8,7500;8400;6;3;240;53;0,3740;359;3;1;1;0;0;1;0
9,1250;8760;7;1;120;53;0,1240;119;1;0;0;0;0;0;0
9,2500;8880;7;1;240;53;0,1240;119;1;0;0;0;0;0;0
9,3750;9000;7;1;360;50;0,0615;59;1;1;0;1;1;0;0
9,5000;9120;7;2;0;58;0,1240;119;1;0;0;0;0;0;0
9,6250;9240;7;2;120;58;0,1240;119;1;0;0;0;0;0;0
9,7500;9360;7;2;240;55;0,2490;239;2;0;0;1;0;0;0
10,0000;9600;7;3;0;60;0,3740;359;3;1;1;0;0;0;0
10,3750;9960;7;3;360;58;0,1240;119;1;0;0;0;0;0;0
10,5000;10080;8;1;0;55;0,4990;479;4;0;0;0;0;0;1
11,0000;10560;8;2;0;53;0,4990;479;4;1;0;1;1;1;1
11,8750;11400;8;3;360;55;0,1240;119;1;0;0;0;0;0;0
12,0000;11520;9;1;0;53;0,2490;239;2;0;0;0;0;0;0
12,2500;11760;9;1;240;53;0,1240;119;1;0;0;0;0;0;0
12,3750;11880;9;1;360;53;0,1240;119;1;0;0;0;0;0;0
12,5000;12000;9;2;0;53;0,4990;479;4;1;1;1;0;0;1
13,0000;12480;9;3;0;58;0,3740;359;3;0;0;0;0;0;0
13,3750;12840;9;3;360;53;0,1240;119;1;0;0;0;0;0;0
13,5000;12960;10;1;0;53;0,1240;119;1;0;0;0;0;0;0
13,6250;13080;10;1;120;50;0,2490;239;2;1;1;1;1;0;0
13,8750;13320;10;1;360;58;0,1240;119;1;0;0;0;0;0;0
14,0000;13440;10;2;0;58;0,1240;119;1;0;0;1;0;0;0
14,1250;13560;10;2;120;53;0,3740;359;3;1;1;1;1;1;1
