Signature: 3/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
1,0000;960;0;3;0;61;0,3740;359;3;0;0;1;0;0;0
1,3750;1320;0;3;360;61;0,1240;119;1;0;0;0;0;0;0
1,5000;1440;1;1;0;61;0,4990;479;4;0;0;0;0;0;0
2,0000;1920;1;2;0;59;0,4990;479;4;1;0;1;1;0;0
2,5000;2400;1;3;0;54;0,2490;239;2;0;0;0;0;0;0
2,7500;2640;1;3;240;54;0,2490;239;2;0;0;0;0;0;0
3,0000;2880;2;1;0;56;0,9990;959;8;1;1;1;0;1;1
4,0000;3840;2;3;0;59;0,3740;359;3;0;0;0;0;0;0
4,3750;4200;2;3;360;56;0,1240;119;1;0;0;0;0;0;0
4,5000;4320;3;1;0;56;0,4990;479;4;0;0;0;0;0;0
5,0000;4800;3;2;0;54;0,4990;479;4;1;0;1;0;0;0
5,5000;5280;3;3;0;49;0,2490;239;2;0;0;0;0;0;0
5,7500;5520;3;3;240;49;0,2490;239;2;0;0;0;0;0;0
6,0000;5760;4;1;0;54;0,9990;959;8;1;1;1;1;1;1
7,0000;6720;4;3;0;56;0,3740;359;3;0;0;0;0;0;0
7,3750;7080;4;3;360;56;0,1240;119;1;0;0;0;0;0;0
7,5000;7200;5;1;0;56;0,4990;479;4;0;0;0;0;0;0
8,0000;7680;5;2;0;54;0,2490;239;2;1;0;1;0;0;0
8,5000;8160;5;3;0;54;0,2490;239;2;0;0;0;0;0;0
8,7500;8400;5;3;240;49;0,2490;239;2;0;0;0;0;0;0
9,0000;8640;6;1;0;54;0,9990;959;8;1;1;1;1;1;1
10,0000;9600;6;3;0;56;0,3740;359;3;0;0;0;0;0;0
10,3750;9960;6;3;360;56;0,1240;119;1;0;0;0;0;0;0
10,5000;10080;7;1;0;56;0,4990;479;4;0;0;1;0;0;0
11,0000;10560;7;2;0;54;0,4990;479;4;0;0;0;0;0;0
11,5000;11040;7;3;0;54;0,2490;239;2;0;0;1;0;0;0
11,7500;11280;7;3;240;49;0,2490;239;2;0;0;0;0;0;0
12,0000;11520;8;1;0;54;0,9990;959;8;1;1;1;1;1;1
13,0000;12480;8;3;0;56;0,3740;359;3;0;0;0;0;0;0
13,3750;12840;8;3;360;56;0,1240;119;1;0;0;0;0;0;0
13,5000;12960;9;1;0;56;0,4990;479;4;0;0;0;0;0;0
14,0000;13440;9;2;0;54;0,4990;479;4;1;0;1;0;0;0
14,5000;13920;9;3;0;49;0,2490;239;2;0;0;0;0;0;0
14,7500;14160;9;3;240;49;0,2490;239;2;0;0;1;0;0;0
15,0000;14400;10;1;0;54;1,4990;1439;12;1;1;1;1;1;1
