Signature: 3/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
1,3750;1320;0;3;360;59;0,1240;119;3;0;0;1;0;0;0
1,5000;1440;1;1;0;61;0,3740;359;9;1;0;0;0;0;0
1,8750;1800;1;1;360;61;0,1240;119;3;0;0;0;0;0;0
2,0000;1920;1;2;0;61;0,3740;359;9;1;1;1;1;0;0
2,3750;2280;1;2;360;59;0,1240;119;3;0;0;0;0;0;0
2,5000;2400;1;3;0;57;0,3740;359;9;1;0;1;0;0;0
2,8750;2760;1;3;360;59;0,1240;119;3;0;0;0;0;0;0
3,0000;2880;2;1;0;61;0,4990;479;12;1;0;0;0;0;1
3,5000;3360;2;2;0;59;0,3740;359;9;0;0;0;0;0;0
3,8750;3720;2;2;360;61;0,4990;479;12;1;1;1;1;1;1
4,3750;4200;2;3;360;57;0,1240;119;3;0;0;0;0;0;0
4,5000;4320;3;1;0;59;0,3740;359;9;1;0;0;0;0;0
4,8750;4680;3;1;360;59;0,1240;119;3;0;0;1;0;0;0
5,0000;4800;3;2;0;61;0,3740;359;9;1;1;0;0;0;0
5,3750;5160;3;2;360;57;0,1240;119;3;0;0;0;0;0;0
5,5000;5280;3;3;0;54;0,3740;359;9;1;0;1;0;0;0
5,8750;5640;3;3;360;57;0,1240;119;3;0;0;0;0;0;0
6,0000;5760;4;1;0;59;0,3740;359;9;1;0;0;0;0;0
6,3750;6120;4;1;360;61;0,1240;119;3;0;0;1;0;0;0
6,5000;6240;4;2;0;57;0,2490;239;6;0;0;0;0;0;0
6,7500;6480;4;2;240;57;0,2490;239;6;1;1;1;1;1;0
7,5000;7200;5;1;0;61;0,3740;359;9;0;0;0;0;0;0
7,8750;7560;5;1;360;61;0,1240;119;3;0;0;0;0;0;0
8,0000;7680;5;2;0;61;0,1656;159;4;1;0;1;0;0;0
8,1667;7840;5;2;160;57;0,1656;159;4;0;0;0;0;0;0
8,3333;8000;5;2;320;59;0,1656;159;4;0;0;1;0;0;0
8,5000;8160;5;3;0;57;0,3740;359;9;1;1;0;0;0;0
8,8750;8520;5;3;360;57;0,1240;119;3;0;0;1;1;0;0
9,0000;8640;6;1;0;61;0,4990;479;12;0;0;0;0;1;1
9,5000;9120;6;2;0;59;0,3740;359;9;0;0;1;0;0;0
9,8750;9480;6;2;360;61;0,1240;119;3;0;0;0;0;0;0
10,0000;9600;6;3;0;61;0,1656;159;4;1;1;1;1;0;0
10,1667;9760;6;3;160;57;0,1656;159;4;0;0;0;0;0;0
10,3333;9920;6;3;320;57;0,1656;159;4;0;0;1;0;0;0
10,5000;10080;7;1;0;59;0,3740;359;9;1;0;0;0;0;0
10,8750;10440;7;1;360;59;0,1240;119;3;0;0;1;0;0;0
11,0000;10560;7;2;0;61;0,3740;359;9;1;1;0;0;0;0
11,3750;10920;7;2;360;57;0,1240;119;3;0;0;0;0;0;0
11,5000;11040;7;3;0;54;0,3740;359;9;1;0;1;0;0;0
11,8750;11400;7;3;360;57;0,1240;119;3;0;0;0;0;0;0
12,0000;11520;8;1;0;59;0,3740;359;9;1;0;0;0;0;0
12,3750;11880;8;1;360;61;0,1240;119;3;0;0;1;0;0;0
12,5000;12000;8;2;0;57;0,2490;239;6;0;0;0;0;0;0
12,7500;12240;8;2;240;57;0,2490;239;6;1;1;1;1;1;0
15,8750;15240;10;2;360;61;0,1240;119;3;0;0;0;0;0;0
16,0000;15360;10;3;0;61;0,3740;359;9;1;0;1;0;0;0
16,3750;15720;10;3;360;61;0,1240;119;3;0;0;0;0;0;0
16,5000;15840;11;1;0;61;0,3740;359;9;1;1;1;0;0;0
16,8750;16200;11;1;360;61;0,1240;119;3;0;0;0;0;0;0
17,0000;16320;11;2;0;61;0,1656;159;4;0;0;0;0;0;0
17,1667;16480;11;2;160;61;0,1656;159;4;0;0;0;0;0;0
17,3333;16640;11;2;320;61;0,1656;159;4;1;0;0;0;0;0
17,5000;16800;11;3;0;61;0,1656;159;4;0;0;0;1;0;0
17,6667;16960;11;3;160;59;0,1656;159;4;1;0;0;0;0;0
