Signature: 3/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,0000;0;1;1;0;60;0,2490;239;4;0;0;0;0;0;0
0,2500;240;1;1;240;55;0,2490;239;4;0;0;0;0;0;0
0,5000;480;1;2;0;60;0,3740;359;6;1;0;1;0;0;0
0,8750;840;1;2;360;55;0,1240;119;2;0;0;0;0;0;0
1,0000;960;1;3;0;55;0,4990;479;8;1;1;1;1;1;0
1,5000;1440;2;1;0;60;0,2490;239;4;0;0;0;0;0;0
1,7500;1680;2;1;240;57;0,2490;239;4;0;0;0;0;0;0
2,0000;1920;2;2;0;55;0,1865;179;3;0;0;1;0;0;0
2,1875;2100;2;2;180;50;0,0615;59;1;0;0;0;0;0;0
2,2500;2160;2;2;240;50;0,2490;239;4;0;0;1;0;0;0
2,5000;2400;2;3;0;53;0,2490;239;4;0;0;0;0;0;0
2,7500;2640;2;3;240;53;0,1240;119;2;0;0;1;0;0;0
2,8750;2760;2;3;360;50;0,1240;119;2;0;0;0;0;0;0
3,0000;2880;3;1;0;50;0,4990;479;8;0;0;0;0;0;0
3,5000;3360;3;2;0;50;0,2490;239;4;1;1;1;1;1;0
4,0000;3840;3;3;0;53;0,2490;239;4;0;0;0;0;0;0
4,2500;4080;3;3;240;53;0,1240;119;2;0;0;1;0;0;0
4,3750;4200;3;3;360;50;0,1240;119;2;1;0;0;0;0;0
4,5000;4320;4;1;0;48;0,4990;479;8;0;0;0;0;1;0
5,0000;4800;4;2;0;48;0,4990;479;8;1;1;1;1;0;0
5,5000;5280;4;3;0;55;0,2490;239;4;0;0;0;0;0;0
5,7500;5520;4;3;240;57;0,2490;239;4;0;0;0;0;0;0
6,0000;5760;5;1;0;55;0,2490;239;4;1;0;0;0;0;0
6,2500;6000;5;1;240;50;0,2490;239;4;0;0;1;0;0;0
6,5000;6240;5;2;0;53;0,2490;239;4;1;0;0;0;0;0
6,7500;6480;5;2;240;53;0,1240;119;2;0;0;1;0;0;0
6,8750;6600;5;2;360;50;0,1240;119;2;0;0;0;0;0;0
7,0000;6720;5;3;0;50;0,4990;479;8;0;0;0;0;0;0
7,5000;7200;6;1;0;50;0,2490;239;4;1;1;1;1;1;0
8,0000;7680;6;2;0;53;0,2490;239;4;0;0;0;0;0;0
8,2500;7920;6;2;240;53;0,1240;119;2;0;0;1;0;0;0
8,3750;8040;6;2;360;48;0,1240;119;2;0;0;0;0;0;0
8,5000;8160;6;3;0;48;0,4990;479;8;0;0;1;0;0;0
9,0000;8640;7;1;0;48;0,4990;479;8;1;1;1;1;1;1
