Signature: 3/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,0000;0;1;1;0;55;0,2490;239;6;0;0;0;0;0;0
0,2500;240;1;1;240;55;0,2490;239;6;0;0;0;0;0;0
0,5000;480;1;2;0;55;0,4990;479;12;1;1;1;0;0;0
1,0000;960;1;3;0;53;0,2490;239;6;0;0;0;0;0;0
1,2500;1200;1;3;240;53;0,2490;239;6;0;0;0;0;0;0
1,5000;1440;2;1;0;53;0,9990;959;24;1;1;1;1;1;1
2,5000;2400;2;3;0;55;0,2490;239;6;0;0;0;0;0;0
2,7500;2640;2;3;240;55;0,2490;239;6;0;0;0;0;0;0
3,0000;2880;3;1;0;55;0,4990;479;12;1;0;1;0;0;0
3,5000;3360;3;2;0;55;0,2490;239;6;0;0;0;0;0;0
3,7500;3600;3;2;240;55;0,2490;239;6;0;0;0;0;0;0
4,0000;3840;3;3;0;55;0,4990;479;12;1;0;1;0;0;0
4,5000;4320;4;1;0;55;0,2490;239;6;0;0;0;0;0;0
4,7500;4560;4;1;240;55;0,2490;239;6;0;0;0;0;0;0
5,0000;4800;4;2;0;53;0,4990;479;12;1;1;1;0;0;0
5,5000;5280;4;3;0;50;0,2490;239;6;0;0;0;0;0;0
5,7500;5520;4;3;240;50;0,2490;239;6;0;0;0;0;0;0
6,0000;5760;5;1;0;50;0,9990;959;24;1;1;1;1;1;1
7,0000;6720;5;3;0;55;0,2490;239;6;0;0;0;0;0;0
7,2500;6960;5;3;240;55;0,2490;239;6;0;0;0;0;0;0
7,5000;7200;6;1;0;55;0,4990;479;12;1;0;1;0;0;0
8,0000;7680;6;2;0;53;0,1656;159;4;0;0;0;0;0;0
8,1667;7840;6;2;160;53;0,1656;159;4;0;0;0;0;0;0
8,3333;8000;6;2;320;53;0,1656;159;4;0;0;0;0;0;0
8,5000;8160;6;3;0;53;0,3740;359;9;1;1;1;1;0;0
8,8750;8520;6;3;360;50;0,1240;119;3;0;0;0;0;0;0
9,0000;8640;7;1;0;50;0,2490;239;6;1;0;1;0;0;0
9,2500;8880;7;1;240;53;0,1240;119;3;0;0;0;0;0;0
9,3750;9000;7;1;360;53;0,1240;119;3;0;0;0;0;0;0
9,5000;9120;7;2;0;53;0,4990;479;12;1;1;1;1;1;0
10,0000;9600;7;3;0;50;0,2490;239;6;0;0;0;0;0;0
10,2500;9840;7;3;240;50;0,2490;239;6;0;0;0;0;0;0
10,5000;10080;8;1;0;50;0,4990;479;12;1;0;1;0;0;0
11,0000;10560;8;2;0;50;0,2490;239;6;0;0;0;0;0;0
11,2500;10800;8;2;240;50;0,2490;239;6;0;0;0;0;0;0
11,5000;11040;8;3;0;50;0,4990;479;12;1;1;1;1;0;0
12,0000;11520;9;1;0;50;0,2490;239;6;0;0;0;0;0;0
12,2500;11760;9;1;240;50;0,2490;239;6;0;0;0;0;0;0
12,5000;12000;9;2;0;50;0,4990;479;12;1;1;1;1;1;1
