Signature: 2/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,0000;0;1;1;0;58;0,4990;479;4;0;0;0;0;0;0
0,5000;480;1;2;0;59;0,9990;959;8;1;1;1;1;0;1
1,5000;1440;2;2;0;58;0,2490;239;2;0;0;0;0;0;0
1,7500;1680;2;2;240;53;0,2490;239;2;0;0;0;0;0;0
2,0000;1920;3;1;0;54;0,7490;719;6;1;0;1;0;0;1
2,7500;2640;3;2;240;53;0,2490;239;2;0;0;0;0;0;0
3,0000;2880;4;1;0;51;0,4990;479;4;1;1;1;0;0;1
3,5000;3360;4;2;0;54;0,2490;239;2;0;0;0;0;0;0
3,7500;3600;4;2;240;53;0,2490;239;2;0;0;0;0;0;0
4,0000;3840;5;1;0;54;0,9990;959;8;0;0;1;0;1;1
5,0000;4800;6;1;0;53;0,3740;359;3;1;0;0;0;0;0
5,3750;5160;6;1;360;51;0,1240;119;1;0;0;0;0;0;0
5,5000;5280;6;2;0;51;0,7490;719;6;1;1;1;1;0;1
6,2500;6000;7;1;240;53;0,1240;119;1;0;0;0;0;0;0
6,3750;6120;7;1;360;53;0,1240;119;1;0;0;1;0;0;0
6,5000;6240;7;2;0;51;0,2490;239;2;0;0;0;0;0;0
6,7500;6480;7;2;240;51;0,4990;479;4;1;1;1;0;0;1
7,2500;6960;8;1;240;47;0,1240;119;1;0;0;0;0;0;0
7,3750;7080;8;1;360;46;0,1240;119;1;0;0;0;0;0;0
7,5000;7200;8;2;0;46;0,9990;959;8;1;1;1;1;1;1
8,5000;8160;9;2;0;54;0,2490;239;2;0;0;0;0;0;0
8,7500;8400;9;2;240;53;0,2490;239;2;0;0;0;0;0;0
9,0000;8640;10;1;0;54;0,2490;239;2;0;0;0;0;0;0
9,2500;8880;10;1;240;54;0,3740;359;3;1;0;1;0;0;0
9,6250;9240;10;2;120;53;0,1240;119;1;0;0;0;0;0;0
9,7500;9360;10;2;240;51;0,2490;239;2;0;0;0;0;0;0
10,0000;9600;11;1;0;53;0,1240;119;1;0;0;0;0;0;0
10,1250;9720;11;1;120;51;0,1240;119;1;0;0;1;0;0;0
10,2500;9840;11;1;240;53;0,1240;119;1;0;0;0;0;0;0
10,3750;9960;11;1;360;53;0,3740;359;3;0;0;0;0;0;0
10,7500;10320;11;2;240;51;0,4990;479;4;1;0;1;0;0;1
11,2500;10800;12;1;240;47;0,1240;119;1;0;0;0;0;0;0
11,3750;10920;12;1;360;46;0,1240;119;1;1;1;1;1;1;0
11,7500;11280;12;2;240;51;0,2490;239;2;0;0;0;0;0;0
12,0000;11520;13;1;0;51;0,1240;119;1;0;0;0;0;0;0
12,1250;11640;13;1;120;51;0,1240;119;1;0;0;0;0;0;0
12,2500;11760;13;1;240;51;0,2490;239;2;1;0;1;0;0;0
12,5000;12000;13;2;0;47;0,1240;119;1;0;0;0;0;0;0
12,6250;12120;13;2;120;46;0,1240;119;1;0;0;1;1;0;0
12,7500;12240;13;2;240;51;0,2490;239;2;0;1;0;0;0;0
13,0000;12480;14;1;0;51;0,1240;119;1;0;0;0;0;0;0
13,1250;12600;14;1;120;51;0,1240;119;1;0;0;0;0;0;0
13,2500;12720;14;1;240;51;0,4990;479;4;1;0;1;0;0;0
13,7500;13200;14;2;240;46;0,9990;959;8;1;1;1;1;1;1
