Signature: 2/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,0000;0;1;1;0;60;0,1656;159;4;0;0;0;0;0;0
0,1667;160;1;1;160;60;0,1656;159;4;0;0;0;0;0;0
0,3333;320;1;1;320;60;0,1656;159;4;0;0;0;0;0;0
0,5000;480;1;2;0;60;0,4990;479;12;1;1;1;1;0;0
1,0000;960;2;1;0;58;0,1240;119;3;0;0;0;0;0;0
1,1250;1080;2;1;120;60;0,3740;359;9;0;0;0;0;0;0
1,5000;1440;2;2;0;60;0,3740;359;9;1;0;1;0;0;0
1,8750;1800;2;2;360;58;0,1240;119;3;0;0;0;0;0;0
2,0000;1920;3;1;0;58;0,9990;959;24;1;0;1;1;1;1
3,0000;2880;4;1;0;58;0,2490;239;6;0;0;0;0;0;0
3,2500;3120;4;1;240;58;0,2490;239;6;0;0;0;0;0;0
3,5000;3360;4;2;0;58;0,4990;479;12;1;1;1;0;0;0
4,0000;3840;5;1;0;55;0,2490;239;6;0;0;0;0;0;0
4,2500;4080;5;1;240;55;0,2490;239;6;1;1;1;1;1;0
5,0000;4800;6;1;0;58;0,1656;159;4;0;0;0;0;0;0
5,1667;4960;6;1;160;60;0,1656;159;4;0;0;0;0;0;0
5,3333;5120;6;1;320;60;0,1656;159;4;0;0;0;0;0;0
5,5000;5280;6;2;0;58;0,4990;479;12;1;1;1;0;0;0
6,0000;5760;7;1;0;55;0,1240;119;3;0;0;0;0;0;0
6,1250;5880;7;1;120;55;0,3740;359;9;0;0;0;0;0;0
6,5000;6240;7;2;0;55;0,3740;359;9;1;0;1;0;0;0
6,8750;6600;7;2;360;53;0,1240;119;3;0;0;0;0;0;0
7,0000;6720;8;1;0;53;0,9990;959;24;1;1;1;1;1;1
8,0000;7680;9;1;0;55;0,2490;239;6;0;0;0;0;0;0
8,2500;7920;9;1;240;53;0,2490;239;6;0;0;0;0;0;0
8,5000;8160;9;2;0;53;0,4990;479;12;1;0;1;0;0;0
9,0000;8640;10;1;0;53;0,2490;239;6;0;0;0;0;0;0
9,2500;8880;10;1;240;53;0,2490;239;6;1;1;1;1;1;0
10,0000;9600;11;1;0;58;0,1656;159;4;0;0;0;0;0;0
10,1667;9760;11;1;160;58;0,1656;159;4;0;0;0;0;0;0
10,3333;9920;11;1;320;58;0,1656;159;4;0;0;0;0;0;0
10,5000;10080;11;2;0;55;0,4990;479;12;1;0;1;0;0;0
11,0000;10560;12;1;0;53;0,1240;119;3;0;0;0;0;0;0
11,1250;10680;12;1;120;55;0,3740;359;9;0;0;0;0;0;0
11,5000;11040;12;2;0;55;0,3740;359;9;1;0;1;0;0;0
11,8750;11400;12;2;360;53;0,1240;119;3;0;0;0;0;0;0
12,0000;11520;13;1;0;53;0,9990;959;24;1;0;1;1;1;1
13,0000;12480;14;1;0;55;0,2490;239;6;0;0;0;0;0;0
13,2500;12720;14;1;240;53;0,2490;239;6;0;0;0;0;0;0
13,5000;12960;14;2;0;53;0,4990;479;12;1;1;1;0;0;0
14,0000;13440;15;1;0;50;0,2490;239;6;0;0;0;0;0;0
14,2500;13680;15;1;240;50;0,2490;239;6;1;1;1;1;1;0
15,0000;14400;16;1;0;53;0,1656;159;4;0;0;0;0;0;0
15,1667;14560;16;1;160;53;0,1656;159;4;0;0;1;0;0;0
15,3333;14720;16;1;320;55;0,1656;159;4;0;0;0;0;0;0
15,5000;14880;16;2;0;53;0,4990;479;12;1;1;1;0;0;0
16,0000;15360;17;1;0;50;0,1240;119;3;0;0;0;0;0;0
16,1250;15480;17;1;120;50;0,3740;359;9;0;0;0;0;0;0
16,5000;15840;17;2;0;50;0,3740;359;9;1;0;1;0;0;0
16,8750;16200;17;2;360;46;0,1240;119;3;0;0;0;0;0;0
17,0000;16320;18;1;0;46;0,7490;719;18;1;1;1;1;1;0
18,0000;17280;19;1;0;50;0,2490;239;6;0;0;0;0;0;0
18,2500;17520;19;1;240;46;0,2490;239;6;0;0;0;0;0;0
18,5000;17760;19;2;0;46;0,4990;479;12;1;0;1;0;0;0
19,0000;18240;20;1;0;46;0,2490;239;6;0;0;0;0;0;0
19,2500;18480;20;1;240;46;0,2490;239;6;1;1;1;1;1;0
20,0000;19200;21;1;0;50;0,1656;159;4;0;0;0;0;0;0
20,1667;19360;21;1;160;50;0,1656;159;4;0;0;0;0;0;0
20,3333;19520;21;1;320;50;0,1656;159;4;0;0;0;0;0;0
20,5000;19680;21;2;0;48;0,4990;479;12;1;0;1;0;0;0
21,0000;20160;22;1;0;46;0,1240;119;3;0;0;0;0;0;0
21,1250;20280;22;1;120;48;0,3740;359;9;0;0;0;0;0;0
21,5000;20640;22;2;0;48;0,3740;359;9;1;0;1;0;0;0
21,8750;21000;22;2;360;46;0,1240;119;3;0;0;0;0;0;0
22,0000;21120;23;1;0;46;0,4990;479;12;1;1;1;1;1;0
23,0000;22080;24;1;0;50;0,2490;239;6;0;0;0;0;0;0
23,2500;22320;24;1;240;46;0,2490;239;6;0;0;0;0;0;0
23,5000;22560;24;2;0;46;0,4990;479;12;1;0;1;0;0;0
24,0000;23040;25;1;0;46;0,2490;239;6;0;0;0;0;0;0
24,2500;23280;25;1;240;46;0,2490;239;6;1;1;1;1;1;1
