Signature: 2/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,5000;480;0;2;0;55;0,1656;159;8;0;0;0;0;0;0
0,6667;640;0;2;160;55;0,1656;159;8;0;0;0;0;0;0
0,8333;800;0;2;320;55;0,0823;79;4;1;1;1;1;0;0
0,9167;880;0;2;400;58;0,0823;79;4;0;0;0;0;0;0
1,0000;960;1;1;0;59;0,7490;719;36;1;0;1;0;1;1
1,7500;1680;1;2;240;59;0,1240;119;6;0;0;0;0;0;0
1,8750;1800;1;2;360;59;0,1240;119;6;0;0;0;0;0;0
2,0000;1920;2;1;0;59;0,2490;239;12;1;0;1;0;0;0
2,2500;2160;2;1;240;59;0,1240;119;6;0;0;0;0;0;0
2,3750;2280;2;1;360;59;0,1240;119;6;0;0;0;0;0;0
2,5000;2400;2;2;0;59;0,3740;359;18;1;1;0;0;0;0
2,8750;2760;2;2;360;59;0,1240;119;6;0;0;0;0;0;0
3,0000;2880;3;1;0;57;0,2490;239;12;1;0;1;0;0;0
3,2500;3120;3;1;240;55;0,1240;119;6;0;0;0;0;0;0
3,3750;3240;3;1;360;55;0,1240;119;6;0;0;0;0;0;0
3,5000;3360;3;2;0;55;0,1240;119;6;0;0;0;0;0;0
3,6250;3480;3;2;120;54;0,1240;119;6;1;1;1;1;1;0
4,0000;3840;4;1;0;55;0,2490;239;12;0;0;0;0;0;0
4,2500;4080;4;1;240;55;0,2490;239;12;1;0;1;0;0;0
4,5000;4320;4;2;0;55;0,1240;119;6;0;0;0;0;0;0
4,6250;4440;4;2;120;55;0,1240;119;6;0;0;0;0;0;0
4,7500;4560;4;2;240;55;0,1240;119;6;1;1;1;1;0;0
5,0000;4800;5;1;0;58;0,1865;179;9;0;0;0;0;0;0
5,1875;4980;5;1;180;57;0,0615;59;3;0;0;0;0;0;0
5,2500;5040;5;1;240;57;0,7490;719;36;1;0;1;0;1;1
