Signature: 3/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,0000;0;1;1;0;54;0,1656;159;4;0;0;0;0;0;0
0,1667;160;1;1;160;54;0,1656;159;4;0;0;0;0;0;0
0,3333;320;1;1;320;54;0,1656;159;4;0;0;0;0;0;0
0,5000;480;1;2;0;55;0,3740;359;9;1;1;1;0;0;0
0,8750;840;1;2;360;54;0,1240;119;3;0;0;0;0;0;0
1,0000;960;1;3;0;50;0,2490;239;6;0;0;0;0;0;0
1,2500;1200;1;3;240;54;0,1240;119;3;0;0;1;1;1;0
1,5000;1440;2;1;0;55;0,3740;359;9;1;0;0;0;0;0
1,8750;1800;2;1;360;54;0,1240;119;3;0;0;0;0;0;0
2,0000;1920;2;2;0;50;0,1656;159;4;1;1;0;0;0;0
2,1667;2080;2;2;160;54;0,1656;159;4;0;0;0;0;0;0
2,3333;2240;2;2;320;54;0,1656;159;4;1;0;1;0;0;0
2,5000;2400;2;3;0;50;0,1240;119;3;0;0;0;0;0;0
2,6250;2520;2;3;120;50;0,1240;119;3;0;0;0;0;0;0
2,7500;2640;2;3;240;48;0,1240;119;3;1;1;1;1;1;0
3,0000;2880;3;1;0;54;0,1656;159;4;0;0;0;0;0;0
3,1667;3040;3;1;160;54;0,1656;159;4;0;0;0;0;0;0
3,3333;3200;3;1;320;54;0,1656;159;4;0;0;0;0;0;0
3,5000;3360;3;2;0;55;0,3740;359;9;1;0;1;0;0;0
3,8750;3720;3;2;360;54;0,1240;119;3;0;0;0;0;0;0
4,0000;3840;3;3;0;50;0,2490;239;6;0;0;0;0;0;0
4,2500;4080;3;3;240;54;0,1240;119;3;0;0;1;1;1;0
4,5000;4320;4;1;0;55;0,3740;359;9;1;0;0;0;0;0
4,8750;4680;4;1;360;54;0,1240;119;3;0;0;0;0;0;0
5,0000;4800;4;2;0;50;0,1656;159;4;0;0;0;0;0;0
5,1667;4960;4;2;160;54;0,1656;159;4;0;0;0;0;0;0
5,3333;5120;4;2;320;54;0,1656;159;4;1;0;1;0;0;0
5,5000;5280;4;3;0;50;0,1240;119;3;0;0;0;0;0;0
5,6250;5400;4;3;120;50;0,1240;119;3;0;0;0;0;0;0
5,7500;5520;4;3;240;48;0,1240;119;3;1;0;1;1;0;0
6,0000;5760;5;1;0;60;0,4990;479;12;0;0;0;0;1;1
6,5000;6240;5;2;0;57;0,1240;119;3;0;0;0;0;0;0
6,6250;6360;5;2;120;55;0,3740;359;9;1;1;1;0;0;0
7,0000;6720;5;3;0;50;0,2490;239;6;0;0;0;0;0;0
7,2500;6960;5;3;240;54;0,1240;119;3;0;0;1;1;0;0
7,5000;7200;6;1;0;55;0,3740;359;9;1;0;0;0;0;0
7,8750;7560;6;1;360;54;0,1240;119;3;0;0;0;0;0;0
8,0000;7680;6;2;0;50;0,1656;159;4;0;0;0;0;0;0
8,1667;7840;6;2;160;54;0,1656;159;4;0;0;0;0;0;0
8,3333;8000;6;2;320;54;0,1656;159;4;1;0;1;0;0;0
8,5000;8160;6;3;0;50;0,1240;119;3;0;0;0;0;0;0
8,6250;8280;6;3;120;50;0,1240;119;3;0;0;0;0;0;0
8,7500;8400;6;3;240;48;0,1240;119;3;1;0;1;1;0;0
9,0000;8640;7;1;0;60;0,4990;479;12;0;0;0;0;1;1
9,5000;9120;7;2;0;57;0,1240;119;3;0;0;0;0;0;0
9,6250;9240;7;2;120;55;0,3740;359;9;1;1;1;0;0;0
10,0000;9600;7;3;0;50;0,2490;239;6;0;0;0;0;0;0
10,2500;9840;7;3;240;54;0,1240;119;3;0;0;1;1;0;0
10,5000;10080;8;1;0;55;0,3740;359;9;1;0;0;0;0;0
10,8750;10440;8;1;360;54;0,1240;119;3;0;0;0;0;0;0
11,0000;10560;8;2;0;50;0,1656;159;4;1;1;0;0;0;0
11,1667;10720;8;2;160;54;0,1656;159;4;0;0;0;0;0;0
11,3333;10880;8;2;320;54;0,1656;159;4;1;0;1;0;0;0
11,5000;11040;8;3;0;50;0,1240;119;3;0;0;0;0;0;0
11,6250;11160;8;3;120;50;0,1240;119;3;0;0;1;0;0;0
11,7500;11280;8;3;240;48;0,1240;119;3;1;1;1;1;1;1
