Signature: 3/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,0000;0;1;1;0;61;0,2490;239;6;1;1;1;1;0;0
0,2500;240;1;1;240;64;0,1240;119;3;0;0;0;0;0;0
0,3750;360;1;1;360;64;0,1240;119;3;0;0;0;0;0;0
0,5000;480;1;2;0;64;0,2490;239;6;0;0;0;0;0;0
0,7500;720;1;2;240;64;0,2490;239;6;0;0;0;0;0;0
1,0000;960;1;3;0;59;0,2490;239;6;1;1;1;1;0;0
1,2500;1200;1;3;240;64;0,1240;119;3;0;0;0;0;0;0
1,3750;1320;1;3;360;64;0,1240;119;3;1;0;1;1;0;0
1,5000;1440;2;1;0;59;0,1240;119;3;0;0;0;0;0;0
1,6250;1560;2;1;120;59;0,1240;119;3;0;0;0;0;0;0
1,7500;1680;2;1;240;59;0,2490;239;6;0;0;0;0;1;0
2,0000;1920;2;2;0;59;0,2490;239;6;1;1;1;0;0;0
2,2500;2160;2;2;240;56;0,1240;119;3;0;0;0;0;0;0
2,3750;2280;2;2;360;54;0,1240;119;3;0;0;0;0;0;0
2,5000;2400;2;3;0;56;0,1240;119;3;0;0;0;0;0;0
2,6250;2520;2;3;120;54;0,1240;119;3;1;0;1;0;0;0
2,7500;2640;2;3;240;52;0,1240;119;3;0;0;0;0;0;0
2,8750;2760;2;3;360;52;0,1240;119;3;0;0;0;0;0;0
3,0000;2880;3;1;0;52;0,2490;239;6;0;0;1;1;0;0
3,2500;3120;3;1;240;59;0,2490;239;6;1;0;0;0;1;0
3,5000;3360;3;2;0;56;0,0823;79;2;0;0;0;0;0;0
3,5833;3440;3;2;80;54;0,0823;79;2;0;0;0;0;0;0
3,6667;3520;3;2;160;52;0,0823;79;2;1;1;1;0;0;0
3,7500;3600;3;2;240;56;0,0823;79;2;0;0;0;0;0;0
3,8333;3680;3;2;320;54;0,0823;79;2;1;0;1;0;0;0
3,9167;3760;3;2;400;52;0,0823;79;2;0;0;0;0;0;0
4,0000;3840;3;3;0;52;0,1240;119;3;0;0;0;0;0;0
4,1250;3960;3;3;120;52;0,1240;119;3;0;0;0;0;0;0
4,2500;4080;3;3;240;52;0,2490;239;6;0;0;1;1;1;0
4,5000;4320;4;1;0;47;0,2490;239;6;0;0;0;0;0;0
4,7500;4560;4;1;240;52;0,2490;239;6;1;0;0;0;0;0
5,0000;4800;4;2;0;52;0,1240;119;3;0;0;0;0;0;0
5,1250;4920;4;2;120;52;0,1240;119;3;0;0;0;0;0;0
5,2500;5040;4;2;240;52;0,1240;119;3;0;0;0;0;0;0
5,3750;5160;4;2;360;52;0,1240;119;3;0;0;0;0;0;0
5,5000;5280;4;3;0;52;0,2490;239;6;0;0;1;1;0;0
5,7500;5520;4;3;240;59;0,2490;239;6;0;0;0;0;1;0
6,0000;5760;5;1;0;56;0,0823;79;2;1;0;0;0;0;0
6,0833;5840;5;1;80;54;0,0823;79;2;0;0;0;0;0;0
6,1667;5920;5;1;160;52;0,0823;79;2;0;0;1;0;0;0
6,2500;6000;5;1;240;56;0,0823;79;2;1;1;0;0;0;0
6,3333;6080;5;1;320;54;0,0823;79;2;0;0;1;0;0;0
6,4167;6160;5;1;400;52;0,0823;79;2;1;0;0;0;0;0
6,5000;6240;5;2;0;52;0,1240;119;3;0;0;0;0;0;0
6,6250;6360;5;2;120;52;0,1240;119;3;0;0;0;0;0;0
6,7500;6480;5;2;240;52;0,2490;239;6;1;1;1;1;0;0
7,0000;6720;5;3;0;52;0,1240;119;3;0;0;0;0;0;0
7,1250;6840;5;3;120;52;0,1240;119;3;0;0;0;0;0;0
7,2500;6960;5;3;240;52;0,2490;239;6;1;1;1;1;1;1
