Signature: 2/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
1,2500;1200;2;1;240;63;0,2490;239;2;0;0;0;0;0;0
1,5000;1440;2;2;0;68;0,9990;959;8;1;1;1;0;0;0
2,5000;2400;3;2;0;68;0,4990;479;4;0;0;0;0;0;0
3,0000;2880;4;1;0;68;0,3740;359;3;1;0;1;0;0;0
3,3750;3240;4;1;360;63;0,1240;119;1;0;0;0;0;0;0
3,5000;3360;4;2;0;63;0,2490;239;2;1;1;1;1;1;0
4,0000;3840;5;1;0;68;0,3740;359;3;0;0;0;0;0;0
4,3750;4200;5;1;360;70;0,1240;119;1;0;0;0;0;0;0
4,5000;4320;5;2;0;70;0,9990;959;8;1;0;1;0;0;0
5,5000;5280;6;2;0;75;0,4990;479;4;0;0;0;0;0;0
6,0000;5760;7;1;0;70;0,3740;359;3;1;0;1;0;0;0
6,3750;6120;7;1;360;68;0,1240;119;1;0;0;0;0;0;0
6,5000;6240;7;2;0;68;0,9990;959;8;1;1;1;0;0;0
7,5000;7200;8;2;0;65;0,4990;479;4;0;0;0;0;0;0
8,0000;7680;9;1;0;63;0,9990;959;8;0;0;0;0;0;0
9,0000;8640;10;1;0;63;0,4990;479;4;1;0;1;1;1;0
10,0000;9600;11;1;0;63;0,4990;479;4;0;0;0;0;0;0
10,5000;10080;11;2;0;63;0,4990;479;4;0;0;1;0;0;0
11,0000;10560;12;1;0;68;0,9990;959;8;1;0;0;0;0;0
12,0000;11520;13;1;0;70;0,4990;479;4;0;0;0;0;0;0
12,5000;12000;13;2;0;68;0,9990;959;8;1;1;1;0;0;0
13,5000;12960;14;2;0;65;0,4990;479;4;0;0;0;0;0;0
14,0000;13440;15;1;0;63;0,9990;959;8;1;1;1;1;1;0
15,5000;14880;16;2;0;68;0,4990;479;4;0;0;0;0;0;0
16,0000;15360;17;1;0;70;0,4990;479;4;0;0;0;0;0;0
16,5000;15840;17;2;0;75;0,4990;479;4;0;0;0;0;0;0
17,0000;16320;18;1;0;70;1,4990;1439;12;0;0;1;0;0;0
18,5000;17760;19;2;0;68;0,9990;959;8;0;1;0;0;0;0
19,5000;18720;20;2;0;70;0,4990;479;4;0;0;0;0;0;0
20,0000;19200;21;1;0;68;0,4990;479;4;1;0;0;0;0;0
20,5000;19680;21;2;0;65;0,9990;959;8;0;0;1;0;0;0
21,5000;20640;22;2;0;63;0,9990;959;8;1;1;1;1;1;1
