Signature: 2/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,0000;0;1;1;0;63;0,9990;959;8;0;0;0;0;0;0
1,0000;960;2;1;0;63;0,7490;719;6;1;0;1;0;0;0
1,7500;1680;2;2;240;60;0,2490;239;2;0;0;0;0;0;0
2,0000;1920;3;1;0;63;0,7490;719;6;1;1;1;0;0;0
2,7500;2640;3;2;240;58;0,2490;239;2;0;0;0;0;0;0
3,0000;2880;4;1;0;60;0,1240;119;1;0;0;0;0;0;0
3,1250;3000;4;1;120;58;0,6240;599;5;1;1;1;1;0;0
3,8750;3720;4;2;360;63;0,1240;119;1;0;0;0;0;0;0
4,0000;3840;5;1;0;63;0,9990;959;8;0;0;0;0;1;0
5,0000;4800;6;1;0;63;0,9990;959;8;1;0;1;0;0;0
6,0000;5760;7;1;0;60;0,1240;119;1;0;0;0;0;0;0
6,1250;5880;7;1;120;58;0,8740;839;7;0;0;0;0;0;0
7,0000;6720;8;1;0;58;0,9990;959;8;1;1;1;1;1;0
8,0000;7680;9;1;0;55;0,1240;119;1;0;0;0;0;0;0
8,1250;7800;9;1;120;53;0,3740;359;3;0;0;0;0;0;0
8,5000;8160;9;2;0;53;0,4990;479;4;0;0;1;0;0;0
9,0000;8640;10;1;0;56;0,4990;479;4;0;0;0;0;0;0
9,5000;9120;10;2;0;53;0,1240;119;1;0;1;1;0;0;0
9,6250;9240;10;2;120;51;0,3740;359;3;0;0;0;0;0;0
10,0000;9600;11;1;0;51;0,4990;479;4;0;0;1;0;0;0
10,5000;10080;11;2;0;46;0,4990;479;4;0;0;0;0;0;0
11,0000;10560;12;1;0;51;0,9990;959;8;0;0;0;0;0;0
12,0000;11520;13;1;0;46;1,9990;1919;16;1;1;1;1;1;1
14,0000;13440;15;1;0;58;0,4990;479;4;0;0;0;0;0;0
14,5000;13920;15;2;0;58;0,4990;479;4;0;0;1;0;0;0
15,0000;14400;16;1;0;60;0,4990;479;4;1;0;0;0;0;0
15,5000;14880;16;2;0;60;0,2490;239;2;0;0;1;0;0;0
15,7500;15120;16;2;240;58;0,2490;239;2;0;0;0;0;0;0
16,0000;15360;17;1;0;58;0,7490;719;6;1;1;1;1;0;0
16,7500;16080;17;2;240;53;0,2490;239;2;0;0;0;0;0;0
17,0000;16320;18;1;0;55;0,2490;239;2;0;0;1;0;0;0
17,2500;16560;18;1;240;53;0,2490;239;2;0;0;0;0;0;0
17,5000;16800;18;2;0;53;0,2490;239;2;1;0;1;1;0;0
18,0000;17280;19;1;0;56;0,9990;959;8;0;0;0;0;1;0
19,0000;18240;20;1;0;56;0,4990;479;4;0;0;0;0;0;0
19,5000;18720;20;2;0;56;0,4990;479;4;0;0;0;0;0;0
20,0000;19200;21;1;0;56;0,1240;119;1;0;0;0;0;0;0
20,1250;19320;21;1;120;53;0,8740;839;7;1;0;1;0;0;0
21,0000;20160;22;1;0;51;0,4990;479;4;0;0;0;0;0;0
21,5000;20640;22;2;0;48;0,2490;239;2;0;0;1;1;0;0
22,0000;21120;23;1;0;53;0,9990;959;8;0;0;0;0;0;0
23,0000;22080;24;1;0;53;0,1240;119;1;0;0;0;0;0;0
23,1250;22200;24;1;120;51;0,8740;839;7;1;1;1;0;0;0
24,0000;23040;25;1;0;51;0,4990;479;4;0;0;0;0;0;0
24,5000;23520;25;2;0;48;0,4990;479;4;1;0;0;0;0;0
25,0000;24000;26;1;0;46;0,9990;959;8;0;0;0;0;0;0
26,0000;24960;27;1;0;46;0,9990;959;8;1;1;1;1;1;1
