Signature: 2/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,0000;0;1;1;0;60;0,4990;479;4;0;0;0;0;0;0
0,5000;480;1;2;0;60;0,3740;359;3;0;0;1;0;0;0
0,8750;840;1;2;360;60;0,1240;119;1;0;0;0;0;0;0
1,0000;960;2;1;0;60;0,7490;719;6;1;1;1;1;0;0
1,7500;1680;2;2;240;55;0,2490;239;2;0;0;0;0;0;0
2,0000;1920;3;1;0;60;0,9990;959;8;1;0;1;0;1;1
3,0000;2880;4;1;0;60;0,4990;479;4;0;0;0;0;0;0
3,5000;3360;4;2;0;60;0,3740;359;3;0;0;0;0;0;0
3,8750;3720;4;2;360;60;0,1240;119;1;0;0;0;0;0;0
4,0000;3840;5;1;0;55;0,7490;719;6;1;0;1;0;0;0
4,7500;4560;5;2;240;53;0,2490;239;2;0;0;0;0;0;0
5,0000;4800;6;1;0;55;0,9990;959;8;1;0;0;0;1;1
6,0000;5760;7;1;0;55;0,4990;479;4;0;0;1;1;0;0
6,5000;6240;7;2;0;60;0,3740;359;3;0;0;0;0;0;0
6,8750;6600;7;2;360;60;0,1240;119;1;0;0;0;0;0;0
7,0000;6720;8;1;0;55;0,7490;719;6;1;1;1;0;0;0
7,7500;7440;8;2;240;53;0,2490;239;2;0;0;0;0;0;0
8,0000;7680;9;1;0;53;0,9990;959;8;1;0;1;0;0;1
9,0000;8640;10;1;0;53;0,4990;479;4;0;0;0;0;0;0
9,5000;9120;10;2;0;53;0,3740;359;3;0;0;0;0;0;0
9,8750;9480;10;2;360;53;0,1240;119;1;0;0;0;0;0;0
10,0000;9600;11;1;0;51;0,7490;719;6;1;1;1;1;0;0
10,7500;10320;11;2;240;48;0,2490;239;2;0;0;0;0;0;0
11,0000;10560;12;1;0;53;0,9990;959;8;1;0;1;0;1;1
12,0000;11520;13;1;0;53;0,4990;479;4;0;0;0;0;0;0
12,5000;12000;13;2;0;55;0,3740;359;3;0;0;0;0;0;0
12,8750;12360;13;2;360;55;0,1240;119;1;0;0;0;0;0;0
13,0000;12480;14;1;0;53;0,7490;719;6;1;1;1;1;0;0
13,7500;13200;14;2;240;50;0,2490;239;2;0;0;0;0;0;0
14,0000;13440;15;1;0;48;0,4990;479;4;0;0;0;0;0;0
14,5000;13920;15;2;0;50;0,4990;479;4;1;0;1;0;0;0
15,0000;14400;16;1;0;48;0,1240;119;1;0;0;0;0;0;0
15,1250;14520;16;1;120;48;0,3740;359;3;0;0;1;0;0;0
15,5000;14880;16;2;0;48;0,4990;479;4;0;0;0;0;0;0
16,0000;15360;17;1;0;48;0,9990;959;8;1;1;1;1;1;1
17,0000;16320;18;1;0;55;0,2490;239;2;0;0;0;0;0;0
17,2500;16560;18;1;240;55;0,2490;239;2;0;0;1;0;0;0
17,5000;16800;18;2;0;60;0,3740;359;3;1;0;0;0;0;0
17,8750;17160;18;2;360;60;0,1240;119;1;0;0;1;0;0;0
18,0000;17280;19;1;0;55;0,7490;719;6;1;1;0;0;0;0
18,7500;18000;19;2;240;55;0,1240;119;1;0;0;0;0;0;0
18,8750;18120;19;2;360;53;0,1240;119;1;0;0;0;0;0;0
19,0000;18240;20;1;0;55;0,9990;959;8;1;0;1;1;1;1
20,0000;19200;21;1;0;55;0,2490;239;2;0;0;0;0;0;0
20,2500;19440;21;1;240;55;0,2490;239;2;1;0;1;0;0;0
20,5000;19680;21;2;0;60;0,2490;239;2;0;0;0;0;0;0
20,7500;19920;21;2;240;60;0,2490;239;2;0;0;1;0;0;0
21,0000;20160;22;1;0;55;0,7490;719;6;1;1;0;0;0;0
21,7500;20880;22;2;240;55;0,1240;119;1;0;0;0;0;0;0
21,8750;21000;22;2;360;53;0,1240;119;1;0;0;0;0;0;0
22,0000;21120;23;1;0;53;0,9990;959;8;1;0;1;1;1;1
23,0000;22080;24;1;0;53;0,2490;239;2;0;0;0;0;0;0
23,2500;22320;24;1;240;53;0,2490;239;2;0;0;0;0;0;0
23,5000;22560;24;2;0;53;0,2490;239;2;0;0;0;0;0;0
23,7500;22800;24;2;240;53;0,2490;239;2;0;0;0;0;0;0
24,0000;23040;25;1;0;51;0,4990;479;4;1;1;1;0;0;0
24,5000;23520;25;2;0;48;0,2490;239;2;0;0;0;0;0;0
24,7500;23760;25;2;240;48;0,2490;239;2;0;0;0;0;0;0
25,0000;24000;26;1;0;53;0,9990;959;8;1;0;1;1;1;1
26,0000;24960;27;1;0;53;0,2490;239;2;0;0;0;0;0;0
26,2500;25200;27;1;240;53;0,2490;239;2;0;0;1;0;0;0
26,5000;25440;27;2;0;55;0,3740;359;3;1;0;0;0;0;0
26,8750;25800;27;2;360;55;0,1240;119;1;0;0;0;0;0;0
27,0000;25920;28;1;0;53;0,4990;479;4;1;1;1;1;0;0
27,5000;26400;28;2;0;50;0,2490;239;2;0;0;0;0;0;0
27,7500;26640;28;2;240;48;0,2490;239;2;0;0;0;0;0;0
28,0000;26880;29;1;0;50;0,4990;479;4;1;0;1;0;0;0
28,5000;27360;29;2;0;48;0,2490;239;2;0;0;0;0;0;0
28,7500;27600;29;2;240;48;0,2490;239;2;0;0;0;0;0;0
29,0000;27840;30;1;0;48;0,9990;959;8;1;1;1;1;1;1
