Signature: 3/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,0000;0;1;1;0;65;0,1240;119;3;0;0;0;0;0;0
0,1250;120;1;1;120;65;0,1656;159;4;0;1;1;0;0;0
0,2917;280;1;1;280;61;0,1656;159;4;0;0;0;0;0;0
0,4583;440;1;1;440;63;0,1656;159;4;0;0;0;0;0;0
0,6250;600;1;2;120;56;0,3740;359;9;1;0;1;0;0;0
1,0000;960;1;3;0;63;0,1240;119;3;0;0;0;0;0;0
1,1250;1080;1;3;120;61;0,3740;359;9;1;1;1;1;1;0
1,5000;1440;2;1;0;53;0,1240;119;3;0;0;0;0;0;0
1,6250;1560;2;1;120;56;0,1240;119;3;0;0;0;0;0;0
1,7500;1680;2;1;240;56;0,3740;359;9;1;0;1;0;0;0
2,1250;2040;2;2;120;56;0,1240;119;3;0;0;0;0;0;0
2,2500;2160;2;2;240;56;0,3740;359;9;0;0;0;0;0;0
2,6250;2520;2;3;120;56;0,3740;359;9;1;0;1;1;1;0
3,0000;2880;3;1;0;65;0,1240;119;3;0;0;0;0;0;0
3,1250;3000;3;1;120;65;0,1656;159;4;1;1;1;0;0;0
3,2917;3160;3;1;280;61;0,1656;159;4;0;0;0;0;0;0
3,4583;3320;3;1;440;63;0,1656;159;4;0;0;0;0;0;0
3,6250;3480;3;2;120;56;0,3740;359;9;1;0;1;0;0;0
4,0000;3840;3;3;0;63;0,1240;119;3;0;0;0;0;0;0
4,1250;3960;3;3;120;61;0,3740;359;9;1;1;1;1;0;0
4,5000;4320;4;1;0;53;0,1240;119;3;0;0;0;0;0;0
4,6250;4440;4;1;120;56;0,1240;119;3;0;0;0;0;0;0
4,7500;4560;4;1;240;56;0,3740;359;9;1;0;1;0;0;0
5,1250;4920;4;2;120;56;0,2490;239;6;0;0;0;0;0;0
5,3750;5160;4;2;360;56;0,6240;599;15;1;1;1;1;1;1
6,0000;5760;5;1;0;58;0,1240;119;3;0;0;0;0;0;0
6,1250;5880;5;1;120;58;0,1656;159;4;0;0;1;0;0;0
6,2917;6040;5;1;280;53;0,1656;159;4;1;0;0;0;0;0
6,4583;6200;5;1;440;58;0,1656;159;4;0;0;0;0;0;0
6,6250;6360;5;2;120;56;0,3740;359;9;1;0;1;0;0;0
7,0000;6720;5;3;0;58;0,1240;119;3;0;0;0;0;0;0
7,1250;6840;5;3;120;56;0,1240;119;3;0;0;0;0;0;0
7,2500;6960;5;3;240;56;0,3740;359;9;0;0;0;0;0;0
7,6250;7320;6;1;120;56;0,7490;719;18;1;1;1;1;1;1
8,3750;8040;6;2;360;58;0,2490;239;6;0;0;0;0;0;0
8,6250;8280;6;3;120;58;0,1656;159;4;1;0;1;0;0;0
8,7917;8440;6;3;280;53;0,1656;159;4;0;0;0;0;0;0
8,9583;8600;6;3;440;58;0,1656;159;4;0;0;0;0;0;0
9,1250;8760;7;1;120;56;0,3740;359;9;1;0;1;1;0;0
9,5000;9120;7;2;0;58;0,1240;119;3;0;0;0;0;0;0
9,6250;9240;7;2;120;56;0,2490;239;6;0;0;0;0;0;0
9,8750;9480;7;2;360;56;0,2490;239;6;0;0;0;0;0;0
10,1250;9720;7;3;120;56;0,8740;839;21;1;1;1;1;1;1
