Signature: 4/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,0000;0;1;1;0;43;0,2490;239;1;0;1;0;1;0;0
0,2500;240;1;1;240;43;0,2490;239;1;0;1;0;1;0;0
0,5000;480;1;2;0;43;0,2490;239;1;0;1;0;1;0;0
0,7500;720;1;2;240;43;0,2490;239;1;0;1;0;1;0;0
1,0000;960;1;3;0;43;0,2490;239;1;0;1;0;1;0;0
1,2500;1200;1;3;240;43;0,2490;239;1;0;1;0;1;0;0
1,5000;1440;1;4;0;43;0,2490;239;1;0;1;0;1;0;0
1,7500;1680;1;4;240;43;0,2490;239;1;0;1;0;1;1;0
2,0000;1920;2;1;0;43;0,2490;239;1;0;1;0;1;0;0
2,2500;2160;2;1;240;43;0,2490;239;1;0;1;0;1;0;0
2,5000;2400;2;2;0;43;0,2490;239;1;0;1;0;1;0;0
2,7500;2640;2;2;240;43;0,2490;239;1;0;1;0;1;0;0
3,0000;2880;2;3;0;43;0,2490;239;1;0;1;0;1;0;0
3,2500;3120;2;3;240;43;0,2490;239;1;0;1;0;1;0;0
3,5000;3360;2;4;0;43;0,2490;239;1;0;1;0;1;0;0
3,7500;3600;2;4;240;43;0,2490;239;1;0;1;0;1;0;0
4,0000;3840;3;1;0;43;0,2490;239;1;0;1;0;1;0;0
4,2500;4080;3;1;240;43;0,2490;239;1;0;1;0;1;1;0
4,5000;4320;3;2;0;43;0,2490;239;1;0;1;0;1;0;0
4,7500;4560;3;2;240;43;0,2490;239;1;0;1;0;1;0;0
5,0000;4800;3;3;0;43;0,2490;239;1;0;1;0;1;0;0
5,2500;5040;3;3;240;43;0,2490;239;1;0;1;0;1;0;0
5,5000;5280;3;4;0;43;0,2490;239;1;0;1;0;1;0;0
5,7500;5520;3;4;240;43;0,2490;239;1;0;1;0;1;0;0
6,0000;5760;4;1;0;43;0,2490;239;1;0;1;0;1;0;0
6,2500;6000;4;1;240;43;0,2490;239;1;0;1;0;1;0;0
6,5000;6240;4;2;0;43;0,2490;239;1;0;1;0;1;0;0
6,7500;6480;4;2;240;43;0,2490;239;1;0;1;0;1;1;0
7,0000;6720;4;3;0;43;0,2490;239;1;0;1;0;1;0;0
7,2500;6960;4;3;240;43;0,2490;239;1;0;1;0;1;0;0
7,5000;7200;4;4;0;43;0,2490;239;1;0;1;0;1;0;0
7,7500;7440;4;4;240;43;0,2490;239;1;0;1;0;1;0;0
8,0000;7680;5;1;0;43;0,2490;239;1;0;1;0;1;0;0
8,2500;7920;5;1;240;43;0,2490;239;1;0;1;0;1;0;0
8,5000;8160;5;2;0;43;0,2490;239;1;0;1;0;1;0;0
8,7500;8400;5;2;240;43;0,2490;239;1;0;1;0;1;0;0
9,0000;8640;5;3;0;43;0,2490;239;1;0;1;0;1;0;0
9,2500;8880;5;3;240;43;0,2490;239;1;0;1;0;1;1;0
9,5000;9120;5;4;0;43;0,2490;239;1;0;1;0;1;0;0
9,7500;9360;5;4;240;43;0,2490;239;1;0;1;0;1;0;0
10,0000;9600;6;1;0;43;0,2490;239;1;0;1;0;1;0;0
10,2500;9840;6;1;240;43;0,2490;239;1;0;1;0;1;0;0
10,5000;10080;6;2;0;43;0,2490;239;1;0;1;0;1;0;0
10,7500;10320;6;2;240;43;0,2490;239;1;0;1;0;1;0;0
11,0000;10560;6;3;0;43;0,2490;239;1;0;1;0;1;0;0
11,2500;10800;6;3;240;43;0,2490;239;1;0;1;0;1;0;0
11,5000;11040;6;4;0;43;0,2490;239;1;0;1;0;1;0;0
11,7500;11280;6;4;240;43;0,2490;239;1;0;1;0;1;1;0
12,0000;11520;7;1;0;43;0,2490;239;1;0;1;0;1;0;0
12,2500;11760;7;1;240;43;0,2490;239;1;0;1;0;1;0;0
12,5000;12000;7;2;0;43;0,2490;239;1;0;1;0;1;0;0
12,7500;12240;7;2;240;43;0,2490;239;1;0;1;0;1;0;0
13,0000;12480;7;3;0;43;0,2490;239;1;0;1;0;1;0;0
13,2500;12720;7;3;240;43;0,2490;239;1;0;1;0;1;0;0
13,5000;12960;7;4;0;43;0,2490;239;1;0;1;0;1;0;0
13,7500;13200;7;4;240;43;0,2490;239;1;0;1;0;1;0;0
14,0000;13440;8;1;0;43;0,2490;239;1;0;1;0;1;0;0
14,2500;13680;8;1;240;43;0,2490;239;1;0;1;0;1;1;0
14,5000;13920;8;2;0;43;0,2490;239;1;0;1;0;1;0;0
14,7500;14160;8;2;240;43;0,2490;239;1;0;1;0;1;0;0
15,0000;14400;8;3;0;43;0,2490;239;1;0;1;0;1;0;0
15,2500;14640;8;3;240;43;0,2490;239;1;0;1;0;1;0;0
15,5000;14880;8;4;0;43;0,2490;239;1;0;1;0;1;0;0
15,7500;15120;8;4;240;43;0,2490;239;1;0;1;0;1;0;0
16,0000;15360;9;1;0;43;0,2490;239;1;0;1;0;1;0;0
16,2500;15600;9;1;240;43;0,2490;239;1;0;1;0;1;0;0
16,5000;15840;9;2;0;43;0,2490;239;1;0;1;0;1;0;0
16,7500;16080;9;2;240;43;0,2490;239;1;0;1;0;1;1;0
17,0000;16320;9;3;0;43;0,2490;239;1;0;1;0;1;0;0
17,2500;16560;9;3;240;43;0,2490;239;1;0;1;0;1;0;0
17,5000;16800;9;4;0;43;0,2490;239;1;0;1;0;1;0;0
17,7500;17040;9;4;240;43;0,2490;239;1;0;1;0;1;0;0
18,0000;17280;10;1;0;43;0,2490;239;1;0;1;0;1;0;0
18,2500;17520;10;1;240;43;0,2490;239;1;0;1;0;1;0;0
18,5000;17760;10;2;0;43;0,2490;239;1;0;1;0;1;0;0
18,7500;18000;10;2;240;43;0,2490;239;1;0;1;0;1;0;0
19,0000;18240;10;3;0;43;0,2490;239;1;0;1;0;1;0;0
19,2500;18480;10;3;240;43;0,2490;239;1;0;1;0;1;1;0
19,5000;18720;10;4;0;43;0,2490;239;1;0;1;0;1;0;0
19,7500;18960;10;4;240;43;0,2490;239;1;0;1;0;1;0;0
20,0000;19200;11;1;0;43;0,2490;239;1;0;1;0;1;0;0
20,2500;19440;11;1;240;43;0,2490;239;1;0;1;0;1;0;0
20,5000;19680;11;2;0;43;0,2490;239;1;0;1;0;1;0;0
20,7500;19920;11;2;240;43;0,2490;239;1;0;1;0;1;0;0
21,0000;20160;11;3;0;43;0,2490;239;1;0;1;0;1;0;0
21,2500;20400;11;3;240;43;0,2490;239;1;0;1;0;1;0;0
21,5000;20640;11;4;0;43;0,2490;239;1;0;1;0;1;0;0
21,7500;20880;11;4;240;43;0,2490;239;1;0;1;0;1;1;0
22,0000;21120;12;1;0;43;0,2490;239;1;0;1;0;1;0;0
22,2500;21360;12;1;240;43;0,2490;239;1;0;1;0;1;0;0
