Signature: 2/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,0000;0;1;1;0;53;0,2490;239;2;0;0;0;0;0;0
0,2500;240;1;1;240;53;0,2490;239;2;0;0;0;0;0;0
0,5000;480;1;2;0;51;0,4990;479;4;1;1;1;0;0;0
1,0000;960;2;1;0;53;0,2490;239;2;0;0;0;0;0;0
1,2500;1200;2;1;240;53;0,2490;239;2;0;0;0;0;0;0
1,5000;1440;2;2;0;48;0,2490;239;2;1;1;1;1;0;0
2,0000;1920;3;1;0;51;0,9990;959;8;0;0;0;0;0;1
3,0000;2880;4;1;0;51;0,4990;479;4;0;0;1;0;1;0
4,0000;3840;5;1;0;51;0,9990;959;8;1;0;0;0;0;1
5,0000;4800;6;1;0;53;0,2490;239;2;0;0;0;0;0;0
5,2500;5040;6;1;240;51;0,2490;239;2;0;0;0;0;0;0
5,5000;5280;6;2;0;48;0,2490;239;2;1;1;1;1;0;0
6,0000;5760;7;1;0;51;0,9990;959;8;0;0;0;0;0;1
7,0000;6720;8;1;0;51;0,9990;959;8;1;0;1;0;1;1
8,0000;7680;9;1;0;53;0,3740;359;3;0;0;0;0;0;0
8,3750;8040;9;1;360;53;0,1240;119;1;0;0;0;0;0;0
8,5000;8160;9;2;0;53;0,7490;719;6;1;1;1;1;0;0
9,2500;8880;10;1;240;51;0,2490;239;2;0;0;0;0;0;0
9,5000;9120;10;2;0;53;0,3740;359;3;1;0;1;0;0;0
9,8750;9480;10;2;360;51;0,1240;119;1;0;0;0;0;0;0
10,0000;9600;11;1;0;53;0,2490;239;2;0;0;1;0;0;0
10,2500;9840;11;1;240;51;0,1240;119;1;0;0;0;0;0;0
10,5000;10080;11;2;0;51;0,8740;839;7;1;1;1;1;0;0
11,3750;10920;12;1;360;46;0,1240;119;1;0;0;0;0;0;0
11,5000;11040;12;2;0;51;0,4990;479;4;0;0;0;0;0;0
12,0000;11520;13;1;0;51;0,9990;959;8;1;1;1;1;1;1
