Signature: 2/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,0000;0;1;1;0;57;0,7490;719;6;0;0;1;0;0;0
0,7500;720;1;2;240;57;0,2490;239;2;0;0;0;0;0;0
1,0000;960;2;1;0;57;0,9990;959;8;1;1;1;1;0;1
2,0000;1920;3;1;0;55;0,3740;359;3;0;0;0;0;0;0
2,3750;2280;3;1;360;50;0,1240;119;1;0;0;0;0;0;0
2,5000;2400;3;2;0;50;0,4990;479;4;0;0;0;0;0;0
3,0000;2880;4;1;0;50;0,9990;959;8;1;0;1;0;0;1
4,0000;3840;5;1;0;52;0,7490;719;6;0;0;0;0;0;0
4,7500;4560;5;2;240;52;0,2490;239;2;0;0;0;0;0;0
5,0000;4800;6;1;0;50;0,9990;959;8;1;1;1;1;1;1
6,0000;5760;7;1;0;47;0,3740;359;3;0;0;0;0;0;0
6,3750;6120;7;1;360;45;0,1240;119;1;0;0;0;0;0;0
6,5000;6240;7;2;0;45;0,4990;479;4;0;0;1;0;0;0
7,0000;6720;8;1;0;45;0,4990;479;4;1;0;0;0;0;0
7,5000;7200;8;2;0;45;0,2490;239;2;0;0;1;1;0;0
7,7500;7440;8;2;240;49;0,2490;239;2;0;0;0;0;0;0
8,0000;7680;9;1;0;50;0,4990;479;4;1;1;1;0;0;0
8,5000;8160;9;2;0;45;0,2490;239;2;0;0;0;0;0;0
8,7500;8400;9;2;240;49;0,2490;239;2;0;0;0;0;0;0
9,0000;8640;10;1;0;50;0,4990;479;4;1;0;0;0;0;0
9,5000;9120;10;2;0;50;0,3740;359;3;0;0;1;0;0;0
9,8750;9480;10;2;360;47;0,1240;119;1;0;0;0;0;0;0
10,0000;9600;11;1;0;50;0,4990;479;4;0;0;0;0;0;0
10,5000;10080;11;2;0;50;0,9990;959;8;1;1;1;1;1;1
