Signature: 2/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,0000;0;1;1;0;55;0,3740;359;6;0;0;1;0;0;0
0,3750;360;1;1;360;53;0,1240;119;2;0;0;0;0;0;0
0,5000;480;1;2;0;53;0,3740;359;6;1;1;1;0;0;0
0,8750;840;1;2;360;51;0,1240;119;2;0;0;0;0;0;0
1,0000;960;2;1;0;53;0,4990;479;8;1;1;1;0;0;1
1,5000;1440;2;2;0;53;0,1240;119;2;0;0;0;0;0;0
1,6250;1560;2;2;120;51;0,1240;119;2;0;0;1;1;1;0
2,0000;1920;3;1;0;55;0,3740;359;6;0;0;0;0;0;0
2,3750;2280;3;1;360;53;0,1240;119;2;0;0;0;0;0;0
2,5000;2400;3;2;0;53;0,3740;359;6;1;1;1;0;0;0
2,8750;2760;3;2;360;51;0,1240;119;2;0;0;0;0;0;0
3,0000;2880;4;1;0;53;0,4990;479;8;1;1;1;0;0;1
3,5000;3360;4;2;0;53;0,1240;119;2;0;0;0;0;0;0
3,6250;3480;4;2;120;51;0,1240;119;2;1;0;1;1;1;0
4,0000;3840;5;1;0;60;0,3740;359;6;0;0;0;0;0;0
4,3750;4200;5;1;360;58;0,1240;119;2;0;0;0;0;0;0
4,5000;4320;5;2;0;55;0,3740;359;6;1;1;1;0;0;0
4,8750;4680;5;2;360;53;0,1240;119;2;0;0;0;0;0;0
5,0000;4800;6;1;0;53;0,4990;479;8;1;0;1;0;0;1
5,5000;5280;6;2;0;53;0,1240;119;2;0;0;0;0;0;0
5,6250;5400;6;2;120;51;0,1240;119;2;1;1;1;1;1;0
6,0000;5760;7;1;0;55;0,1240;119;2;0;0;0;0;0;0
6,1250;5880;7;1;120;55;0,3740;359;6;1;1;1;0;0;0
6,5000;6240;7;2;0;53;0,1240;119;2;0;0;0;0;0;0
6,6250;6360;7;2;120;53;0,1240;119;2;0;0;0;0;0;0
6,7500;6480;7;2;240;53;0,1865;179;3;0;0;1;0;0;0
6,9375;6660;7;2;420;51;0,0615;59;1;0;0;0;0;0;0
7,0000;6720;8;1;0;53;0,4990;479;8;1;1;1;1;0;1
7,5000;7200;8;2;0;53;0,1240;119;2;0;0;0;0;0;0
7,6250;7320;8;2;120;51;0,1240;119;2;1;1;1;1;1;1
