Signature: 3/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,0000;0;1;1;0;64;0,3740;359;9;0;0;1;0;0;0
0,3750;360;1;1;360;62;0,1240;119;3;0;0;0;0;0;0
0,5000;480;1;2;0;64;0,3740;359;9;1;1;1;1;0;0
0,8750;840;1;2;360;62;0,1240;119;3;0;0;0;0;0;0
1,0000;960;1;3;0;62;0,1656;159;4;0;0;1;0;0;0
1,1667;1120;1;3;160;60;0,1656;159;4;0;0;0;0;0;0
1,3333;1280;1;3;320;62;0,1656;159;4;0;0;1;1;0;0
1,5000;1440;2;1;0;57;0,4990;479;12;0;1;0;0;0;1
2,0000;1920;2;2;0;57;0,3740;359;9;0;0;1;0;0;0
2,3750;2280;2;2;360;55;0,1240;119;3;0;0;0;0;0;0
2,5000;2400;2;3;0;57;0,4990;479;12;0;0;1;0;1;1
3,0000;2880;3;1;0;55;0,4990;479;12;0;0;0;0;0;1
3,5000;3360;3;2;0;52;0,4990;479;12;0;0;1;1;0;1
4,0000;3840;3;3;0;57;0,3740;359;9;0;1;0;0;0;0
4,3750;4200;3;3;360;55;0,1240;119;3;0;0;1;0;0;0
4,5000;4320;4;1;0;57;0,4990;479;12;0;0;0;0;0;1
5,0000;4800;4;2;0;57;0,4990;479;12;0;0;0;0;0;1
5,5000;5280;4;3;0;57;0,1240;119;3;1;1;0;0;0;0
5,6250;5400;4;3;120;55;0,3740;359;9;0;0;1;0;0;0
6,0000;5760;5;1;0;52;0,3740;359;9;0;0;0;0;0;0
6,3750;6120;5;1;360;52;0,1240;119;3;0;0;0;0;0;0
6,5000;6240;5;2;0;52;0,9990;959;24;0;0;1;1;0;0
7,5000;7200;6;1;0;52;1,4990;1439;36;1;1;1;1;1;1
