Signature: 3/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,7500;720;0;2;240;58;0,1240;119;1;0;0;0;0;0;0
0,8750;840;0;2;360;58;0,1240;119;1;0;0;0;0;0;0
1,0000;960;0;3;0;58;0,9990;959;8;1;1;1;1;1;1
2,0000;1920;1;2;0;55;0,2490;239;2;0;0;0;0;0;0
2,2500;2160;1;2;240;58;0,1240;119;1;0;0;0;0;0;0
2,3750;2280;1;2;360;58;0,1240;119;1;0;0;0;0;0;0
2,5000;2400;1;3;0;58;0,4990;479;4;1;0;1;0;0;1
3,0000;2880;2;1;0;58;0,2490;239;2;0;0;0;0;0;0
3,2500;3120;2;1;240;56;0,2490;239;2;0;0;0;0;0;0
3,5000;3360;2;2;0;55;0,2490;239;2;1;0;1;0;0;0
3,7500;3600;2;2;240;51;0,1240;119;1;0;0;0;0;0;0
3,8750;3720;2;2;360;51;0,1240;119;1;0;0;0;0;0;0
4,0000;3840;2;3;0;51;0,4990;479;4;0;0;1;1;1;1
5,0000;4800;3;2;0;51;0,7490;719;6;1;1;0;0;0;1
5,7500;5520;3;3;240;48;0,1240;119;1;0;0;0;0;0;0
5,8750;5640;3;3;360;48;0,1240;119;1;0;0;0;0;0;0
6,0000;5760;4;1;0;51;0,3740;359;3;1;1;0;0;0;0
6,3750;6120;4;1;360;46;0,1240;119;1;0;0;0;0;0;0
6,5000;6240;4;2;0;51;0,4990;479;4;0;1;1;1;1;1
7,5000;7200;5;1;0;51;0,7490;719;6;0;1;0;0;0;1
8,2500;7920;5;2;240;48;0,1240;119;1;0;0;0;0;0;0
8,3750;8040;5;2;360;48;0,1240;119;1;0;0;0;0;0;0
8,5000;8160;5;3;0;51;0,3740;359;3;1;0;1;0;0;0
8,8750;8520;5;3;360;48;0,1240;119;1;0;0;0;0;0;0
9,0000;8640;6;1;0;46;0,4990;479;4;1;1;1;1;1;1
10,0000;9600;6;3;0;58;0,2490;239;2;0;0;0;0;0;0
10,2500;9840;6;3;240;58;0,2490;239;2;0;0;0;0;0;0
10,5000;10080;7;1;0;58;0,9990;959;8;1;0;1;0;0;1
11,5000;11040;7;3;0;55;0,2490;239;2;0;0;0;0;0;0
11,7500;11280;7;3;240;58;0,1240;119;1;0;0;0;0;0;0
11,8750;11400;7;3;360;58;0,1240;119;1;0;0;0;0;0;0
12,0000;11520;8;1;0;58;0,4990;479;4;1;0;1;0;0;1
12,5000;12000;8;2;0;58;0,2490;239;2;0;0;0;0;0;0
12,7500;12240;8;2;240;56;0,2490;239;2;0;0;0;0;0;0
13,0000;12480;8;3;0;55;0,2490;239;2;1;0;1;0;0;0
13,2500;12720;8;3;240;51;0,1240;119;1;0;0;0;0;0;0
13,3750;12840;8;3;360;51;0,1240;119;1;0;0;0;0;0;0
13,5000;12960;9;1;0;51;0,4990;479;4;0;0;1;1;1;1
14,5000;13920;9;3;0;51;0,7490;719;6;1;1;0;0;0;1
15,2500;14640;10;1;240;48;0,1240;119;1;0;0;0;0;0;0
15,3750;14760;10;1;360;48;0,1240;119;1;0;0;0;0;0;0
15,5000;14880;10;2;0;51;0,3740;359;3;1;1;0;0;0;0
15,8750;15240;10;2;360;46;0,1240;119;1;0;0;0;0;0;0
16,0000;15360;10;3;0;51;0,4990;479;4;0;1;1;1;1;1
17,0000;16320;11;2;0;51;0,7490;719;6;0;1;0;0;0;1
17,7500;17040;11;3;240;48;0,1240;119;1;0;0;0;0;0;0
17,8750;17160;11;3;360;48;0,1240;119;1;0;0;0;0;0;0
18,0000;17280;12;1;0;51;0,3740;359;3;1;0;1;0;0;0
18,3750;17640;12;1;360;48;0,1240;119;1;0;0;0;0;0;0
18,5000;17760;12;2;0;46;0,4990;479;4;1;1;1;1;1;1
19,5000;18720;13;1;0;58;0,2490;239;2;0;0;0;0;0;0
19,7500;18960;13;1;240;58;0,2490;239;2;0;0;1;0;0;0
20,0000;19200;13;2;0;46;0,4990;479;4;1;1;1;1;1;1
