Signature: 2/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,0000;0;1;1;0;66;0,2490;239;2;0;0;0;0;0;0
0,2500;240;1;1;240;66;0,3740;359;3;1;1;1;0;0;0
0,6250;600;1;2;120;62;0,1240;119;1;0;0;0;0;0;0
0,7500;720;1;2;240;66;0,7490;719;6;1;1;0;0;0;1
1,5000;1440;2;2;0;66;0,2490;239;2;0;0;1;1;0;0
1,7500;1680;2;2;240;62;0,3740;359;3;1;0;0;0;0;0
2,1250;2040;3;1;120;59;0,1240;119;1;0;0;0;0;0;0
2,2500;2160;3;1;240;62;0,7490;719;6;1;1;1;0;1;1
3,0000;2880;4;1;0;66;0,2490;239;2;0;0;0;0;0;0
3,2500;3120;4;1;240;62;0,3740;359;3;1;0;0;0;0;0
3,6250;3480;4;2;120;66;0,1240;119;1;0;0;1;1;0;0
3,7500;3600;4;2;240;59;0,7490;719;6;1;1;0;0;0;1
4,5000;4320;5;2;0;59;0,1240;119;1;0;0;0;0;0;0
4,6250;4440;5;2;120;62;0,1240;119;1;0;0;0;0;0;0
4,7500;4560;5;2;240;59;0,3740;359;3;1;1;1;0;0;0
5,1250;4920;6;1;120;55;0,1240;119;1;0;0;0;0;0;0
5,2500;5040;6;1;240;59;1,4990;1439;12;1;1;1;1;1;1
6,7500;6480;7;2;240;66;0,1240;119;1;0;0;0;0;0;0
6,8750;6600;7;2;360;62;0,2490;239;2;0;0;0;0;0;0
7,1250;6840;8;1;120;59;0,1240;119;1;0;0;0;0;0;0
7,2500;6960;8;1;240;62;0,9990;959;8;1;1;1;0;0;1
8,2500;7920;9;1;240;66;0,1240;119;1;0;0;0;0;0;0
8,3750;8040;9;1;360;62;0,2490;239;2;0;0;0;0;0;0
8,6250;8280;9;2;120;66;0,1240;119;1;0;0;0;0;0;0
8,7500;8400;9;2;240;59;0,9990;959;8;1;0;1;1;1;1
9,7500;9360;10;2;240;62;0,1240;119;1;0;0;0;0;0;0
9,8750;9480;10;2;360;59;0,2490;239;2;1;0;0;0;0;0
10,1250;9720;11;1;120;59;0,1240;119;1;0;0;1;0;0;0
10,2500;9840;11;1;240;55;0,9990;959;8;1;1;0;0;0;1
11,2500;10800;12;1;240;59;0,4990;479;4;0;0;0;0;0;1
11,7500;11280;12;2;240;55;0,3740;359;3;1;0;0;0;0;0
12,1250;11640;13;1;120;54;0,1240;119;1;0;0;0;0;0;0
12,2500;11760;13;1;240;54;0,9990;959;8;1;0;1;1;0;1
13,2500;12720;14;1;240;54;0,1240;119;1;0;0;0;0;0;0
13,3750;12840;14;1;360;50;0,2490;239;2;0;0;0;0;0;0
13,6250;13080;14;2;120;47;0,1240;119;1;0;0;0;0;0;0
13,7500;13200;14;2;240;50;0,9990;959;8;1;1;1;0;1;1
14,7500;14160;15;2;240;54;0,4990;479;4;0;0;0;0;0;1
15,2500;14640;16;1;240;50;0,3740;359;3;1;0;1;0;0;0
15,6250;15000;16;2;120;47;0,1240;119;1;0;0;0;0;0;0
15,7500;15120;16;2;240;47;0,9990;959;8;1;1;1;1;1;1
