Signature: 3/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,0000;0;1;1;0;62;0,7490;719;6;0;0;1;0;0;0
0,7500;720;1;2;240;60;0,2490;239;2;0;0;0;0;0;0
1,0000;960;1;3;0;60;0,1240;119;1;1;0;1;0;0;0
1,1250;1080;1;3;120;57;0,3740;359;3;0;0;0;0;0;0
1,5000;1440;2;1;0;57;0,2490;239;2;1;1;1;1;0;0
1,8750;1800;2;1;360;60;0,1240;119;1;0;0;0;0;0;0
2,0000;1920;2;2;0;60;0,1240;119;1;0;0;1;0;0;0
2,1250;2040;2;2;120;57;0,3740;359;3;0;0;0;0;0;0
2,5000;2400;2;3;0;57;0,4990;479;4;1;0;0;0;1;1
3,0000;2880;3;1;0;57;0,1240;119;1;0;0;1;0;0;0
3,1250;3000;3;1;120;55;0,1240;119;1;0;0;0;0;0;0
3,2500;3120;3;1;240;55;0,1240;119;1;0;0;1;0;0;0
3,3750;3240;3;1;360;50;0,1240;119;1;0;0;0;0;0;0
3,5000;3360;3;2;0;50;0,8740;839;7;1;1;1;0;1;1
4,3750;4200;3;3;360;50;0,1240;119;1;0;0;0;0;0;0
4,5000;4320;4;1;0;50;0,4990;479;4;0;0;1;1;0;1
5,0000;4800;4;2;0;57;0,4990;479;4;0;1;0;0;0;1
5,5000;5280;4;3;0;57;0,1240;119;1;0;0;1;0;0;0
5,6250;5400;4;3;120;55;0,1240;119;1;0;0;0;0;0;0
5,7500;5520;4;3;240;55;0,1240;119;1;0;0;1;0;0;0
5,8750;5640;4;3;360;52;0,1240;119;1;0;0;0;0;0;0
6,0000;5760;5;1;0;55;0,2490;239;2;1;0;1;1;0;0
6,2500;6000;5;1;240;50;0,2490;239;2;0;0;0;0;0;0
6,5000;6240;5;2;0;50;0,2490;239;2;1;1;1;1;1;1
