Signature: 3/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
1,2500;1200;0;3;240;62;0,1240;119;2;0;0;0;0;0;0
1,3750;1320;0;3;360;62;0,1240;119;2;0;0;0;0;0;0
1,5000;1440;1;1;0;62;0,4990;479;8;1;1;1;1;0;0
2,0000;1920;1;2;0;59;0,2490;239;4;0;0;0;0;0;0
2,2500;2160;1;2;240;62;0,1240;119;2;0;0;0;0;0;0
2,3750;2280;1;2;360;62;0,1240;119;2;0;0;0;0;0;0
2,5000;2400;1;3;0;62;0,3740;359;6;1;1;1;0;1;0
2,8750;2760;1;3;360;59;0,1240;119;2;0;0;0;0;0;0
3,0000;2880;2;1;0;62;0,1865;179;3;0;0;1;0;0;0
3,1875;3060;2;1;180;59;0,0615;59;1;0;0;0;0;0;0
3,2500;3120;2;1;240;59;0,1865;179;3;1;1;1;1;0;0
3,4375;3300;2;1;420;55;0,0615;59;1;0;0;0;0;0;0
3,5000;3360;2;2;0;55;0,2490;239;4;0;0;0;0;0;0
3,7500;3600;2;2;240;55;0,2490;239;4;0;0;0;0;0;0
4,0000;3840;2;3;0;52;0,1865;179;3;0;0;1;0;0;0
4,1875;4020;2;3;180;55;0,0615;59;1;1;0;0;0;0;0
4,2500;4080;2;3;240;55;0,2490;239;4;0;0;1;1;0;0
4,5000;4320;3;1;0;52;0,1240;119;2;0;0;0;0;0;0
4,6250;4440;3;1;120;55;0,3740;359;6;1;0;1;0;1;0
5,0000;4800;3;2;0;52;0,2490;239;4;0;0;0;0;0;0
5,2500;5040;3;2;240;55;0,1865;179;3;0;0;0;0;0;0
5,4375;5220;3;2;420;52;0,0615;59;1;1;1;1;0;0;0
5,5000;5280;3;3;0;50;0,2490;239;4;0;0;0;0;0;0
5,7500;5520;3;3;240;50;0,2490;239;4;1;0;1;1;0;0
6,0000;5760;4;1;0;55;0,1240;119;2;0;0;0;0;0;0
6,1250;5880;4;1;120;55;0,1240;119;2;0;0;0;0;0;0
6,2500;6000;4;1;240;55;0,2490;239;4;0;0;1;0;1;0
6,5000;6240;4;2;0;52;0,2490;239;4;0;0;0;0;0;0
6,7500;6480;4;2;240;55;0,1865;179;3;0;0;0;0;0;0
6,9375;6660;4;2;420;52;0,0615;59;1;1;1;1;0;0;0
7,0000;6720;4;3;0;55;0,2490;239;4;0;0;0;0;0;0
7,2500;6960;4;3;240;55;0,2490;239;4;0;0;0;0;0;0
7,5000;7200;5;1;0;52;0,2490;239;4;0;0;0;0;0;0
7,7500;7440;5;1;240;55;0,1865;179;3;0;0;0;0;0;0
7,9375;7620;5;1;420;52;0,0615;59;1;1;1;0;0;0;0
8,0000;7680;5;2;0;50;0,4990;479;8;0;0;1;1;0;0
8,5000;8160;5;3;0;50;0,4990;479;8;1;1;1;1;1;1
