Signature: 2/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,0000;0;1;1;0;61;0,4990;479;12;0;0;0;0;0;0
0,5000;480;1;2;0;61;0,3740;359;9;0;0;0;0;0;0
0,8750;840;1;2;360;61;0,1240;119;3;0;0;1;0;0;0
1,0000;960;2;1;0;56;0,3740;359;9;1;1;0;0;0;0
1,3750;1320;2;1;360;56;0,1240;119;3;0;0;1;1;0;0
1,5000;1440;2;2;0;63;0,4990;479;12;1;0;0;0;1;1
2,0000;1920;3;1;0;65;0,2490;239;6;0;0;0;0;0;0
2,2500;2160;3;1;240;63;0,2490;239;6;0;0;0;0;0;0
2,5000;2400;3;2;0;61;0,2490;239;6;1;0;1;0;0;0
2,7500;2640;3;2;240;56;0,1240;119;3;0;0;0;0;0;0
2,8750;2760;3;2;360;56;0,1240;119;3;0;0;0;0;0;0
3,0000;2880;4;1;0;54;0,4990;479;12;1;1;1;0;0;1
3,5000;3360;4;2;0;56;0,2490;239;6;0;0;0;0;0;0
3,7500;3600;4;2;240;54;0,2490;239;6;0;0;0;0;0;0
4,0000;3840;5;1;0;51;0,1240;119;3;0;0;0;0;0;0
4,1250;3960;5;1;120;49;0,7490;719;18;1;1;1;1;1;1
4,8750;4680;5;2;360;49;0,1240;119;3;0;0;0;0;0;0
5,0000;4800;6;1;0;56;0,4990;479;12;0;0;0;0;0;1
5,5000;5280;6;2;0;61;0,3740;359;9;0;0;0;0;0;0
5,8750;5640;6;2;360;56;0,1240;119;3;0;0;0;0;0;0
6,0000;5760;7;1;0;54;0,7490;719;18;1;1;1;0;0;1
6,7500;6480;7;2;240;56;0,2490;239;6;0;0;0;0;0;0
7,0000;6720;8;1;0;54;0,7490;719;18;1;0;1;0;0;1
7,7500;7440;8;2;240;56;0,1240;119;3;0;0;0;0;0;0
7,8750;7560;8;2;360;54;0,1240;119;3;0;0;0;0;0;0
8,0000;7680;9;1;0;51;0,1240;119;3;0;0;0;0;0;0
8,1250;7800;9;1;120;49;0,7490;719;18;1;1;0;0;1;1
8,8750;8520;9;2;360;49;0,1240;119;3;0;0;1;1;0;0
9,0000;8640;10;1;0;61;0,4990;479;12;0;0;0;0;0;1
9,5000;9120;10;2;0;61;0,3740;359;9;0;0;1;0;0;0
9,8750;9480;10;2;360;59;0,1240;119;3;0;0;0;0;0;0
10,0000;9600;11;1;0;56;0,3740;359;9;1;1;0;0;0;0
10,3750;9960;11;1;360;56;0,1240;119;3;0;0;1;1;0;0
10,5000;10080;11;2;0;61;0,4990;479;12;0;0;0;0;0;1
11,0000;10560;12;1;0;63;0,1656;159;4;0;0;0;0;0;0
11,1667;10720;12;1;160;61;0,1656;159;4;0;0;0;0;0;0
11,3333;10880;12;1;320;59;0,1656;159;4;0;0;0;0;0;0
11,5000;11040;12;2;0;56;0,2490;239;6;1;0;1;0;1;0
11,7500;11280;12;2;240;54;0,1240;119;3;0;0;0;0;0;0
11,8750;11400;12;2;360;51;0,1240;119;3;0;0;0;0;0;0
12,0000;11520;13;1;0;54;0,4990;479;12;1;1;1;1;0;1
12,5000;12000;13;2;0;61;0,3740;359;9;0;0;0;0;0;0
12,8750;12360;13;2;360;56;0,1240;119;3;0;0;0;0;0;0
13,0000;12480;14;1;0;54;0,3740;359;9;1;1;1;0;0;0
13,3750;12840;14;1;360;54;0,1240;119;3;0;0;0;0;0;0
13,5000;12960;14;2;0;51;0,1240;119;3;0;0;0;0;0;0
13,6250;13080;14;2;120;49;0,8740;839;21;1;1;1;1;1;1
14,7500;14160;15;2;240;49;0,2490;239;6;0;0;0;0;0;0
15,0000;14400;16;1;0;59;0,1240;119;3;0;0;0;0;0;0
15,1250;14520;16;1;120;58;0,7490;719;18;1;0;1;0;0;1
15,8750;15240;16;2;360;58;0,1240;119;3;0;0;0;0;0;0
16,0000;15360;17;1;0;58;0,1240;119;3;1;0;1;0;0;0
16,1250;15480;17;1;120;56;0,3740;359;9;0;0;0;0;0;0
16,5000;15840;17;2;0;56;0,3740;359;9;0;0;1;0;0;0
16,8750;16200;17;2;360;54;0,1240;119;3;1;1;0;0;0;0
17,0000;16320;18;1;0;58;0,4990;479;12;0;0;1;1;1;1
17,5000;16800;18;2;0;61;0,3740;359;9;0;0;0;0;0;0
17,8750;17160;18;2;360;58;0,1240;119;3;0;0;0;0;0;0
18,0000;17280;19;1;0;56;0,3740;359;9;1;1;1;0;0;0
18,3750;17640;19;1;360;56;0,1240;119;3;0;0;0;0;0;0
18,5000;17760;19;2;0;54;0,3740;359;9;1;1;1;1;0;0
18,8750;18120;19;2;360;51;0,1240;119;3;0;0;0;0;0;0
19,0000;18240;20;1;0;54;0,3740;359;9;1;1;1;0;0;0
19,3750;18600;20;1;360;51;0,1240;119;3;0;0;0;0;0;0
19,5000;18720;20;2;0;49;0,7490;719;18;1;1;0;0;1;1
20,2500;19440;21;1;240;49;0,2490;239;6;0;0;1;1;0;0
20,5000;19680;21;2;0;58;0,4990;479;12;0;0;0;0;0;1
21,0000;20160;22;1;0;61;0,3740;359;9;0;0;0;0;0;0
21,3750;20520;22;1;360;58;0,1240;119;3;0;0;0;0;0;0
21,5000;20640;22;2;0;56;0,7490;719;18;1;1;1;0;0;1
22,2500;21360;23;1;240;56;0,2490;239;6;0;0;0;0;0;0
22,5000;21600;23;2;0;54;0,4990;479;12;1;0;0;0;0;1
23,0000;22080;24;1;0;56;0,2490;239;6;0;0;0;0;0;0
23,2500;22320;24;1;240;54;0,2490;239;6;0;0;0;0;0;0
23,5000;22560;24;2;0;51;0,1240;119;3;0;0;0;0;0;0
23,6250;22680;24;2;120;49;0,7490;719;18;1;1;1;1;1;1
24,3750;23400;25;1;360;49;0,1240;119;3;0;0;0;0;0;0
24,5000;23520;25;2;0;56;0,4990;479;12;1;0;0;0;0;1
25,0000;24000;26;1;0;61;0,3740;359;9;0;0;0;0;0;0
25,3750;24360;26;1;360;58;0,1240;119;3;0;0;0;0;0;0
25,5000;24480;26;2;0;56;0,3740;359;9;1;1;1;0;0;0
25,8750;24840;26;2;360;56;0,1240;119;3;0;0;0;0;0;0
26,0000;24960;27;1;0;54;0,3740;359;9;1;1;1;1;0;0
26,3750;25320;27;1;360;51;0,1240;119;3;0;0;0;0;0;0
26,5000;25440;27;2;0;54;0,3740;359;9;1;1;1;0;0;0
26,8750;25800;27;2;360;51;0,1240;119;3;0;0;0;0;0;0
27,0000;25920;28;1;0;49;0,8740;839;21;1;1;1;1;1;1
27,8750;26760;28;2;360;49;0,1240;119;3;0;0;0;0;0;0
28,0000;26880;29;1;0;56;0,4990;479;12;1;0;0;0;0;1
28,5000;27360;29;2;0;58;0,3740;359;9;0;0;0;0;0;0
28,8750;27720;29;2;360;58;0,1240;119;3;0;0;1;0;0;0
29,0000;27840;30;1;0;56;0,3740;359;9;1;1;0;0;0;0
29,3750;28200;30;1;360;56;0,1240;119;3;0;0;1;1;0;0
29,5000;28320;30;2;0;61;0,4990;479;12;0;0;0;0;1;1
30,0000;28800;31;1;0;61;0,3740;359;9;1;0;1;0;0;0
30,3750;29160;31;1;360;58;0,1240;119;3;0;0;0;0;0;0
30,5000;29280;31;2;0;56;0,3740;359;9;1;1;1;0;0;0
30,8750;29640;31;2;360;56;0,1240;119;3;0;0;0;0;0;0
31,0000;29760;32;1;0;54;0,3740;359;9;1;1;1;1;0;0
31,3750;30120;32;1;360;51;0,1240;119;3;0;0;0;0;0;0
31,5000;30240;32;2;0;54;0,3740;359;9;1;1;1;1;0;0
31,8750;30600;32;2;360;51;0,1240;119;3;0;0;0;0;0;0
32,0000;30720;33;1;0;49;0,9990;959;24;1;1;1;1;1;1
