Signature: 2/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,0000;0;1;1;0;56;0,1240;119;1;0;0;0;0;0;0
0,1250;120;1;1;120;56;0,1240;119;1;0;0;0;0;0;0
0,2500;240;1;1;240;56;0,2490;239;2;0;0;0;0;0;0
0,5000;480;1;2;0;56;0,1240;119;1;0;0;0;0;0;0
0,6250;600;1;2;120;54;0,3740;359;3;1;1;1;1;0;0
1,0000;960;2;1;0;52;0,1240;119;1;0;0;0;0;0;0
1,1250;1080;2;1;120;52;0,1240;119;1;0;0;0;0;0;0
1,2500;1200;2;1;240;52;0,2490;239;2;1;0;1;0;0;0
1,5000;1440;2;2;0;56;0,4990;479;4;0;0;0;0;1;1
2,0000;1920;3;1;0;54;0,2490;239;2;1;0;1;1;0;0
2,5000;2400;3;2;0;56;0,1240;119;1;0;0;0;0;0;0
2,6250;2520;3;2;120;56;0,1240;119;1;0;0;0;0;0;0
2,7500;2640;3;2;240;56;0,2490;239;2;0;0;0;0;0;0
3,0000;2880;4;1;0;54;0,4990;479;4;1;1;1;0;0;1
3,5000;3360;4;2;0;52;0,1240;119;1;0;0;0;0;0;0
3,6250;3480;4;2;120;52;0,1240;119;1;0;0;1;0;0;0
3,7500;3600;4;2;240;49;0,1240;119;1;0;0;0;0;0;0
3,8750;3720;4;2;360;47;0,1240;119;1;0;0;0;0;0;0
4,0000;3840;5;1;0;47;0,4990;479;4;1;1;1;1;1;1
5,0000;4800;6;1;0;47;0,4990;479;4;0;0;0;0;0;1
5,5000;5280;6;2;0;47;0,2490;239;2;0;0;0;0;0;0
5,7500;5520;6;2;240;52;0,2490;239;2;0;0;0;0;0;0
6,0000;5760;7;1;0;47;0,4990;479;4;0;0;0;0;0;1
6,5000;6240;7;2;0;47;0,4990;479;4;0;0;1;0;0;1
7,0000;6720;8;1;0;49;0,1240;119;1;0;0;0;0;0;0
7,1250;6840;8;1;120;47;0,3740;359;3;1;1;0;0;0;0
7,5000;7200;8;2;0;47;0,2490;239;2;0;0;1;0;0;0
7,7500;7440;8;2;240;54;0,2490;239;2;0;0;0;0;0;0
8,0000;7680;9;1;0;52;0,2490;239;2;0;0;0;0;0;0
8,2500;7920;9;1;240;54;0,2490;239;2;0;0;0;0;0;0
8,5000;8160;9;2;0;52;0,2490;239;2;0;0;0;0;0;0
8,7500;8400;9;2;240;49;0,2490;239;2;0;0;0;0;0;0
9,0000;8640;10;1;0;47;0,2490;239;2;1;1;1;1;1;0
10,0000;9600;11;1;0;47;0,4990;479;4;0;0;0;0;0;1
10,5000;10080;11;2;0;49;0,1240;119;1;0;0;0;0;0;0
10,6250;10200;11;2;120;47;0,3740;359;3;0;0;0;0;0;0
11,0000;10560;12;1;0;47;0,4990;479;4;1;1;1;0;0;1
11,5000;11040;12;2;0;56;0,1240;119;1;0;0;0;0;0;0
11,6250;11160;12;2;120;56;0,3740;359;3;0;0;0;0;0;0
12,0000;11520;13;1;0;54;0,4990;479;4;1;0;1;0;0;1
12,5000;12000;13;2;0;52;0,1240;119;1;0;0;0;0;0;0
12,6250;12120;13;2;120;52;0,3740;359;3;1;1;1;0;0;0
13,0000;12480;14;1;0;56;0,4990;479;4;0;0;0;0;0;1
13,5000;12960;14;2;0;54;0,2490;239;2;1;0;1;1;1;0
14,0000;13440;15;1;0;56;0,1240;119;1;0;0;0;0;0;0
14,1250;13560;15;1;120;56;0,2490;239;2;0;0;0;0;0;0
14,3750;13800;15;1;360;56;0,1240;119;1;0;0;0;0;0;0
14,5000;13920;15;2;0;54;0,4990;479;4;1;1;1;0;0;1
15,0000;14400;16;1;0;52;0,1240;119;1;0;0;0;0;0;0
15,1250;14520;16;1;120;52;0,1240;119;1;0;0;1;0;0;0
15,2500;14640;16;1;240;49;0,1240;119;1;0;0;0;0;0;0
15,3750;14760;16;1;360;47;0,1240;119;1;0;0;0;0;0;0
15,5000;14880;16;2;0;47;0,4990;479;4;1;1;1;1;1;1
