Signature: 2/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,0000;0;1;1;0;62;0,2490;239;6;0;1;0;1;0;0
0,2500;240;1;1;240;62;0,2490;239;6;0;0;0;0;0;0
0,5000;480;1;2;0;62;0,2490;239;6;0;0;0;0;0;0
0,7500;720;1;2;240;62;0,2490;239;6;0;0;0;0;0;0
1,0000;960;2;1;0;62;0,1656;159;4;0;0;1;0;0;0
1,1667;1120;2;1;160;64;0,1656;159;4;0;0;0;0;0;0
1,3333;1280;2;1;320;65;0,1656;159;4;0;0;0;0;0;0
1,5000;1440;2;2;0;62;0,7490;719;18;1;0;1;1;1;0
2,2500;2160;3;1;240;62;0,2490;239;6;0;0;0;0;0;0
2,5000;2400;3;2;0;62;0,4990;479;12;1;1;1;0;0;0
3,0000;2880;4;1;0;60;0,2490;239;6;0;0;0;0;0;0
3,2500;3120;4;1;240;58;0,2490;239;6;0;0;1;0;0;0
3,5000;3360;4;2;0;60;0,1656;159;4;1;0;0;0;0;0
3,6667;3520;4;2;160;60;0,1656;159;4;0;0;0;0;0;0
3,8333;3680;4;2;320;58;0,1656;159;4;0;0;0;0;0;0
4,0000;3840;5;1;0;55;0,7490;719;18;1;1;1;1;1;0
4,7500;4560;5;2;240;55;0,2490;239;6;0;0;0;0;0;0
5,0000;4800;6;1;0;55;0,4990;479;12;1;0;1;0;0;0
5,5000;5280;6;2;0;55;0,2490;239;6;0;0;0;0;0;0
5,7500;5520;6;2;240;55;0,2490;239;6;1;0;1;0;0;0
6,0000;5760;7;1;0;57;0,1656;159;4;0;0;0;0;0;0
6,1667;5920;7;1;160;57;0,1656;159;4;0;0;0;0;0;0
6,3333;6080;7;1;320;58;0,1656;159;4;0;0;0;0;0;0
6,5000;6240;7;2;0;55;0,7490;719;18;1;1;1;1;1;0
7,2500;6960;8;1;240;55;0,2490;239;6;0;0;0;0;0;0
7,5000;7200;8;2;0;62;0,4990;479;12;0;0;0;0;0;0
8,0000;7680;9;1;0;63;0,0823;79;2;0;0;0;0;0;0
8,0833;7760;9;1;80;62;0,0823;79;2;0;0;0;0;0;0
8,1667;7840;9;1;160;60;0,1656;159;4;1;0;0;0;0;0
8,3333;8000;9;1;320;58;0,1656;159;4;0;0;0;0;0;0
8,5000;8160;9;2;0;55;0,4990;479;12;1;1;1;0;0;0
9,0000;8640;10;1;0;57;0,1240;119;3;0;0;0;0;0;0
9,1250;8760;10;1;120;57;0,1240;119;3;0;0;1;0;0;0
9,2500;8880;10;1;240;58;0,1240;119;3;0;0;0;0;0;0
9,3750;9000;10;1;360;58;0,1240;119;3;0;0;0;0;0;0
9,5000;9120;10;2;0;55;0,7490;719;18;1;1;1;1;1;0
10,2500;9840;11;1;240;50;0,1240;119;3;0;0;0;0;0;0
10,3750;9960;11;1;360;50;0,1240;119;3;0;0;0;0;0;0
10,5000;10080;11;2;0;55;0,7490;719;18;1;0;1;0;0;0
11,2500;10800;12;1;240;55;0,1240;119;3;0;0;0;0;0;0
11,3750;10920;12;1;360;55;0,1240;119;3;0;0;1;0;0;0
11,5000;11040;12;2;0;53;0,1656;159;4;1;1;0;0;0;0
11,6667;11200;12;2;160;53;0,1656;159;4;0;0;0;0;0;0
11,8333;11360;12;2;320;53;0,1656;159;4;0;0;0;0;0;0
12,0000;11520;13;1;0;50;0,9990;959;24;1;0;1;1;1;1
13,0000;12480;14;1;0;50;0,7490;719;18;0;0;0;0;0;0
13,7500;13200;14;2;240;48;0,2490;239;6;0;0;0;0;0;0
14,0000;13440;15;1;0;46;0,2490;239;6;1;0;1;0;0;0
14,2500;13680;15;1;240;48;0,0823;79;2;0;0;0;0;0;0
14,3333;13760;15;1;320;48;0,0823;79;2;0;0;0;0;0;0
14,4167;13840;15;1;400;46;0,0823;79;2;0;0;0;0;0;0
14,5000;13920;15;2;0;43;0,7490;719;18;1;1;1;1;1;0
15,2500;14640;16;1;240;62;0,2490;239;6;0;0;0;0;0;0
15,5000;14880;16;2;0;62;0,4990;479;12;1;0;1;0;0;0
16,0000;15360;17;1;0;62;0,2490;239;6;0;0;0;0;0;0
16,2500;15600;17;1;240;62;0,2490;239;6;0;0;0;0;0;0
16,5000;15840;17;2;0;63;0,2490;239;6;1;0;1;0;0;0
16,7500;16080;17;2;240;65;0,1240;119;3;0;0;0;0;0;0
16,8750;16200;17;2;360;65;0,1240;119;3;0;0;0;0;0;0
17,0000;16320;18;1;0;62;0,7490;719;18;1;1;1;1;1;0
17,7500;17040;18;2;240;62;0,2490;239;6;0;0;0;0;0;0
18,0000;17280;19;1;0;60;0,3740;359;9;1;0;1;0;0;0
18,3750;17640;19;1;360;58;0,1240;119;3;0;0;0;0;0;0
18,5000;17760;19;2;0;55;0,2490;239;6;0;0;1;0;0;0
18,7500;18000;19;2;240;57;0,0823;79;2;1;1;0;0;0;0
18,8333;18080;19;2;320;57;0,0823;79;2;0;0;0;0;0;0
18,9167;18160;19;2;400;58;0,0823;79;2;0;0;0;0;0;0
19,0000;18240;20;1;0;55;0,7490;719;18;1;1;1;1;0;0
19,7500;18960;20;2;240;55;0,2490;239;6;0;0;0;0;0;0
