Signature: 3/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,0000;0;1;1;0;57;0,2490;239;3;0;0;0;0;0;0
0,2500;240;1;1;240;57;0,2490;239;3;0;0;0;0;0;0
0,5000;480;1;2;0;55;0,2490;239;3;0;1;1;0;0;0
0,7500;720;1;2;240;52;0,0823;79;1;0;0;0;0;0;0
0,8333;800;1;2;320;52;0,1656;159;2;0;0;0;0;0;0
1,0000;960;1;3;0;52;0,4990;479;6;1;1;1;1;1;0
2,0000;1920;2;2;0;52;0,2490;239;3;0;0;0;0;0;0
2,2500;2160;2;2;240;48;0,2490;239;3;0;0;0;0;0;0
2,5000;2400;2;3;0;52;0,1656;159;2;1;0;0;0;0;0
2,6667;2560;2;3;160;52;0,1656;159;2;0;0;0;0;0;0
2,8333;2720;2;3;320;52;0,1656;159;2;0;0;0;0;0;0
3,0000;2880;3;1;0;52;0,4990;479;6;1;1;1;1;1;1
