Signature: 2/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,0000;0;1;1;0;72;0,9990;959;8;0;0;1;0;0;0
1,0000;960;2;1;0;69;0,3740;359;3;1;1;0;0;0;0
1,3750;1320;2;1;360;72;0,1240;119;1;0;0;0;0;0;0
1,5000;1440;2;2;0;69;0,4990;479;4;1;0;1;1;0;0
2,0000;1920;3;1;0;65;0,4990;479;4;0;0;0;0;0;0
2,5000;2400;3;2;0;65;0,4990;479;4;0;0;0;0;0;0
3,0000;2880;4;1;0;65;0,3740;359;3;1;0;1;0;0;0
3,3750;3240;4;1;360;69;0,1240;119;1;0;0;0;0;0;0
3,5000;3360;4;2;0;65;0,4990;479;4;1;1;0;0;0;0
4,0000;3840;5;1;0;65;1,4990;1439;12;0;0;1;0;1;0
5,5000;5280;6;2;0;69;1,4990;1439;12;0;0;0;0;0;0
7,0000;6720;8;1;0;65;0,3740;359;3;1;0;0;0;0;0
7,3750;7080;8;1;360;69;0,1240;119;1;0;0;0;0;0;0
7,5000;7200;8;2;0;65;0,4990;479;4;1;0;1;1;0;0
8,0000;7680;9;1;0;60;0,4990;479;4;0;0;0;0;0;0
8,5000;8160;9;2;0;60;0,9990;959;8;1;1;1;0;0;0
9,5000;9120;10;2;0;57;0,3740;359;3;0;0;0;0;0;0
9,8750;9480;10;2;360;60;0,1240;119;1;0;0;0;0;0;0
10,0000;9600;11;1;0;57;0,4990;479;4;0;0;1;0;0;0
10,5000;10080;11;2;0;53;0,4990;479;4;0;0;0;0;0;0
11,0000;10560;12;1;0;57;1,4990;1439;12;0;0;1;1;1;0
12,5000;12000;13;2;0;53;0,3740;359;3;1;0;0;0;0;0
12,8750;12360;13;2;360;57;0,1240;119;1;0;0;1;0;0;0
13,0000;12480;14;1;0;53;0,4990;479;4;0;0;0;0;0;0
13,5000;12960;14;2;0;53;1,4990;1439;12;1;1;1;1;1;1
