Signature: 2/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,0000;0;1;1;0;62;0,1240;119;1;0;0;0;0;0;0
0,1250;120;1;1;120;65;0,4990;479;4;1;0;0;0;0;0
0,6250;600;1;2;120;65;0,3740;359;3;0;0;1;1;0;0
1,0000;960;2;1;0;62;0,1240;119;1;0;0;0;0;0;0
1,1250;1080;2;1;120;65;0,4990;479;4;0;0;1;0;0;0
1,6250;1560;2;2;120;65;0,4990;479;4;0;0;0;0;0;0
2,1250;2040;3;1;120;62;0,4990;479;4;0;0;0;0;0;0
2,6250;2520;3;2;120;65;0,4990;479;4;0;0;0;0;0;0
3,1250;3000;4;1;120;58;0,9990;959;8;1;1;1;0;1;0
4,1250;3960;5;1;120;62;0,4990;479;4;0;0;0;0;0;0
4,6250;4440;5;2;120;58;0,3740;359;3;1;0;0;0;0;0
5,0000;4800;6;1;0;58;0,1240;119;1;0;0;0;0;0;0
5,1250;4920;6;1;120;60;0,7490;719;6;1;1;1;0;0;0
5,8750;5640;6;2;360;58;0,2490;239;2;0;0;0;0;0;0
6,1250;5880;7;1;120;58;0,8740;839;7;1;1;1;0;0;0
7,0000;6720;8;1;0;60;0,1240;119;1;0;0;0;0;0;0
7,1250;6840;8;1;120;58;0,8740;839;7;1;1;1;1;0;0
8,0000;7680;9;1;0;53;0,1240;119;1;0;0;0;0;0;0
8,1250;7800;9;1;120;58;0,9990;959;8;1;0;1;0;1;0
9,1250;8760;10;1;120;58;0,4990;479;4;0;0;0;0;0;0
9,6250;9240;10;2;120;58;0,4990;479;4;0;0;0;0;0;0
10,1250;9720;11;1;120;58;0,4990;479;4;0;0;0;0;0;0
10,6250;10200;11;2;120;58;0,4990;479;4;0;0;0;0;0;0
11,1250;10680;12;1;120;58;0,9990;959;8;1;1;1;0;0;0
12,1250;11640;13;1;120;58;0,2490;239;2;0;0;0;0;0;0
12,3750;11880;13;1;360;53;0,2490;239;2;0;0;0;0;0;0
12,6250;12120;13;2;120;58;0,9990;959;8;0;0;0;0;1;0
13,6250;13080;14;2;120;58;0,9990;959;8;1;0;1;1;0;0
14,6250;14040;15;2;120;65;0,4990;479;4;0;0;0;0;0;0
15,1250;14520;16;1;120;65;0,2490;239;2;0;0;0;0;0;0
15,3750;14760;16;1;360;65;0,2490;239;2;0;0;0;0;0;0
15,6250;15000;16;2;120;65;0,4990;479;4;1;1;1;0;0;0
16,1250;15480;17;1;120;65;0,2490;239;2;0;0;0;0;0;0
16,3750;15720;17;1;360;62;0,2490;239;2;0;0;0;0;0;0
16,6250;15960;17;2;120;65;0,9990;959;8;0;0;0;0;1;0
17,6250;16920;18;2;120;65;0,9990;959;8;1;1;1;1;0;0
18,6250;17880;19;2;120;58;0,4990;479;4;0;0;0;0;0;0
19,1250;18360;20;1;120;58;0,4990;479;4;0;0;0;0;0;0
19,6250;18840;20;2;120;58;0,4990;479;4;1;0;0;0;0;0
20,1250;19320;21;1;120;58;0,2490;239;2;0;0;0;0;0;0
20,3750;19560;21;1;360;53;0,2490;239;2;1;0;0;0;0;0
20,6250;19800;21;2;120;58;0,9990;959;8;0;0;0;0;0;0
21,6250;20760;22;2;120;58;0,9990;959;8;1;1;0;1;1;0
22,6250;21720;23;2;120;58;0,2490;239;2;0;0;0;0;0;0
22,8750;21960;23;2;360;58;0,2490;239;2;0;0;0;0;0;0
23,1250;22200;24;1;120;58;0,4990;479;4;0;0;0;0;0;0
23,6250;22680;24;2;120;58;0,4990;479;4;1;0;0;0;0;0
24,1250;23160;25;1;120;58;0,2490;239;2;0;0;0;0;0;0
24,3750;23400;25;1;360;58;0,2490;239;2;0;0;0;0;0;0
24,6250;23640;25;2;120;58;0,4990;479;4;1;1;0;0;0;0
25,1250;24120;26;1;120;58;0,2490;239;2;0;0;0;0;0;0
25,3750;24360;26;1;360;53;0,2490;239;2;0;0;0;0;0;0
25,6250;24600;26;2;120;58;0,9990;959;8;0;0;0;0;1;0
26,6250;25560;27;2;120;58;0,9990;959;8;1;0;1;1;0;0
27,6250;26520;28;2;120;65;0,2490;239;2;0;0;0;0;0;0
27,8750;26760;28;2;360;65;0,2490;239;2;0;0;0;0;0;0
28,1250;27000;29;1;120;65;0,4990;479;4;0;0;0;0;0;0
28,6250;27480;29;2;120;65;0,9990;959;8;1;1;1;0;0;0
29,6250;28440;30;2;120;65;0,2490;239;2;0;0;0;0;0;0
29,8750;28680;30;2;360;62;0,2490;239;2;0;0;0;0;0;0
30,1250;28920;31;1;120;62;0,4990;479;4;0;0;0;0;0;0
30,6250;29400;31;2;120;62;0,9990;959;8;1;0;1;1;1;0
31,6250;30360;32;2;120;62;0,2490;239;2;0;0;0;0;0;0
31,8750;30600;32;2;360;58;0,2490;239;2;0;0;0;0;0;0
32,1250;30840;33;1;120;58;0,4990;479;4;0;0;0;0;0;0
32,6250;31320;33;2;120;58;0,9990;959;8;1;1;1;0;0;0
33,6250;32280;34;2;120;62;0,4990;479;4;0;0;0;0;0;0
34,1250;32760;35;1;120;58;0,3740;359;3;0;0;0;0;0;0
34,5000;33120;35;2;0;58;0,1240;119;1;1;0;1;0;0;0
34,6250;33240;35;2;120;60;0,4990;479;4;0;0;0;0;0;0
35,1250;33720;36;1;120;60;0,4990;479;4;0;0;0;0;0;0
35,6250;34200;36;2;120;58;0,4990;479;4;1;0;0;0;0;0
36,1250;34680;37;1;120;55;0,9990;959;8;0;0;0;0;1;0
37,1250;35640;38;1;120;53;0,9990;959;8;0;0;0;0;0;0
38,1250;36600;39;1;120;58;0,4990;479;4;0;0;1;1;0;0
38,6250;37080;39;2;120;53;0,3740;359;3;0;0;0;0;0;0
39,0000;37440;40;1;0;53;0,1240;119;1;1;1;1;0;0;0
39,1250;37560;40;1;120;55;0,4990;479;4;0;0;0;0;0;0
39,6250;38040;40;2;120;55;0,4990;479;4;0;0;0;0;0;0
40,1250;38520;41;1;120;53;0,4990;479;4;0;0;0;0;0;0
40,6250;39000;41;2;120;50;0,9990;959;8;0;0;0;0;1;0
41,6250;39960;42;2;120;46;0,9990;959;8;1;1;1;1;0;0
42,6250;40920;43;2;120;62;0,4990;479;4;0;0;0;0;0;0
43,1250;41400;44;1;120;62;0,4990;479;4;0;0;0;0;0;0
43,6250;41880;44;2;120;60;0,4990;479;4;0;0;0;0;0;0
44,1250;42360;45;1;120;58;0,4990;479;4;0;0;0;0;0;0
44,6250;42840;45;2;120;60;0,9990;959;8;0;0;0;0;0;0
45,6250;43800;46;2;120;60;0,9990;959;8;1;1;1;0;1;0
46,6250;44760;47;2;120;62;0,4990;479;4;0;0;0;0;0;0
47,1250;45240;48;1;120;62;0,2490;239;2;0;0;0;0;0;0
47,3750;45480;48;1;360;62;0,2490;239;2;0;0;0;0;0;0
47,6250;45720;48;2;120;62;0,4990;479;4;0;0;1;0;0;0
48,1250;46200;49;1;120;62;0,4990;479;4;0;0;0;0;0;0
48,6250;46680;49;2;120;62;0,4990;479;4;1;1;1;0;0;0
49,1250;47160;50;1;120;62;0,2490;239;2;0;0;0;0;0;0
49,3750;47400;50;1;360;62;0,2490;239;2;1;1;1;0;0;0
49,6250;47640;50;2;120;60;0,4990;479;4;0;0;0;0;0;0
50,1250;48120;51;1;120;58;0,4990;479;4;1;1;0;0;0;0
50,6250;48600;51;2;120;60;0,9990;959;8;0;0;0;0;1;0
51,6250;49560;52;2;120;60;0,9990;959;8;1;0;1;0;0;0
52,6250;50520;53;2;120;60;0,2490;239;2;0;0;0;0;0;0
52,8750;50760;53;2;360;60;0,2490;239;2;0;0;0;0;0;0
53,1250;51000;54;1;120;60;0,4990;479;4;1;0;0;0;0;0
53,6250;51480;54;2;120;60;0,2490;239;2;0;0;1;0;0;0
53,8750;51720;54;2;360;53;0,2490;239;2;0;0;0;0;0;0
54,1250;51960;55;1;120;53;0,4990;479;4;1;1;1;1;0;0
54,6250;52440;55;2;120;60;0,2490;239;2;0;0;0;0;0;0
54,8750;52680;55;2;360;60;0,2490;239;2;0;0;0;0;0;0
55,1250;52920;56;1;120;60;0,4990;479;4;1;0;0;0;1;0
55,6250;53400;56;2;120;60;0,2490;239;2;0;0;1;0;0;0
55,8750;53640;56;2;360;53;0,2490;239;2;0;0;0;0;0;0
56,1250;53880;57;1;120;53;0,4990;479;4;0;0;1;1;0;0
56,6250;54360;57;2;120;65;0,4990;479;4;0;0;0;0;0;0
57,1250;54840;58;1;120;65;0,1240;119;1;1;1;1;0;0;0
57,2500;54960;58;1;240;60;0,3740;359;3;0;0;0;0;0;0
57,6250;55320;58;2;120;60;0,4990;479;4;0;0;0;0;0;0
58,1250;55800;59;1;120;60;0,3740;359;3;0;0;1;0;0;0
58,5000;56160;59;2;0;60;0,1240;119;1;0;1;0;0;0;0
58,6250;56280;59;2;120;60;0,4990;479;4;0;0;0;0;0;0
59,1250;56760;60;1;120;53;0,4990;479;4;0;0;1;1;1;0
59,6250;57240;60;2;120;65;0,4990;479;4;0;0;0;0;0;0
60,1250;57720;61;1;120;65;0,1240;119;1;1;1;1;0;0;0
60,2500;57840;61;1;240;60;0,3740;359;3;0;0;0;0;0;0
60,6250;58200;61;2;120;60;0,4990;479;4;0;0;0;0;0;0
61,1250;58680;62;1;120;60;0,3740;359;3;0;0;1;0;0;0
61,5000;59040;62;2;0;60;0,1240;119;1;0;0;0;0;0;0
61,6250;59160;62;2;120;60;0,4990;479;4;0;0;1;1;0;0
62,1250;59640;63;1;120;53;0,4990;479;4;0;0;0;0;1;0
62,6250;60120;63;2;120;60;0,4990;479;4;0;0;0;0;0;0
63,1250;60600;64;1;120;60;0,4990;479;4;1;1;1;0;0;0
63,6250;61080;64;2;120;63;0,2490;239;2;0;0;0;0;0;0
63,8750;61320;64;2;360;60;0,2490;239;2;0;0;0;0;0;0
64,1250;61560;65;1;120;58;0,4990;479;4;1;0;1;0;0;0
64,6250;62040;65;2;120;60;0,4990;479;4;0;0;0;0;0;0
65,1250;62520;66;1;120;60;0,4990;479;4;1;1;1;0;0;0
65,6250;63000;66;2;120;63;0,2490;239;2;0;0;0;0;0;0
65,8750;63240;66;2;360;60;0,2490;239;2;0;0;0;0;0;0
66,1250;63480;67;1;120;58;0,4990;479;4;0;1;1;1;0;0
66,6250;63960;67;2;120;65;0,4990;479;4;1;1;1;1;1;1
