Signature: 5/8, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,8750;840;1;2;360;56;0,1240;119;1;0;0;0;0;0;0
1,0000;960;1;3;0;56;0,4990;479;4;0;0;0;0;0;0
1,5000;1440;1;4;0;56;0,7490;719;6;1;1;1;1;0;0
2,2500;2160;1;5;240;52;0,2490;239;2;0;0;0;0;0;0
2,5000;2400;2;1;0;52;0,2490;239;2;1;0;1;0;1;0
3,0000;2880;2;2;0;52;0,2490;239;2;0;0;0;0;0;0
3,2500;3120;2;2;240;51;0,2490;239;2;0;0;0;0;0;0
3,5000;3360;2;3;0;52;0,2490;239;2;1;0;1;0;0;0
3,7500;3600;2;3;240;54;0,2490;239;2;0;0;0;0;0;0
4,0000;3840;2;4;0;52;0,2490;239;2;0;0;0;0;0;0
4,2500;4080;2;4;240;49;0,4990;479;4;1;0;1;0;0;0
4,7500;4560;2;5;240;47;0,2490;239;2;0;0;0;0;0;0
5,0000;4800;3;1;0;46;0,2490;239;2;0;0;0;0;0;0
5,2500;5040;3;1;240;47;0,9990;959;8;1;1;1;1;1;1
6,6250;6360;3;4;120;52;0,1240;119;1;0;0;0;0;0;0
6,7500;6480;3;4;240;52;0,4990;479;4;0;0;0;0;0;0
7,2500;6960;3;5;240;52;0,7490;719;6;1;1;1;0;0;0
8,0000;7680;4;2;0;49;0,2490;239;2;0;0;0;0;0;0
8,2500;7920;4;2;240;49;0,2490;239;2;1;0;1;0;0;0
8,7500;8400;4;3;240;49;0,2490;239;2;0;0;0;0;0;0
9,0000;8640;4;4;0;49;0,2490;239;2;0;0;0;0;0;0
9,2500;8880;4;4;240;49;0,2490;239;2;0;0;1;0;0;0
9,5000;9120;4;5;0;52;0,2490;239;2;0;0;0;0;0;0
9,7500;9360;4;5;240;49;0,2490;239;2;0;0;0;0;0;0
10,0000;9600;5;1;0;47;0,3740;359;3;1;1;1;0;0;0
10,3750;9960;5;1;360;44;0,1240;119;1;0;0;0;0;0;0
10,5000;10080;5;2;0;44;0,2490;239;2;0;0;0;0;0;0
10,7500;10320;5;2;240;44;0,2490;239;2;0;0;0;0;0;0
11,0000;10560;5;3;0;44;0,4990;479;4;1;1;1;1;1;0
11,8750;11400;5;4;360;47;0,1240;119;1;0;0;0;0;0;0
12,0000;11520;5;5;0;47;0,4990;479;4;0;0;0;0;0;0
12,5000;12000;6;1;0;47;0,7490;719;6;1;1;1;0;0;0
13,2500;12720;6;2;240;44;0,2490;239;2;0;0;0;0;0;0
13,5000;12960;6;3;0;44;0,4990;479;4;1;0;1;0;0;0
14,0000;13440;6;4;0;47;0,2490;239;2;0;0;0;0;0;0
14,2500;13680;6;4;240;44;0,2490;239;2;0;0;0;0;0;0
14,5000;13920;6;5;0;44;0,2490;239;2;0;0;0;0;0;0
14,7500;14160;6;5;240;44;0,2490;239;2;0;0;0;1;0;0
15,0000;14400;7;1;0;44;0,2490;239;2;0;1;0;1;0;0
15,2500;14640;7;1;240;44;0,7490;719;6;1;1;1;1;1;1
