Signature: 2/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,0000;0;1;1;0;62;0,1240;119;3;0;0;0;0;0;0
0,1250;120;1;1;120;62;0,1240;119;3;0;0;0;0;0;0
0,2500;240;1;1;240;62;0,2490;239;6;0;0;1;1;0;0
0,5000;480;1;2;0;59;0,3740;359;9;1;1;0;0;0;0
0,8750;840;1;2;360;59;0,1240;119;3;0;0;0;0;0;0
1,0000;960;2;1;0;62;0,9990;959;24;1;0;1;0;1;1
2,0000;1920;3;1;0;59;0,1240;119;3;0;0;0;0;0;0
2,1250;2040;3;1;120;62;0,3740;359;9;0;0;1;0;0;0
2,5000;2400;3;2;0;59;0,3740;359;9;0;0;0;0;0;0
2,8750;2760;3;2;360;57;0,1240;119;3;0;0;1;0;0;0
3,0000;2880;4;1;0;55;0,3740;359;9;1;1;0;0;0;0
3,3750;3240;4;1;360;55;0,1240;119;3;0;0;1;1;0;0
3,5000;3360;4;2;0;59;0,4990;479;12;0;0;0;0;1;1
4,0000;3840;5;1;0;59;0,4990;479;12;0;0;1;0;0;1
4,5000;4320;5;2;0;57;0,4990;479;12;0;0;0;0;0;1
5,0000;4800;6;1;0;59;0,2490;239;6;1;0;0;0;0;0
5,2500;5040;6;1;240;57;0,1229;118;3;0;0;1;1;0;0
5,3750;5160;6;1;360;57;0,1240;119;3;0;0;0;0;0;0
5,5000;5280;6;2;0;55;0,3740;359;9;1;1;0;0;0;0
5,8750;5640;6;2;360;55;0,1240;119;3;0;0;0;0;0;0
6,0000;5760;7;1;0;55;1,4990;1439;36;1;0;1;0;1;1
7,5000;7200;8;2;0;55;0,4990;479;12;0;0;0;0;0;1
8,0000;7680;9;1;0;52;0,4990;479;12;0;0;0;0;0;1
8,5000;8160;9;2;0;55;1,4990;1439;36;1;1;1;1;0;1
10,0000;9600;11;1;0;59;0,1656;159;4;0;0;0;0;0;0
10,1667;9760;11;1;160;59;0,1656;159;4;0;0;0;0;0;0
10,3333;9920;11;1;320;59;0,1656;159;4;0;0;1;0;0;0
10,5000;10080;11;2;0;55;0,3740;359;9;1;1;0;0;0;0
10,8750;10440;11;2;360;55;0,1240;119;3;0;0;1;0;0;0
11,0000;10560;12;1;0;59;0,1240;119;3;0;0;0;0;0;0
11,1250;10680;12;1;120;55;0,8740;839;21;1;0;1;1;1;1
12,0000;11520;13;1;0;52;0,3740;359;9;0;0;0;0;0;0
12,3750;11880;13;1;360;55;0,1240;119;3;0;0;1;0;0;0
12,5000;12000;13;2;0;52;0,2490;239;6;0;0;0;0;0;0
12,7500;12240;13;2;240;52;0,2490;239;6;0;0;1;0;0;0
13,0000;12480;14;1;0;50;0,3740;359;9;1;0;0;0;0;0
13,3750;12840;14;1;360;50;0,1240;119;3;0;0;0;0;0;0
13,5000;12960;14;2;0;50;0,9990;959;24;1;1;1;1;1;1
14,5000;13920;15;2;0;47;0,4990;479;12;0;0;0;0;0;1
15,0000;14400;16;1;0;47;0,2490;239;6;0;0;0;0;0;0
15,2500;14640;16;1;240;47;0,2490;239;6;0;0;0;0;0;0
15,5000;14880;16;2;0;43;0,4990;479;12;0;0;1;0;0;1
16,0000;15360;17;1;0;47;0,4990;479;12;0;0;0;0;0;1
16,5000;15840;17;2;0;47;0,4990;479;12;0;0;1;0;0;1
17,0000;16320;18;1;0;45;0,3740;359;9;0;1;0;0;0;0
17,3750;16680;18;1;360;47;0,1240;119;3;0;0;1;0;0;0
17,5000;16800;18;2;0;45;0,2490;239;6;0;0;0;0;0;0
17,7500;17040;18;2;240;45;0,2490;239;6;0;0;1;1;0;0
18,0000;17280;19;1;0;43;0,4990;479;12;1;1;0;0;0;1
18,5000;17760;19;2;0;43;0,9990;959;24;0;0;0;0;0;0
19,5000;18720;20;2;0;43;0,4990;479;12;1;1;1;1;1;1
