Signature: 2/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,0000;0;1;1;0;56;0,2490;239;1;0;0;1;0;0;0
0,2500;240;1;1;240;53;0,2490;239;1;0;0;0;0;0;0
0,5000;480;1;2;0;53;0,4990;479;2;1;1;1;1;0;0
1,0000;960;2;1;0;56;0,2490;239;1;0;0;0;0;0;0
1,2500;1200;2;1;240;53;0,2490;239;1;1;0;0;0;0;0
1,5000;1440;2;2;0;53;0,4990;479;2;0;0;1;0;0;0
2,0000;1920;3;1;0;53;0,4990;479;2;0;0;0;0;0;0
2,5000;2400;3;2;0;53;0,4990;479;2;0;0;0;0;1;0
3,0000;2880;4;1;0;53;0,4990;479;2;0;0;0;0;0;0
3,5000;3360;4;2;0;53;0,4990;479;2;1;0;1;0;0;0
4,0000;3840;5;1;0;61;0,4990;479;2;0;0;0;0;0;0
4,5000;4320;5;2;0;65;0,4990;479;2;0;0;0;0;0;0
5,0000;4800;6;1;0;65;0,4990;479;2;1;0;0;0;0;0
5,5000;5280;6;2;0;65;0,2490;239;1;0;0;1;1;0;0
5,7500;5520;6;2;240;60;0,2490;239;1;0;0;0;0;0;0
6,0000;5760;7;1;0;60;0,4990;479;2;0;1;1;0;0;0
6,5000;6240;7;2;0;61;0,4990;479;2;0;1;0;0;1;0
7,0000;6720;8;1;0;61;0,2490;239;1;0;0;1;0;0;0
7,2500;6960;8;1;240;58;0,2490;239;1;0;0;0;0;0;0
7,5000;7200;8;2;0;58;0,2490;239;1;0;0;1;1;0;0
7,7500;7440;8;2;240;53;0,2490;239;1;1;0;0;0;0;0
8,0000;7680;9;1;0;53;0,4990;479;2;0;0;1;0;0;0
8,5000;8160;9;2;0;53;0,4990;479;2;0;0;0;0;0;0
9,0000;8640;10;1;0;53;0,4990;479;2;0;0;1;0;0;0
9,5000;9120;10;2;0;58;0,4990;479;2;1;1;0;0;0;0
10,0000;9600;11;1;0;58;0,2490;239;1;0;0;1;1;0;0
10,2500;9840;11;1;240;53;0,2490;239;1;0;0;0;0;0;0
10,5000;10080;11;2;0;53;0,4990;479;2;0;0;1;0;1;0
11,0000;10560;12;1;0;53;0,4990;479;2;0;0;0;0;0;0
11,5000;11040;12;2;0;53;0,4990;479;2;0;0;1;1;0;0
12,0000;11520;13;1;0;49;0,4990;479;2;0;0;0;0;0;0
12,5000;12000;13;2;0;53;0,4990;479;2;1;1;1;0;0;0
13,0000;12480;14;1;0;54;0,2490;239;1;0;0;0;0;0;0
13,2500;12720;14;1;240;53;0,2490;239;1;1;0;0;0;0;0
13,5000;12960;14;2;0;53;0,4990;479;2;0;0;0;0;0;0
14,0000;13440;15;1;0;53;0,4990;479;2;0;0;0;0;0;0
14,5000;13920;15;2;0;53;0,4990;479;2;1;1;1;1;1;0
15,5000;14880;16;2;0;53;0,4990;479;2;0;0;0;0;0;0
16,0000;15360;17;1;0;54;0,2490;239;1;0;0;0;0;0;0
16,2500;15600;17;1;240;53;0,2490;239;1;1;0;0;0;0;0
16,5000;15840;17;2;0;53;0,4990;479;2;0;0;1;0;0;0
17,0000;16320;18;1;0;53;0,4990;479;2;0;0;0;0;0;0
17,5000;16800;18;2;0;53;0,4990;479;2;1;0;1;0;1;0
