Signature: 3/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,0000;0;1;1;0;61;0,9990;959;8;1;0;1;0;0;0
1,0000;960;1;3;0;60;0,2490;239;2;0;0;0;0;0;0
1,2500;1200;1;3;240;58;0,2490;239;2;0;0;0;0;0;0
1,5000;1440;2;1;0;58;0,4990;479;4;0;1;0;0;0;1
2,0000;1920;2;2;0;61;0,9990;959;8;0;1;1;1;1;1
3,0000;2880;3;1;0;60;0,2490;239;2;0;0;0;0;0;0
3,2500;3120;3;1;240;58;0,2490;239;2;0;0;0;0;0;0
3,5000;3360;3;2;0;58;0,3740;359;3;1;1;1;0;0;0
3,8750;3720;3;2;360;53;0,1240;119;1;0;0;0;0;0;0
4,0000;3840;3;3;0;58;0,3740;359;3;1;0;0;0;0;0
4,3750;4200;3;3;360;58;0,1240;119;1;0;0;0;0;0;0
4,5000;4320;4;1;0;58;0,3740;359;3;1;0;1;0;0;0
4,8750;4680;4;1;360;58;0,1240;119;1;0;0;0;0;0;0
5,0000;4800;4;2;0;58;0,3740;359;3;1;1;1;0;0;0
5,3750;5160;4;2;360;53;0,1240;119;1;0;0;0;0;0;0
5,5000;5280;4;3;0;58;0,2490;239;2;0;0;0;0;0;0
5,7500;5520;4;3;240;58;0,2490;239;2;0;0;0;0;0;0
6,0000;5760;5;1;0;58;0,9990;959;8;1;0;1;1;1;1
7,0000;6720;5;3;0;58;0,3740;359;3;0;0;0;0;0;0
7,3750;7080;5;3;360;58;0,1240;119;1;0;0;1;0;0;0
7,5000;7200;6;1;0;53;0,3740;359;3;1;1;0;0;0;0
7,8750;7560;6;1;360;53;0,1240;119;1;0;0;0;0;0;0
8,0000;7680;6;2;0;52;0,3740;359;3;1;1;1;0;0;0
8,3750;8040;6;2;360;52;0,1240;119;1;0;0;0;0;0;0
8,5000;8160;6;3;0;53;0,3740;359;3;1;0;1;0;0;0
8,8750;8520;6;3;360;53;0,1240;119;1;0;0;0;0;0;0
9,0000;8640;7;1;0;53;0,4990;479;4;1;0;1;1;1;1
10,0000;9600;7;3;0;61;0,9990;959;8;0;0;0;0;0;1
11,0000;10560;8;2;0;60;0,2490;239;2;0;0;0;0;0;0
11,2500;10800;8;2;240;58;0,2490;239;2;0;0;0;0;0;0
11,5000;11040;8;3;0;58;0,4990;479;4;0;1;0;0;0;1
12,0000;11520;9;1;0;61;0,9990;959;8;0;1;1;0;1;1
13,0000;12480;9;3;0;60;0,2490;239;2;0;0;0;0;0;0
13,2500;12720;9;3;240;58;0,2490;239;2;0;0;0;0;0;0
13,5000;12960;10;1;0;58;0,3740;359;3;1;1;1;0;0;0
13,8750;13320;10;1;360;53;0,1240;119;1;0;0;0;0;0;0
14,0000;13440;10;2;0;58;0,3740;359;3;1;0;0;0;0;0
14,3750;13800;10;2;360;58;0,1240;119;1;0;0;0;0;0;0
14,5000;13920;10;3;0;58;0,3740;359;3;1;0;1;0;0;0
14,8750;14280;10;3;360;58;0,1240;119;1;0;0;0;0;0;0
15,0000;14400;11;1;0;58;0,3740;359;3;1;1;1;0;0;0
15,3750;14760;11;1;360;53;0,1240;119;1;0;0;0;0;0;0
15,5000;14880;11;2;0;58;0,2490;239;2;0;0;0;0;0;0
15,7500;15120;11;2;240;58;0,2490;239;2;0;0;0;0;0;0
16,0000;15360;11;3;0;58;0,9990;959;8;1;0;1;1;1;1
17,0000;16320;12;2;0;58;0,3740;359;3;0;0;0;0;0;0
17,3750;16680;12;2;360;58;0,1240;119;1;0;0;1;0;0;0
17,5000;16800;12;3;0;53;0,3740;359;3;1;1;0;0;0;0
17,8750;17160;12;3;360;53;0,1240;119;1;0;0;0;0;0;0
18,0000;17280;13;1;0;52;0,4990;479;4;1;0;1;0;0;1
18,5000;17760;13;2;0;53;0,3740;359;3;0;0;0;0;0;0
18,8750;18120;13;2;360;53;0,1240;119;1;0;0;0;0;0;0
19,0000;18240;13;3;0;53;0,4990;479;4;1;0;1;1;1;1
20,0000;19200;14;2;0;53;0,3740;359;3;0;0;0;0;0;0
20,3750;19560;14;2;360;53;0,1240;119;1;0;0;1;0;0;0
20,5000;19680;14;3;0;58;0,3740;359;3;1;1;0;0;0;0
20,8750;20040;14;3;360;58;0,1240;119;1;0;0;0;0;0;0
21,0000;20160;15;1;0;58;0,3740;359;3;1;0;1;0;0;0
21,3750;20520;15;1;360;58;0,1240;119;1;0;0;0;0;0;0
21,5000;20640;15;2;0;58;0,3740;359;3;1;1;1;0;0;0
21,8750;21000;15;2;360;53;0,1240;119;1;0;0;0;0;0;0
22,0000;21120;15;3;0;58;0,9990;959;8;1;0;1;1;1;1
23,0000;22080;16;2;0;58;0,3740;359;3;0;0;0;0;0;0
23,3750;22440;16;2;360;58;0,1240;119;1;0;0;1;0;0;0
23,5000;22560;16;3;0;53;0,3740;359;3;1;1;0;0;0;0
23,8750;22920;16;3;360;53;0,1240;119;1;0;0;0;0;0;0
24,0000;23040;17;1;0;52;0,3740;359;3;1;1;1;0;0;0
24,3750;23400;17;1;360;52;0,1240;119;1;0;0;0;0;0;0
24,5000;23520;17;2;0;53;0,3740;359;3;1;0;1;0;0;0
24,8750;23880;17;2;360;53;0,1240;119;1;0;0;0;0;0;0
25,0000;24000;17;3;0;53;0,4990;479;4;1;0;1;1;1;1
26,0000;24960;18;2;0;53;0,3740;359;3;0;0;0;0;0;0
26,3750;25320;18;2;360;53;0,1240;119;1;0;0;1;0;0;0
26,5000;25440;18;3;0;58;0,3740;359;3;1;1;0;0;0;0
26,8750;25800;18;3;360;58;0,1240;119;1;0;0;0;0;0;0
27,0000;25920;19;1;0;58;0,3740;359;3;1;0;1;0;0;0
27,3750;26280;19;1;360;58;0,1240;119;1;0;0;0;0;0;0
27,5000;26400;19;2;0;58;0,3740;359;3;1;1;1;0;0;0
27,8750;26760;19;2;360;53;0,1240;119;1;0;0;0;0;0;0
28,0000;26880;19;3;0;58;0,9990;959;8;1;0;1;1;1;1
29,0000;27840;20;2;0;58;0,3740;359;3;0;0;0;0;0;0
29,3750;28200;20;2;360;58;0,1240;119;1;0;0;1;0;0;0
29,5000;28320;20;3;0;53;0,3740;359;3;1;1;0;0;0;0
29,8750;28680;20;3;360;53;0,1240;119;1;0;0;0;0;0;0
30,0000;28800;21;1;0;52;0,3740;359;3;1;1;1;0;0;0
30,3750;29160;21;1;360;52;0,1240;119;1;0;0;0;0;0;0
30,5000;29280;21;2;0;53;0,3740;359;3;1;0;1;1;0;0
30,8750;29640;21;2;360;53;0,1240;119;1;0;0;0;0;0;0
31,0000;29760;21;3;0;53;0,4990;479;4;1;1;1;1;1;1
