Signature: 2/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
1,0000;960;2;1;0;61;0,4990;479;12;0;0;0;0;0;0
1,5000;1440;2;2;0;65;1,2490;1199;30;0;0;1;1;0;0
2,7500;2640;3;2;240;68;0,2490;239;6;0;0;0;0;0;0
3,0000;2880;4;1;0;65;0,3740;359;9;1;1;0;0;0;0
3,3750;3240;4;1;360;63;0,1240;119;3;0;0;1;0;0;0
3,5000;3360;4;2;0;61;0,4990;479;12;0;0;0;0;0;0
4,0000;3840;5;1;0;61;0,2490;239;6;0;0;0;0;0;0
4,5000;4320;5;2;0;61;0,4990;479;12;0;0;0;0;0;0
5,0000;4800;6;1;0;63;0,9990;959;24;1;1;1;1;1;0
6,0000;5760;7;1;0;61;0,2490;239;6;0;0;0;0;0;0
6,2500;6000;7;1;240;65;0,2490;239;6;0;0;0;0;0;0
6,5000;6240;7;2;0;63;0,1656;159;4;0;0;0;0;0;0
6,6667;6400;7;2;160;61;0,1656;159;4;1;0;1;0;0;0
6,8333;6560;7;2;320;58;0,1656;159;4;0;0;0;0;0;0
7,0000;6720;8;1;0;58;0,1240;119;3;0;0;0;0;0;0
7,1250;6840;8;1;120;58;0,1240;119;3;1;1;1;1;1;0
8,0000;7680;9;1;0;58;0,4990;479;12;0;0;0;0;0;0
8,5000;8160;9;2;0;61;0,4990;479;12;1;0;0;0;0;0
9,0000;8640;10;1;0;61;0,2490;239;6;0;0;0;0;0;0
9,2500;8880;10;1;240;61;0,2490;239;6;1;1;1;0;1;0
10,0000;9600;11;1;0;61;0,4990;479;12;0;0;0;0;0;0
10,5000;10080;11;2;0;58;0,4990;479;12;0;0;0;0;0;0
11,0000;10560;12;1;0;61;0,3740;359;9;1;0;0;0;0;0
11,3750;10920;12;1;360;61;0,1240;119;3;0;0;0;0;0;0
11,5000;11040;12;2;0;61;0,4990;479;12;1;1;1;1;0;0
12,0000;11520;13;1;0;58;0,3740;359;9;0;0;0;0;0;0
12,3750;11880;13;1;360;58;0,1240;119;3;1;0;1;0;0;0
12,5000;12000;13;2;0;61;0,4990;479;12;0;0;0;0;1;0
13,0000;12480;14;1;0;61;0,4990;479;12;0;0;0;0;0;0
13,5000;12960;14;2;0;61;0,4990;479;12;0;0;0;0;0;0
14,0000;13440;15;1;0;58;0,4990;479;12;0;0;1;0;0;0
14,5000;13920;15;2;0;61;0,3740;359;9;1;0;0;0;0;0
14,8750;14280;15;2;360;61;0,1240;119;3;0;0;0;0;0;0
15,0000;14400;16;1;0;61;0,4990;479;12;0;0;1;0;0;0
15,5000;14880;16;2;0;61;0,4990;479;12;0;0;0;0;0;0
16,0000;15360;17;1;0;61;0,2490;239;6;0;1;0;0;0;0
16,2500;15600;17;1;240;61;0,2490;239;6;0;0;1;1;0;0
17,0000;16320;18;1;0;61;0,4990;479;12;1;1;1;1;1;1
