Signature: 2/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,5000;480;0;2;0;67;0,2490;239;2;0;0;0;0;0;0
0,7500;720;0;2;240;67;0,4990;479;4;0;1;0;0;0;1
1,2500;1200;1;1;240;67;0,3740;359;3;0;0;1;0;0;0
1,6250;1560;1;2;120;62;0,1240;119;1;0;0;0;0;0;0
1,7500;1680;1;2;240;67;1,4990;1439;12;0;1;1;1;1;1
3,2500;3120;3;1;240;62;0,3740;359;3;0;1;0;0;0;0
3,6250;3480;3;2;120;64;0,1240;119;1;0;0;0;0;0;0
3,7500;3600;3;2;240;62;0,4990;479;4;0;0;0;0;0;1
4,2500;4080;4;1;240;60;0,3740;359;3;0;0;1;0;0;0
4,6250;4440;4;2;120;55;0,1240;119;1;0;0;0;0;0;0
4,7500;4560;4;2;240;60;0,9990;959;8;1;1;1;1;0;1
5,7500;5520;5;2;240;57;0,3740;359;3;0;0;0;0;0;0
6,1250;5880;6;1;120;55;0,1240;119;1;0;0;0;0;0;0
6,2500;6000;6;1;240;55;0,4990;479;4;1;0;1;0;0;1
6,7500;6480;6;2;240;57;0,3740;359;3;0;0;0;0;0;0
7,1250;6840;7;1;120;55;0,1240;119;1;0;0;0;0;0;0
7,2500;6960;7;1;240;55;0,9990;959;8;1;1;1;1;1;1
8,5000;8160;8;2;0;65;0,2490;239;2;0;0;0;0;0;0
8,7500;8400;8;2;240;62;0,4990;479;4;0;0;0;0;0;1
9,2500;8880;9;1;240;62;0,3740;359;3;0;0;0;0;0;0
9,6250;9240;9;2;120;62;0,1240;119;1;0;0;0;0;0;0
9,7500;9360;9;2;240;59;0,3740;359;3;1;1;1;0;0;0
10,1250;9720;10;1;120;55;0,1240;119;1;0;0;0;0;0;0
10,2500;9840;10;1;240;55;0,3740;359;3;1;1;1;1;0;0
10,6250;10200;10;2;120;64;0,1240;119;1;0;0;0;0;0;0
10,7500;10320;10;2;240;62;0,3740;359;3;1;0;1;0;0;0
11,1250;10680;11;1;120;64;0,1240;119;1;0;0;0;0;0;0
11,2500;10800;11;1;240;62;0,4990;479;4;1;1;1;0;0;1
