Signature: 5/8, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
1,0000;960;1;3;0;64;0,4990;479;4;0;0;0;0;0;0
1,5000;1440;1;4;0;68;1,2490;1199;10;1;1;1;1;0;1
2,7500;2640;2;1;240;69;0,1240;119;1;0;0;0;0;0;0
2,8750;2760;2;1;360;68;0,1240;119;1;0;0;0;0;0;0
3,0000;2880;2;2;0;68;0,2490;239;2;0;0;1;0;0;0
3,2500;3120;2;2;240;66;0,2490;239;2;0;0;0;0;0;0
3,5000;3360;2;3;0;64;0,2490;239;2;0;0;0;0;0;0
3,7500;3600;2;3;240;64;0,1240;119;1;1;1;1;0;0;0
4,5000;4320;2;5;0;64;0,4990;479;4;0;0;0;0;0;0
5,0000;4800;3;1;0;66;0,2490;239;2;1;1;1;1;1;0
7,0000;6720;3;5;0;64;0,2490;239;2;0;0;0;0;0;0
7,2500;6960;3;5;240;69;0,2490;239;2;0;0;0;0;0;0
7,5000;7200;4;1;0;69;0,2490;239;2;0;0;0;0;0;0
7,7500;7440;4;1;240;68;0,2490;239;2;0;0;0;0;0;0
8,0000;7680;4;2;0;69;0,2490;239;2;0;0;0;0;0;0
8,2500;7920;4;2;240;69;0,2490;239;2;0;0;0;0;0;0
8,5000;8160;4;3;0;68;0,2490;239;2;1;1;0;0;1;0
9,0000;8640;4;4;0;64;0,2490;239;2;0;0;1;1;0;0
9,2500;8880;4;4;240;69;0,2490;239;2;0;0;0;0;0;0
9,5000;9120;4;5;0;69;0,2490;239;2;0;0;1;0;0;0
9,7500;9360;4;5;240;68;0,2490;239;2;0;0;0;0;0;0
10,0000;9600;5;1;0;69;0,2490;239;2;0;0;1;1;0;0
10,2500;9840;5;1;240;64;0,2490;239;2;0;0;0;0;0;0
10,5000;10080;5;2;0;64;0,4990;479;4;1;1;1;0;0;0
11,0000;10560;5;3;0;69;0,2490;239;2;0;0;0;0;0;0
11,2500;10800;5;3;240;64;0,2490;239;2;0;0;0;0;0;0
11,5000;11040;5;4;0;64;0,4990;479;4;1;1;1;0;0;0
12,0000;11520;5;5;0;69;0,2490;239;2;0;0;0;0;0;0
12,2500;11760;5;5;240;64;0,2490;239;2;0;0;0;0;0;0
12,5000;12000;6;1;0;64;0,4990;479;4;1;0;1;1;1;0
14,0000;13440;6;4;0;64;0,3740;359;3;0;0;0;0;0;0
14,3750;13800;6;4;360;64;0,1240;119;1;0;0;0;0;0;0
14,5000;13920;6;5;0;64;0,3740;359;3;1;1;1;0;0;0
14,8750;14280;6;5;360;59;0,1240;119;1;0;0;0;0;0;0
15,0000;14400;7;1;0;64;0,3740;359;3;1;0;0;0;0;0
15,3750;14760;7;1;360;59;0,1240;119;1;0;0;1;0;0;0
15,5000;14880;7;2;0;64;0,3740;359;3;1;1;0;0;0;0
15,8750;15240;7;2;360;64;0,1240;119;1;0;0;0;0;0;0
16,0000;15360;7;3;0;64;0,2490;239;2;1;1;0;0;0;0
16,5000;15840;7;4;0;64;0,1240;119;1;0;0;0;0;0;0
16,6250;15960;7;4;120;66;0,1240;119;1;0;0;0;0;0;0
16,7500;16080;7;4;240;59;0,2490;239;2;1;1;1;1;1;0
17,5000;16800;8;1;0;64;0,3740;359;3;0;0;0;0;0;0
17,8750;17160;8;1;360;59;0,1240;119;1;0;0;1;0;0;0
18,0000;17280;8;2;0;64;0,3740;359;3;1;1;0;0;0;0
18,3750;17640;8;2;360;64;0,1240;119;1;0;0;0;0;0;0
18,5000;17760;8;3;0;64;0,2490;239;2;1;1;1;1;1;1
