Signature: 2/8, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
1,0000;960;2;1;0;59;0,3740;359;6;0;1;1;0;0;0
1,3750;1320;2;1;360;59;0,1240;119;2;0;0;0;0;0;0
1,5000;1440;2;2;0;59;0,4990;479;8;0;0;1;0;0;0
2,0000;1920;3;1;0;59;0,4990;479;8;0;0;0;0;0;0
2,5000;2400;3;2;0;59;0,3740;359;6;1;0;1;0;0;0
2,8750;2760;3;2;360;57;0,1240;119;2;0;0;0;0;0;0
3,0000;2880;4;1;0;59;0,9990;959;16;1;1;1;1;1;1
4,0000;3840;5;1;0;60;0,3740;359;6;0;0;0;0;0;0
4,3750;4200;5;1;360;60;0,1240;119;2;0;0;0;0;0;0
4,5000;4320;5;2;0;59;0,3740;359;6;1;0;1;0;0;0
4,8750;4680;5;2;360;59;0,1240;119;2;0;0;0;0;0;0
5,0000;4800;6;1;0;57;0,3740;359;6;1;0;1;0;0;0
5,3750;5160;6;1;360;54;0,1240;119;2;0;0;0;0;0;0
5,5000;5280;6;2;0;57;0,9990;959;16;1;0;1;0;0;1
6,5000;6240;7;2;0;59;0,3740;359;6;0;0;0;0;0;0
6,8750;6600;7;2;360;59;0,1240;119;2;0;0;0;0;0;0
7,0000;6720;8;1;0;57;0,2490;239;4;0;0;0;0;0;0
7,2500;6960;8;1;240;54;0,2490;239;4;0;0;0;0;0;0
7,5000;7200;8;2;0;52;0,2490;239;4;1;1;1;1;1;0
8,0000;7680;9;1;0;59;0,1865;179;3;0;0;0;0;0;0
8,1875;7860;9;1;180;59;0,0615;59;1;1;0;1;0;0;0
8,2500;7920;9;1;240;57;0,2490;239;4;0;0;0;0;0;0
8,5000;8160;9;2;0;55;0,2490;239;4;1;0;1;0;0;0
8,7500;8400;9;2;240;52;0,1865;179;3;0;0;0;0;0;0
8,9375;8580;9;2;420;52;0,0615;59;1;0;0;0;0;0;0
9,0000;8640;10;1;0;52;0,2490;239;4;1;1;1;1;0;0
9,3750;9000;10;1;360;57;0,1240;119;2;0;0;0;0;0;0
9,5000;9120;10;2;0;55;0,2490;239;4;0;0;1;0;0;0
9,7500;9360;10;2;240;52;0,2490;239;4;0;0;0;0;1;0
10,0000;9600;11;1;0;52;0,1865;179;3;0;0;1;0;0;0
10,1875;9780;11;1;180;52;0,0615;59;1;0;0;0;0;0;0
10,2500;9840;11;1;240;52;0,1240;119;2;1;1;1;1;0;0
10,5000;10080;11;2;0;59;0,1865;179;3;0;0;0;0;0;0
10,6875;10260;11;2;180;59;0,0615;59;1;1;0;1;0;0;0
10,7500;10320;11;2;240;57;0,2490;239;4;0;0;0;0;0;0
11,0000;10560;12;1;0;55;0,2490;239;4;1;0;1;0;0;0
11,2500;10800;12;1;240;52;0,1865;179;3;0;0;0;0;0;0
11,4375;10980;12;1;420;52;0,0615;59;1;0;0;0;0;0;0
11,5000;11040;12;2;0;52;0,2490;239;4;1;1;1;1;1;0
11,8750;11400;12;2;360;55;0,1240;119;2;0;0;0;0;0;0
12,0000;11520;13;1;0;55;0,2490;239;4;0;0;1;0;0;0
12,2500;11760;13;1;240;52;0,2490;239;4;0;0;0;0;0;0
12,5000;12000;13;2;0;52;0,1865;179;3;0;0;1;0;0;0
12,6875;12180;13;2;180;52;0,0615;59;1;0;0;0;0;0;0
12,7500;12240;13;2;240;52;0,1240;119;2;1;1;1;1;0;0
13,0000;12480;14;1;0;59;0,1865;179;3;0;0;0;0;0;0
13,1875;12660;14;1;180;59;0,0615;59;1;1;0;1;0;0;0
13,2500;12720;14;1;240;57;0,2490;239;4;0;0;0;0;1;0
13,5000;12960;14;2;0;55;0,2490;239;4;1;0;1;0;0;0
13,7500;13200;14;2;240;52;0,1865;179;3;0;0;0;0;0;0
13,9375;13380;14;2;420;52;0,0615;59;1;0;0;0;0;0;0
14,0000;13440;15;1;0;52;0,2490;239;4;1;1;1;1;0;0
14,3750;13800;15;1;360;55;0,1240;119;2;0;0;0;0;0;0
14,5000;13920;15;2;0;55;0,2490;239;4;0;0;1;0;0;0
14,7500;14160;15;2;240;52;0,2490;239;4;0;0;0;0;0;0
15,0000;14400;16;1;0;52;0,1865;179;3;0;0;1;0;0;0
15,1875;14580;16;1;180;52;0,0615;59;1;0;0;0;0;0;0
15,2500;14640;16;1;240;52;0,1240;119;2;1;1;1;1;1;0
15,5000;14880;16;2;0;59;0,1865;179;3;0;0;0;0;0;0
15,6875;15060;16;2;180;59;0,0615;59;1;1;0;1;0;0;0
15,7500;15120;16;2;240;57;0,2490;239;4;0;0;0;0;0;0
16,0000;15360;17;1;0;55;0,2490;239;4;1;0;1;0;0;0
16,2500;15600;17;1;240;52;0,1865;179;3;0;0;0;0;0;0
16,4375;15780;17;1;420;52;0,0615;59;1;0;0;0;0;0;0
16,5000;15840;17;2;0;52;0,2490;239;4;1;1;1;1;1;0
