Signature: 2/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,0000;0;1;1;0;55;0,4990;479;12;0;0;0;0;0;0
0,5000;480;1;2;0;57;0,3740;359;9;1;0;1;0;0;0
0,8750;840;1;2;360;59;0,1240;119;3;0;0;0;0;0;0
1,0000;960;2;1;0;57;0,2490;239;6;0;0;0;0;0;0
1,2500;1200;2;1;240;55;0,2490;239;6;0;0;1;0;0;0
1,5000;1440;2;2;0;59;0,4990;479;12;1;1;0;0;0;0
2,0000;1920;3;1;0;57;0,1656;159;4;0;0;0;0;0;0
2,1667;2080;3;1;160;59;0,1656;159;4;0;0;0;0;0;0
2,3333;2240;3;1;320;57;1,0406;999;25;0;0;1;1;0;0
3,3750;3240;4;1;360;55;0,1240;119;3;0;0;0;0;0;0
3,5000;3360;4;2;0;57;0,4990;479;12;0;0;0;0;0;0
4,0000;3840;5;1;0;55;0,7490;719;18;1;1;1;0;1;0
5,0000;4800;6;1;0;57;0,4990;479;12;0;0;0;0;0;0
5,5000;5280;6;2;0;59;0,4990;479;12;1;0;0;0;0;0
6,0000;5760;7;1;0;57;0,2490;239;6;0;0;0;0;0;0
6,2500;6000;7;1;240;55;0,2490;239;6;0;0;0;0;0;0
6,5000;6240;7;2;0;57;0,4990;479;12;1;0;1;0;0;0
7,0000;6720;8;1;0;55;0,1656;159;4;0;0;0;0;0;0
7,1667;6880;8;1;160;57;0,1656;159;4;0;0;0;0;0;0
7,3333;7040;8;1;320;55;1,0406;999;25;1;0;1;1;0;0
8,3750;8040;9;1;360;52;0,1240;119;3;0;0;0;0;0;0
8,5000;8160;9;2;0;55;0,4990;479;12;1;1;1;0;0;0
9,0000;8640;10;1;0;52;0,1240;119;3;0;0;0;0;0;0
9,1250;8760;10;1;120;50;0,8740;839;21;1;0;1;1;1;0
10,5000;10080;11;2;0;52;0,4990;479;12;0;0;0;0;0;0
11,0000;10560;12;1;0;50;0,4990;479;12;1;0;0;0;0;0
11,5000;11040;12;2;0;48;0,2490;239;6;0;0;0;0;0;0
11,7500;11280;12;2;240;45;0,2490;239;6;1;0;1;0;0;0
12,0000;11520;13;1;0;52;0,4990;479;12;0;0;0;0;0;0
12,5000;12000;13;2;0;50;0,4990;479;12;0;0;0;0;0;0
13,0000;12480;14;1;0;48;0,9990;959;24;1;1;0;0;0;0
14,0000;13440;15;1;0;48;0,2490;239;6;0;0;1;0;0;0
14,2500;13680;15;1;240;45;0,2490;239;6;0;0;0;0;0;0
14,5000;13920;15;2;0;43;0,9990;959;24;1;1;1;0;1;0
15,5000;14880;16;2;0;43;0,4990;479;12;0;0;0;0;0;0
16,0000;15360;17;1;0;45;0,4990;479;12;0;0;0;0;0;0
16,5000;15840;17;2;0;43;0,2490;239;6;1;0;1;1;0;0
17,0000;16320;18;1;0;48;0,4990;479;12;0;0;0;0;0;0
17,5000;16800;18;2;0;45;0,4990;479;12;1;0;1;0;0;0
18,0000;17280;19;1;0;43;0,9990;959;24;0;0;0;0;0;0
19,0000;18240;20;1;0;43;0,9990;959;24;1;1;1;1;1;1
