Signature: 3/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,8750;840;0;2;360;50;0,1240;119;6;0;0;0;0;0;0
1,0000;960;0;3;0;50;0,1240;119;6;1;0;1;0;0;0
1,1250;1080;0;3;120;53;0,1240;119;6;0;0;0;0;0;0
1,2500;1200;0;3;240;53;0,1240;119;6;0;0;0;0;0;0
1,3750;1320;0;3;360;53;0,1240;119;6;0;0;0;0;0;0
1,5000;1440;1;1;0;53;0,4990;479;24;1;1;1;1;1;1
2,0000;1920;1;2;0;57;0,2490;239;12;0;0;0;0;0;0
2,2500;2160;1;2;240;57;0,2490;239;12;0;0;0;0;0;0
2,5000;2400;1;3;0;55;0,2490;239;12;0;0;0;0;0;0
2,7500;2640;1;3;240;53;0,1865;179;9;0;0;0;0;0;0
2,9375;2820;1;3;420;53;0,0615;59;3;0;0;0;0;0;0
3,0000;2880;2;1;0;50;0,1865;179;9;0;1;1;0;0;0
3,1875;3060;2;1;180;53;0,0615;59;3;0;0;0;0;0;0
3,2500;3120;2;1;240;53;0,1240;119;6;0;0;0;0;0;0
3,3750;3240;2;1;360;53;0,1240;119;6;0;0;0;0;0;0
3,5000;3360;2;2;0;53;0,2490;239;12;1;0;1;1;1;0
4,0000;3840;2;3;0;53;0,2490;239;12;0;0;0;0;0;0
4,2500;4080;2;3;240;53;0,2490;239;12;0;0;0;0;0;0
4,5000;4320;3;1;0;53;0,3740;359;18;1;1;1;0;0;0
4,8750;4680;3;1;360;53;0,1240;119;6;0;0;0;0;0;0
5,0000;4800;3;2;0;50;0,1865;179;9;0;0;1;0;0;0
5,1875;4980;3;2;180;53;0,0615;59;3;0;0;0;0;0;0
5,2500;5040;3;2;240;53;0,1240;119;6;0;0;0;0;0;0
5,3750;5160;3;2;360;53;0,1240;119;6;0;0;0;0;0;0
5,5000;5280;3;3;0;53;0,2490;239;12;1;1;1;1;1;0
6,0000;5760;4;1;0;53;0,1865;179;9;0;0;0;0;0;0
6,1875;5940;4;1;180;50;0,0615;59;3;1;0;0;0;0;0
6,2500;6000;4;1;240;53;0,1240;119;6;0;0;0;0;0;0
6,3750;6120;4;1;360;53;0,1240;119;6;0;0;0;0;0;0
6,5000;6240;4;2;0;53;0,3740;359;18;1;0;1;0;0;0
6,8750;6600;4;2;360;53;0,1240;119;6;0;0;0;0;0;0
7,0000;6720;4;3;0;53;0,1865;179;9;0;0;1;0;0;0
7,1875;6900;4;3;180;53;0,0615;59;3;0;0;0;0;0;0
7,2500;6960;4;3;240;53;0,2490;239;12;0;1;1;1;0;0
7,5000;7200;5;1;0;60;0,4990;479;24;0;1;0;0;1;1
8,0000;7680;5;2;0;60;0,2490;239;12;0;0;0;0;0;0
8,2500;7920;5;2;240;60;0,1240;119;6;0;0;0;0;0;0
8,3750;8040;5;2;360;58;0,1240;119;6;0;0;0;0;0;0
8,5000;8160;5;3;0;55;0,2490;239;12;1;0;1;0;0;0
8,7500;8400;5;3;240;53;0,1865;179;9;0;0;0;0;0;0
8,9375;8580;5;3;420;53;0,0615;59;3;1;0;1;0;0;0
9,0000;8640;6;1;0;50;0,1240;119;6;0;0;0;0;0;0
9,1250;8760;6;1;120;53;0,1240;119;6;0;0;0;0;0;0
9,2500;8880;6;1;240;53;0,1240;119;6;0;0;0;0;0;0
9,3750;9000;6;1;360;53;0,1240;119;6;0;0;0;0;0;0
9,5000;9120;6;2;0;53;0,2490;239;12;1;1;1;1;1;0
10,0000;9600;6;3;0;50;0,1865;179;9;0;0;0;0;0;0
10,1875;9780;6;3;180;53;0,0615;59;3;0;0;0;0;0;0
10,2500;9840;6;3;240;53;0,2490;239;12;0;0;0;0;0;0
10,5000;10080;7;1;0;53;0,2490;239;12;0;0;1;0;0;0
10,7500;10320;7;1;240;60;0,4990;479;24;1;1;1;1;1;1
