Signature: 2/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,0000;0;1;1;0;57;0,3740;359;9;0;0;1;0;0;0
0,3750;360;1;1;360;52;0,1240;119;3;0;0;0;0;0;0
0,5000;480;1;2;0;52;0,1240;119;3;0;0;0;0;0;0
0,7500;720;1;2;240;54;0,3740;359;9;1;1;1;0;0;0
1,1250;1080;2;1;120;50;0,1240;119;3;0;0;0;0;0;0
1,2500;1200;2;1;240;50;0,1240;119;3;1;1;1;1;0;0
1,5000;1440;2;2;0;57;0,3740;359;9;0;0;0;0;0;0
1,8750;1800;2;2;360;52;0,1240;119;3;0;0;0;0;0;0
2,0000;1920;3;1;0;52;0,1240;119;3;1;1;1;0;1;0
2,2500;2160;3;1;240;54;0,1656;159;4;0;0;0;0;0;0
2,4167;2320;3;1;400;50;0,1656;159;4;0;0;0;0;0;0
2,5833;2480;3;2;80;50;0,1656;159;4;0;0;0;0;0;0
2,7500;2640;3;2;240;50;0,3740;359;9;1;0;1;0;0;0
3,1250;3000;4;1;120;50;0,1240;119;3;0;0;0;0;0;0
3,2500;3120;4;1;240;50;0,2490;239;6;0;0;0;0;0;0
3,5000;3360;4;2;0;50;0,2490;239;6;0;0;0;0;0;0
3,7500;3600;4;2;240;50;0,2490;239;6;1;1;1;1;1;0
4,2500;4080;5;1;240;54;0,1656;159;4;0;0;0;0;0;0
4,4167;4240;5;1;400;50;0,1656;159;4;1;0;0;0;0;0
4,5833;4400;5;2;80;50;0,1656;159;4;0;0;0;0;0;0
4,7500;4560;5;2;240;50;0,3740;359;9;1;0;1;0;0;0
5,1250;4920;6;1;120;50;0,1240;119;3;0;0;0;0;0;0
5,2500;5040;6;1;240;50;0,2490;239;6;0;0;0;0;0;0
5,5000;5280;6;2;0;50;0,2490;239;6;0;0;0;0;0;0
5,7500;5520;6;2;240;50;0,2490;239;6;1;1;1;1;1;0
6,2500;6000;7;1;240;54;0,1656;159;4;0;0;0;0;0;0
6,4167;6160;7;1;400;50;0,1656;159;4;1;0;0;0;0;0
6,5833;6320;7;2;80;50;0,1656;159;4;0;0;0;0;0;0
6,7500;6480;7;2;240;50;0,3740;359;9;1;1;1;0;0;0
7,1250;6840;8;1;120;50;0,1240;119;3;0;0;0;0;0;0
7,2500;6960;8;1;240;50;0,2490;239;6;0;0;0;0;0;0
7,5000;7200;8;2;0;50;0,2490;239;6;0;0;0;0;0;0
7,7500;7440;8;2;240;50;0,2490;239;6;1;1;1;1;1;1
