Signature: 3/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,0000;0;1;1;0;55;0,4990;479;4;0;0;0;0;0;0
0,5000;480;1;2;0;55;0,1240;119;1;1;0;1;0;0;0
0,6250;600;1;2;120;53;0,3740;359;3;0;0;0;0;0;0
1,0000;960;1;3;0;53;0,4990;479;4;1;1;1;1;0;1
1,5000;1440;2;1;0;58;0,1240;119;1;0;0;0;0;0;0
1,6250;1560;2;1;120;55;0,3740;359;3;1;1;1;0;0;0
2,0000;1920;2;2;0;55;0,1240;119;1;0;0;0;0;0;0
2,1250;2040;2;2;120;53;0,3740;359;3;0;0;0;0;0;0
2,5000;2400;2;3;0;53;0,2490;239;2;1;1;1;1;1;0
3,0000;2880;3;1;0;55;0,1240;119;1;0;0;0;0;0;0
3,1250;3000;3;1;120;53;0,3740;359;3;1;1;1;0;0;0
3,5000;3360;3;2;0;53;0,1240;119;1;0;0;0;0;0;0
3,6250;3480;3;2;120;50;0,3740;359;3;0;0;0;0;0;0
4,0000;3840;3;3;0;48;0,4990;479;4;1;1;1;1;0;1
4,5000;4320;4;1;0;53;0,1240;119;1;0;0;0;0;0;0
4,6250;4440;4;1;120;50;0,3740;359;3;1;1;1;0;0;0
5,0000;4800;4;2;0;50;0,1240;119;1;0;0;0;0;0;0
5,1250;4920;4;2;120;48;0,3740;359;3;1;0;1;0;0;0
5,5000;5280;4;3;0;48;0,1240;119;1;0;0;0;0;0;0
5,6250;5400;4;3;120;46;0,3740;359;3;0;0;0;0;0;0
6,0000;5760;5;1;0;46;0,2490;239;2;1;1;1;1;1;0
6,5000;6240;5;2;0;53;0,1240;119;1;0;0;0;0;0;0
6,6250;6360;5;2;120;48;0,3740;359;3;1;0;0;0;0;0
7,0000;6720;5;3;0;48;0,1240;119;1;0;0;0;0;0;0
7,1250;6840;5;3;120;46;0,3740;359;3;0;0;0;0;0;0
7,5000;7200;6;1;0;46;0,4990;479;4;1;0;1;0;0;1
8,0000;7680;6;2;0;48;0,1240;119;1;0;0;0;0;0;0
8,1250;7800;6;2;120;46;0,3740;359;3;1;0;0;0;0;0
8,5000;8160;6;3;0;46;0,4990;479;4;0;0;0;0;0;1
9,0000;8640;7;1;0;43;0,2490;239;2;1;1;1;1;1;0
9,5000;9120;7;2;0;43;0,2490;239;2;0;0;0;0;0;0
9,7500;9360;7;2;240;43;0,2490;239;2;1;0;1;0;0;0
10,0000;9600;7;3;0;46;0,2490;239;2;0;0;0;0;0;0
10,2500;9840;7;3;240;46;0,2490;239;2;0;1;0;0;0;0
10,5000;10080;8;1;0;46;0,4990;479;4;0;1;1;0;0;0
11,0000;10560;8;2;0;46;0,4990;479;4;1;1;1;1;1;1
