Signature: 4/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,0000;0;1;1;0;50;0,2490;239;6;1;0;1;0;0;0
0,2500;240;1;1;240;50;0,1240;119;3;0;0;0;0;0;0
0,3750;360;1;1;360;50;0,1240;119;3;0;0;0;0;0;0
0,5000;480;1;2;0;50;0,4990;479;12;0;0;0;0;0;1
1,0000;960;1;3;0;50;0,3740;359;9;1;1;1;1;0;0
1,3750;1320;1;3;360;46;0,1240;119;3;0;0;0;0;0;0
1,5000;1440;1;4;0;44;0,2490;239;6;0;0;0;0;0;0
1,7500;1680;1;4;240;43;0,1240;119;3;0;0;1;0;0;0
1,8750;1800;1;4;360;39;0,1240;119;3;0;0;0;0;0;0
2,0000;1920;2;1;0;39;0,2490;239;6;1;1;1;1;1;0
2,5000;2400;2;2;0;50;0,3740;359;9;0;0;0;0;0;0
2,8750;2760;2;2;360;46;0,1240;119;3;0;0;0;0;0;0
3,0000;2880;2;3;0;44;0,2490;239;6;0;0;1;0;0;0
3,2500;3120;2;3;240;43;0,1240;119;3;0;0;0;0;0;0
3,3750;3240;2;3;360;39;0,1240;119;3;0;0;0;0;0;0
3,5000;3360;2;4;0;43;0,7490;719;18;1;1;1;1;0;1
4,2500;4080;3;1;240;39;0,1240;119;3;0;0;0;0;0;0
4,3750;4200;3;1;360;39;0,1240;119;3;0;0;1;0;0;0
4,5000;4320;3;2;0;43;0,3740;359;9;1;0;0;0;0;0
4,8750;4680;3;2;360;39;0,1240;119;3;0;0;0;0;0;0
5,0000;4800;3;3;0;43;0,4990;479;12;1;1;1;1;1;1
5,8750;5640;3;4;360;43;0,1240;119;3;0;0;0;0;0;0
6,0000;5760;4;1;0;44;0,3740;359;9;1;0;1;0;0;0
6,3750;6120;4;1;360;44;0,1240;119;3;0;0;0;0;0;0
6,5000;6240;4;2;0;44;0,3740;359;9;1;0;1;1;0;0
6,8750;6600;4;2;360;44;0,1240;119;3;0;0;0;0;0;0
7,0000;6720;4;3;0;44;0,3740;359;9;1;1;1;0;0;0
7,3750;7080;4;3;360;44;0,1240;119;3;0;0;0;0;0;0
7,5000;7200;4;4;0;44;0,2490;239;6;1;1;1;1;1;0
8,0000;7680;5;1;0;44;0,3740;359;9;0;0;0;0;0;0
8,3750;8040;5;1;360;44;0,1240;119;3;0;0;0;0;0;0
8,5000;8160;5;2;0;44;0,3740;359;9;1;1;1;0;0;0
8,8750;8520;5;2;360;44;0,1240;119;3;0;0;0;0;0;0
9,0000;8640;5;3;0;44;0,3740;359;9;1;0;1;0;0;0
9,3750;9000;5;3;360;44;0,1240;119;3;0;0;0;0;0;0
9,5000;9120;5;4;0;44;0,2490;239;6;0;0;1;1;0;0
9,7500;9360;5;4;240;50;0,3740;359;9;1;1;0;0;0;0
10,1250;9720;6;1;120;46;0,1240;119;3;0;0;0;0;0;0
10,2500;9840;6;1;240;44;0,1240;119;3;0;0;0;0;0;0
10,3750;9960;6;1;360;43;0,1240;119;3;0;0;0;0;0;0
10,5000;10080;6;2;0;44;0,3740;359;9;1;0;0;0;0;0
10,8750;10440;6;2;360;43;0,1240;119;3;0;0;1;0;0;0
11,0000;10560;6;3;0;39;0,3740;359;9;0;0;0;0;0;0
11,3750;10920;6;3;360;39;0,1240;119;3;1;1;1;1;1;0
12,0000;11520;7;1;0;50;0,3740;359;9;0;0;0;0;0;0
12,3750;11880;7;1;360;46;0,1240;119;3;0;0;0;0;0;0
12,5000;12000;7;2;0;44;0,1240;119;3;0;0;0;0;0;0
12,6250;12120;7;2;120;43;0,1240;119;3;0;0;0;0;0;0
12,7500;12240;7;2;240;44;0,2490;239;6;1;0;0;0;0;0
13,0000;12480;7;3;0;44;0,1240;119;3;0;0;1;0;0;0
13,1250;12600;7;3;120;39;0,1240;119;3;0;0;0;0;0;0
13,2500;12720;7;3;240;43;0,4990;479;12;0;1;1;1;1;1
13,7500;13200;7;4;240;43;0,1656;159;4;0;0;0;0;0;0
13,9167;13360;7;4;400;39;0,1656;159;4;0;0;0;0;0;0
14,0833;13520;8;1;80;43;0,1656;159;4;0;0;0;0;0;0
14,2500;13680;8;1;240;43;0,1656;159;4;1;1;0;0;0;0
14,4167;13840;8;1;400;39;0,1656;159;4;0;0;0;1;0;0
14,5833;14000;8;2;80;43;0,1656;159;4;0;0;0;0;0;0
14,7500;14160;8;2;240;43;0,4990;479;12;1;1;1;1;1;1
