Signature: 2/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
1,3750;1320;2;1;360;59;0,1240;119;3;0;0;0;0;0;0
1,5000;1440;2;2;0;66;0,9990;959;24;1;0;1;1;0;1
2,8750;2760;3;2;360;71;0,1240;119;3;0;0;0;0;0;0
3,0000;2880;4;1;0;66;0,4990;479;12;1;0;1;0;0;0
3,5000;3360;4;2;0;64;0,2490;239;6;0;0;0;0;0;0
3,7500;3600;4;2;240;63;0,2490;239;6;0;0;0;0;0;0
4,0000;3840;5;1;0;59;0,9990;959;24;1;1;1;1;1;1
5,5000;5280;6;2;0;66;0,3740;359;9;0;0;0;0;0;0
5,8750;5640;6;2;360;63;0,1240;119;3;0;0;0;0;0;0
6,0000;5760;7;1;0;63;0,3740;359;9;1;0;1;0;0;0
6,3750;6120;7;1;360;61;0,1240;119;3;0;0;0;0;0;0
6,5000;6240;7;2;0;63;0,9990;959;24;1;1;1;1;1;1
7,8750;7560;8;2;360;66;0,1240;119;3;0;0;0;0;0;0
8,0000;7680;9;1;0;64;0,2490;239;6;0;0;0;0;0;0
8,2500;7920;9;1;240;63;0,2490;239;6;0;0;0;0;0;0
8,5000;8160;9;2;0;64;0,1656;159;4;1;0;1;0;0;0
8,6667;8320;9;2;160;63;0,1656;159;4;0;0;0;0;0;0
8,8333;8480;9;2;320;63;0,1656;159;4;0;0;0;0;0;0
9,0000;8640;10;1;0;59;0,9990;959;24;1;1;1;1;1;1
10,3750;9960;11;1;360;71;0,1240;119;3;0;0;0;0;0;0
10,5000;10080;11;2;0;66;0,3740;359;9;1;0;1;0;0;0
10,8750;10440;11;2;360;63;0,1240;119;3;0;0;0;0;0;0
11,0000;10560;12;1;0;63;0,1240;119;3;0;0;0;0;0;0
11,1250;10680;12;1;120;61;0,1240;119;3;0;0;0;0;0;0
11,2500;10800;12;1;240;66;0,9990;959;24;1;0;1;1;1;1
12,6250;12120;13;2;120;68;0,1240;119;3;0;0;0;0;0;0
12,7500;12240;13;2;240;66;0,4990;479;12;1;0;1;0;0;0
13,2500;12720;14;1;240;64;0,2490;239;6;0;0;0;0;0;0
13,5000;12960;14;2;0;63;0,2490;239;6;0;0;0;0;0;0
13,7500;13200;14;2;240;59;0,9990;959;24;1;1;1;1;1;1
15,1250;14520;16;1;120;66;0,1240;119;3;0;0;0;0;0;0
15,2500;14640;16;1;240;66;0,3740;359;9;1;1;1;0;0;0
15,6250;15000;16;2;120;63;0,1240;119;3;0;0;0;0;0;0
15,7500;15120;16;2;240;64;0,2490;239;6;0;0;0;0;0;0
16,0000;15360;17;1;0;63;0,2490;239;6;0;0;0;0;0;0
16,2500;15600;17;1;240;64;0,9990;959;24;1;0;1;1;1;1
17,7500;17040;18;2;240;66;0,4990;479;12;0;0;0;0;0;0
18,2500;17520;19;1;240;64;0,2490;239;6;0;0;0;0;0;0
18,5000;17760;19;2;0;63;0,2490;239;6;0;0;0;0;0;0
18,7500;18000;19;2;240;59;0,4990;479;12;1;0;1;0;0;0
19,6250;18840;20;2;120;61;0,1240;119;3;0;0;0;0;0;0
19,7500;18960;20;2;240;59;0,3740;359;9;1;1;1;0;0;0
20,1250;19320;21;1;120;56;0,1240;119;3;0;0;0;0;0;0
20,2500;19440;21;1;240;56;0,4990;479;12;0;0;0;0;0;0
20,7500;19920;21;2;240;59;0,4990;479;12;1;1;1;1;1;0
21,6250;20760;22;2;120;71;0,1240;119;3;0;0;0;0;0;0
21,7500;20880;22;2;240;66;0,4990;479;12;1;0;0;0;0;0
22,2500;21360;23;1;240;64;0,2490;239;6;0;0;0;0;0;0
22,5000;21600;23;2;0;63;0,2490;239;6;0;0;0;0;0;0
22,7500;21840;23;2;240;66;0,4990;479;12;0;0;1;0;0;0
23,7500;22800;24;2;240;66;0,4990;479;12;0;0;0;0;0;0
24,2500;23280;25;1;240;64;0,2490;239;6;0;0;0;0;0;0
24,5000;23520;25;2;0;63;0,2490;239;6;0;0;0;0;0;0
24,7500;23760;25;2;240;59;0,9990;959;24;1;1;1;1;1;1
26,1250;25080;27;1;120;71;0,1240;119;3;0;0;0;0;0;0
26,2500;25200;27;1;240;66;0,3740;359;9;1;0;0;0;0;0
26,6250;25560;27;2;120;64;0,1240;119;3;0;0;0;0;0;0
26,7500;25680;27;2;240;63;0,4990;479;12;0;0;0;0;0;0
27,2500;26160;28;1;240;64;0,4990;479;12;1;0;1;0;1;0
28,2500;27120;29;1;240;66;0,4990;479;12;0;0;0;0;0;0
28,7500;27600;29;2;240;64;0,2490;239;6;0;0;0;0;0;0
29,0000;27840;30;1;0;63;0,2490;239;6;0;0;0;0;0;0
29,2500;28080;30;1;240;59;0,4990;479;12;0;1;1;0;0;0
30,2500;29040;31;1;240;59;0,4990;479;12;0;1;0;0;0;0
30,7500;29520;31;2;240;64;0,2490;239;6;0;0;0;0;0;0
31,0000;29760;32;1;0;63;0,2490;239;6;0;0;0;0;0;0
31,2500;30000;32;1;240;64;0,9990;959;24;1;1;1;1;1;1
32,7500;31440;33;2;240;64;0,2490;239;6;0;0;0;0;0;0
33,0000;31680;34;1;0;63;0,2490;239;6;0;0;0;0;0;0
33,2500;31920;34;1;240;64;0,2490;239;6;0;0;0;0;0;0
33,5000;32160;34;2;0;63;0,2490;239;6;1;0;1;0;0;0
33,7500;32400;34;2;240;59;0,9990;959;24;1;1;1;1;1;1
