Signature: 3/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,5000;480;1;2;0;63;0,1240;119;3;0;0;0;0;0;0
0,6250;600;1;2;120;63;0,3740;359;9;1;1;1;1;0;0
1,0000;960;1;3;0;67;0,4990;479;12;0;0;0;0;0;0
1,5000;1440;2;1;0;67;0,2490;239;6;0;0;1;0;0;0
1,7500;1680;2;1;240;65;0,0823;79;2;1;0;0;0;0;0
1,8333;1760;2;1;320;63;0,1656;159;4;0;0;0;0;0;0
2,0000;1920;2;2;0;63;0,9990;959;24;1;1;1;1;1;0
3,0000;2880;3;1;0;65;0,1240;119;3;0;0;0;0;0;0
3,1250;3000;3;1;120;63;0,3740;359;9;1;0;1;0;0;0
3,5000;3360;3;2;0;65;0,1240;119;3;0;0;0;0;0;0
3,6250;3480;3;2;120;63;0,3740;359;9;1;1;1;1;0;0
4,0000;3840;3;3;0;67;0,1656;159;4;0;0;0;0;0;0
4,1667;4000;3;3;160;65;0,1656;159;4;0;0;0;0;0;0
4,3333;4160;3;3;320;63;0,1656;159;4;0;0;0;0;0;0
4,5000;4320;4;1;0;65;0,4990;479;12;0;0;1;0;0;0
5,0000;4800;4;2;0;63;0,4990;479;12;0;0;0;0;0;0
5,5000;5280;4;3;0;60;0,4990;479;12;1;1;1;1;1;0
6,3750;6120;5;1;360;63;0,1240;119;3;0;0;0;0;0;0
6,5000;6240;5;2;0;63;0,3740;359;9;1;0;1;0;0;0
6,8750;6600;5;2;360;63;0,1240;119;3;0;0;0;0;0;0
7,0000;6720;5;3;0;63;0,3740;359;9;1;0;1;0;0;0
7,3750;7080;5;3;360;63;0,1240;119;3;0;0;0;0;0;0
7,5000;7200;6;1;0;63;0,2490;239;6;0;0;1;1;0;0
7,7500;7440;6;1;240;67;0,4990;479;12;1;1;0;0;0;0
8,2500;7920;6;2;240;65;0,2490;239;6;0;0;1;0;0;0
8,5000;8160;6;3;0;63;0,2490;239;6;0;0;0;0;0;0
8,7500;8400;6;3;240;63;0,4990;479;12;0;0;0;0;1;0
9,2500;8880;7;1;240;63;0,4990;479;12;1;1;1;1;0;0
9,7500;9360;7;2;240;65;0,1240;119;3;0;0;0;0;0;0
9,8750;9480;7;2;360;63;0,3740;359;9;0;0;0;0;0;0
10,2500;9840;7;3;240;65;0,4990;479;12;0;0;1;0;0;0
10,7500;10320;8;1;240;67;0,1656;159;4;1;1;0;0;0;0
10,9167;10480;8;1;400;65;0,1656;159;4;0;0;0;0;0;0
11,0833;10640;8;2;80;63;0,1656;159;4;0;0;1;0;0;0
11,2500;10800;8;2;240;65;0,1240;119;3;0;0;0;0;0;0
11,3750;10920;8;2;360;64;0,3740;359;9;0;0;0;0;0;0
11,7500;11280;8;3;240;63;0,4990;479;12;0;0;0;0;0;0
12,2500;11760;9;1;240;60;0,4990;479;12;1;1;1;1;1;0
13,2500;12720;9;3;240;63;0,1240;119;3;0;0;0;0;0;0
13,3750;12840;9;3;360;60;0,3740;359;9;0;0;1;0;0;0
13,7500;13200;10;1;240;63;0,4990;479;12;0;0;0;0;0;0
14,2500;13680;10;2;240;63;0,1240;119;3;0;0;0;0;0;0
14,3750;13800;10;2;360;63;0,3740;359;9;1;1;1;1;0;0
14,7500;14160;10;3;240;67;0,4990;479;12;0;0;0;0;0;0
15,2500;14640;11;1;240;65;0,1656;159;4;1;0;1;0;0;0
15,4167;14800;11;1;400;63;0,1656;159;4;0;0;0;0;0;0
15,5833;14960;11;2;80;63;0,1656;159;4;0;0;0;0;0;0
15,7500;15120;11;2;240;63;0,4990;479;12;1;1;1;1;1;0
16,7500;16080;12;1;240;65;0,1240;119;3;0;0;0;0;0;0
16,8750;16200;12;1;360;63;0,3740;359;9;0;0;0;0;0;0
17,2500;16560;12;2;240;65;0,4990;479;12;1;0;1;0;0;0
17,7500;17040;12;3;240;67;0,2490;239;6;0;0;0;0;0;0
18,0000;17280;13;1;0;67;0,2490;239;6;0;0;1;0;0;0
18,2500;17520;13;1;240;65;0,4990;479;12;0;0;0;0;0;0
18,7500;18000;13;2;240;63;0,3740;359;9;1;0;1;0;0;0
19,1250;18360;13;3;120;60;0,1240;119;3;0;0;0;0;0;0
19,2500;18480;13;3;240;60;0,4990;479;12;1;1;1;1;1;0
20,2500;19440;14;2;240;63;0,1240;119;3;0;0;0;0;0;0
20,3750;19560;14;2;360;63;0,3740;359;9;0;0;0;0;0;0
20,7500;19920;14;3;240;63;0,4990;479;12;1;0;1;0;0;0
21,2500;20400;15;1;240;65;0,2490;239;6;0;0;0;0;0;0
21,5000;20640;15;2;0;63;0,2490;239;6;1;0;1;0;0;0
21,7500;20880;15;2;240;60;0,2490;239;6;0;0;0;0;0;0
22,0000;21120;15;3;0;60;0,2490;239;6;0;0;0;0;0;0
22,2500;21360;15;3;240;63;0,7490;719;18;1;1;1;1;1;0
23,2500;22320;16;2;240;63;0,1240;119;3;0;0;0;0;0;0
23,3750;22440;16;2;360;63;0,3740;359;9;1;0;1;0;0;0
23,7500;22800;16;3;240;63;0,1240;119;3;0;0;0;0;0;0
23,8750;22920;16;3;360;63;0,3740;359;9;0;0;1;0;0;0
24,2500;23280;17;1;240;63;0,4990;479;12;1;1;1;1;1;1
