Signature: 2/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,0000;0;1;1;0;69;0,3740;359;9;0;0;0;0;0;0
0,3750;360;1;1;360;71;0,1240;119;3;0;0;0;0;0;0
0,5000;480;1;2;0;69;0,4990;479;12;1;1;1;0;0;1
1,0000;960;2;1;0;69;0,1656;159;4;0;0;0;0;0;0
1,1667;1120;2;1;160;66;0,1656;159;4;1;0;0;0;0;0
1,3333;1280;2;1;320;64;0,1656;159;4;0;0;0;0;0;0
1,5000;1440;2;2;0;64;0,8740;839;21;1;0;1;1;1;1
2,3750;2280;3;1;360;66;0,1240;119;3;0;0;0;0;0;0
2,5000;2400;3;2;0;64;0,3740;359;9;1;1;1;0;0;0
2,8750;2760;3;2;360;61;0,1240;119;3;0;0;0;0;0;0
3,0000;2880;4;1;0;57;0,4990;479;12;0;0;1;1;0;1
3,5000;3360;4;2;0;59;0,1656;159;4;0;0;0;0;0;0
3,6667;3520;4;2;160;57;0,1656;159;4;0;0;1;0;0;0
3,8333;3680;4;2;320;52;0,1656;159;4;0;0;0;0;0;0
4,0000;3840;5;1;0;52;0,2490;239;6;1;1;1;1;1;0
4,3750;4200;5;1;360;64;0,1240;119;3;0;0;0;0;0;0
4,5000;4320;5;2;0;59;0,1240;119;3;0;0;0;0;0;0
4,6250;4440;5;2;120;57;0,1240;119;3;0;0;0;0;0;0
4,7500;4560;5;2;240;57;0,2490;239;6;0;0;1;0;0;0
5,0000;4800;6;1;0;59;0,0823;79;2;1;0;0;0;0;0
5,0833;4880;6;1;80;57;0,0823;79;2;0;0;1;0;0;0
5,1667;4960;6;1;160;52;0,0823;79;2;0;0;0;0;0;0
5,2500;5040;6;1;240;57;0,8740;839;21;1;1;1;1;1;1
6,1250;5880;7;1;120;54;0,1240;119;3;0;0;0;0;0;0
6,2500;6000;7;1;240;57;0,3740;359;9;1;0;1;0;0;0
6,6250;6360;7;2;120;56;0,1240;119;3;0;0;0;0;0;0
6,7500;6480;7;2;240;57;0,1240;119;3;0;0;0;0;0;0
6,8750;6600;7;2;360;54;0,1240;119;3;0;0;0;0;0;0
7,0000;6720;8;1;0;56;0,2490;239;6;1;1;1;1;1;0
7,7500;7440;8;2;240;57;0,3740;359;9;0;0;0;0;0;0
8,1250;7800;9;1;120;57;0,1240;119;3;0;0;0;0;0;0
8,2500;7920;9;1;240;57;0,1656;159;4;1;0;0;0;0;0
8,4167;8080;9;1;400;57;0,1656;159;4;0;0;0;0;0;0
8,5833;8240;9;2;80;57;0,1656;159;4;1;1;1;1;1;1
