Signature: 2/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,8750;840;0;2;360;52;0,1240;119;1;0;0;0;0;0;0
1,0000;960;1;1;0;52;0,4990;479;4;1;1;1;1;0;0
1,5000;1440;1;2;0;54;0,1240;119;1;0;0;0;0;0;0
1,6250;1560;1;2;120;54;0,3740;359;3;1;0;1;0;0;0
2,0000;1920;2;1;0;56;0,4990;479;4;0;0;0;0;0;0
2,5000;2400;2;2;0;54;0,2490;239;2;1;0;1;1;0;0
2,8750;2760;2;2;360;52;0,1240;119;1;0;0;0;0;0;0
3,0000;2880;3;1;0;52;0,4990;479;4;1;1;1;0;0;0
3,5000;3360;3;2;0;54;0,1240;119;1;0;0;0;0;0;0
3,6250;3480;3;2;120;54;0,3740;359;3;0;0;1;0;0;0
4,0000;3840;4;1;0;54;0,4990;479;4;1;0;0;0;1;0
4,5000;4320;4;2;0;54;0,2490;239;2;0;0;0;0;0;0
4,7500;4560;4;2;240;52;0,2490;239;2;0;0;1;1;0;0
5,0000;4800;5;1;0;56;0,2490;239;2;0;0;0;0;0;0
5,2500;5040;5;1;240;56;0,2490;239;2;0;0;0;0;0;0
5,5000;5280;5;2;0;56;0,2490;239;2;1;0;1;0;0;0
5,7500;5520;5;2;240;52;0,2490;239;2;0;0;0;0;0;0
6,0000;5760;6;1;0;54;0,2490;239;2;0;0;0;0;0;0
6,2500;6000;6;1;240;54;0,2490;239;2;0;0;0;0;0;0
6,5000;6240;6;2;0;52;0,2490;239;2;1;1;1;1;0;0
6,8750;6600;6;2;360;49;0,1240;119;1;0;0;0;0;0;0
7,0000;6720;7;1;0;49;0,4990;479;4;1;1;1;0;1;0
7,5000;7200;7;2;0;54;0,2490;239;2;0;0;0;0;0;0
7,7500;7440;7;2;240;54;0,2490;239;2;0;0;0;0;0;0
8,0000;7680;8;1;0;54;0,4990;479;4;1;0;1;0;0;0
8,5000;8160;8;2;0;54;0,1240;119;1;0;0;0;0;0;0
8,6250;8280;8;2;120;52;0,1240;119;1;1;1;1;0;0;0
8,8750;8520;8;2;360;49;0,1240;119;1;0;0;0;0;0;0
9,0000;8640;9;1;0;49;0,4990;479;4;1;1;1;1;0;0
9,5000;9120;9;2;0;54;0,2490;239;2;0;0;0;0;0;0
9,7500;9360;9;2;240;54;0,2490;239;2;0;0;0;0;0;0
10,0000;9600;10;1;0;54;0,4990;479;4;1;0;1;0;1;0
10,5000;10080;10;2;0;54;0,2490;239;2;0;0;0;0;0;0
10,7500;10320;10;2;240;52;0,2490;239;2;0;0;1;0;0;0
11,0000;10560;11;1;0;56;0,2490;239;2;0;0;0;0;0;0
11,2500;10800;11;1;240;56;0,2490;239;2;0;0;0;0;0;0
11,5000;11040;11;2;0;56;0,2490;239;2;1;0;1;0;0;0
11,7500;11280;11;2;240;52;0,2490;239;2;0;0;0;0;0;0
12,0000;11520;12;1;0;54;0,2490;239;2;0;0;0;0;0;0
12,2500;11760;12;1;240;54;0,2490;239;2;0;0;0;0;0;0
12,5000;12000;12;2;0;52;0,2490;239;2;1;1;1;1;0;0
12,8750;12360;12;2;360;49;0,1240;119;1;0;0;0;0;0;0
13,0000;12480;13;1;0;49;0,4990;479;4;1;1;1;0;1;0
13,5000;12960;13;2;0;54;0,2490;239;2;0;0;0;0;0;0
13,7500;13200;13;2;240;54;0,2490;239;2;0;0;0;0;0;0
14,0000;13440;14;1;0;54;0,4990;479;4;1;0;1;0;0;0
14,5000;13920;14;2;0;54;0,1240;119;1;0;0;0;0;0;0
14,6250;14040;14;2;120;52;0,1240;119;1;1;1;1;0;0;0
14,8750;14280;14;2;360;49;0,1240;119;1;0;0;0;0;0;0
15,0000;14400;15;1;0;49;0,4990;479;4;1;1;1;1;0;0
15,5000;14880;15;2;0;54;0,2490;239;2;0;0;0;0;0;0
15,7500;15120;15;2;240;54;0,2490;239;2;0;0;0;0;0;0
16,0000;15360;16;1;0;54;0,4990;479;4;1;0;1;0;1;0
16,5000;15840;16;2;0;54;0,2490;239;2;0;0;0;0;0;0
16,7500;16080;16;2;240;52;0,2490;239;2;0;0;1;0;0;0
17,0000;16320;17;1;0;56;0,2490;239;2;0;0;0;0;0;0
17,2500;16560;17;1;240;56;0,2490;239;2;0;0;0;0;0;0
17,5000;16800;17;2;0;56;0,2490;239;2;1;0;1;1;0;0
17,7500;17040;17;2;240;52;0,2490;239;2;0;0;0;0;0;0
18,0000;17280;18;1;0;54;0,2490;239;2;0;0;0;0;0;0
18,2500;17520;18;1;240;54;0,2490;239;2;0;0;1;0;0;0
18,5000;17760;18;2;0;52;0,2490;239;2;1;1;1;1;1;1
